previous_key,event_id,event_type,vessel_gln,gtin,serial_number,weight,event_time,location_name,location_coordinate,catch_date,vessal_owner_name,species,economic_zone,first_freeze_date,catch_certificate_id,conservation_reference_size,catch_area,company_name,generator_type,new_key,generator_gln,next_pi_gln
80fc1501-a077-46c0-a1a2-c1de149dae95,1c33772f-af1b-4ac3-bb22-ce1ee913509f,1,7979459391097,00984686531117,03JEQPAKIE,3987,2022-Aug-10T07:48:52 +0000,Bali,"-8.1971482,114.4440049",2022-Aug-10,WRHHCXd,Salmon,7985739098218,2022-Aug-10,56319407351028,20cm,2871696142681,Bali_factory_2,fishing vessel,80fc1501-a077-46c0-a1a2-c1de149dae95,7979459391097,2458333589166
69623e3f-dcee-4c56-b6b1-fa9efe8c4cde,31738355-ab40-4628-8d15-87db4a649c8d,1,8800395673731,31638395013177,96YXYBIY,7796,2022-Aug-10T07:48:52 +0000,Bali,"-8.785488,115.1833109",2022-Aug-10,ncSHxjU,Cod,5300809096613,2022-Aug-10,13039374057914,11cm,4782029022221,Bali_factory_0,fishing vessel,69623e3f-dcee-4c56-b6b1-fa9efe8c4cde,8800395673731,2349449050522
4df9ceb0-e742-4d36-b483-483730aeff74,5b5fa36b-0b92-4f20-9ba6-1392f9addfce,1,8032958062643,78643572608193,14HDW,6447,2022-Aug-10T07:48:52 +0000,Bali,"-8.5314842,115.4993622",2022-Aug-10,ctaqpZh,Salmon,3645565306994,2022-Aug-10,46574059043006,25cm,4340740462985,Bali_factory_1,fishing vessel,4df9ceb0-e742-4d36-b483-483730aeff74,8032958062643,2349449050522
1e84afaa-59ab-4fec-b9dc-ff3c9a390b66,0aab2945-3604-47eb-b44e-d6d94e109710,1,8800395673731,64086400627730,36NQRRCFMJJLSQONGT,3630,2022-Aug-10T07:48:52 +0000,Bali,"-8.785488,115.1833109",2022-Aug-10,vmydmgI,Tuna,9247000131494,2022-Aug-10,53841404576538,23cm,4213801083684,Bali_factory_0,fishing vessel,1e84afaa-59ab-4fec-b9dc-ff3c9a390b66,8800395673731,2349449050522
9d6e3810-4dd7-4609-9b90-5112f29bc70f,dc345d19-f9c3-42bb-a33f-9f217fe3327b,1,7979459391097,99659893082356,41CCWBMLNBXPNSRCAFYXIA,543,2022-Aug-10T07:48:52 +0000,Bali,"-8.1971482,114.4440049",2022-Aug-10,mDjpZRK,Tuna,9171439309217,2022-Aug-10,47619068806568,46cm,9497910222863,Bali_factory_2,fishing vessel,9d6e3810-4dd7-4609-9b90-5112f29bc70f,7979459391097,5346897999480
bb5ff26d-b3ba-4162-ad7f-2934e0cebdaa,22735be7-e05a-4432-b6bf-edc97ad03751,1,8032958062643,11541817015100,24UCSPGDTDBYPCSFHNSIUT,6839,2022-Aug-10T07:48:52 +0000,Bali,"-8.5314842,115.4993622",2022-Aug-10,bGvZfIT,Salmon,0762607758058,2022-Aug-10,56296385754178,21cm,9690913757329,Bali_factory_1,fishing vessel,bb5ff26d-b3ba-4162-ad7f-2934e0cebdaa,8032958062643,2458333589166
b2fe25bf-a92e-4854-8549-9e6490a58b9d,3f724e61-d493-4bc7-969c-75715c99094a,1,7979459391097,69777769266691,110TCNJUOPBVMYU,3071,2022-Aug-10T07:48:52 +0000,Bali,"-8.1971482,114.4440049",2022-Aug-10,cyEdvAT,Cod,9970482133237,2022-Aug-10,60162731774498,34cm,8995111565922,Bali_factory_2,fishing vessel,b2fe25bf-a92e-4854-8549-9e6490a58b9d,7979459391097,2458333589166
4401b4df-697d-4b4d-a8e6-fc0f7f5170a8,79b8c819-281b-4efb-9356-dbb393b7a592,1,8032958062643,04931039781511,84SEBGNQNE,1362,2022-Aug-10T07:48:52 +0000,Bali,"-8.5314842,115.4993622",2022-Aug-10,nEjmDQH,Tuna,5227641798742,2022-Aug-10,68660456292610,18cm,4542108103939,Bali_factory_1,fishing vessel,4401b4df-697d-4b4d-a8e6-fc0f7f5170a8,8032958062643,2458333589166
31867836-92a3-4818-80c4-7d41ffdd18b2,66d1e445-0c84-4359-8755-38ddade7b326,1,8032958062643,47998928057834,87H,616,2022-Aug-10T07:48:52 +0000,Bali,"-8.5314842,115.4993622",2022-Aug-10,yTkjodv,Cod,6589598466296,2022-Aug-10,87888426965662,22cm,9971358509184,Bali_factory_1,fishing vessel,31867836-92a3-4818-80c4-7d41ffdd18b2,8032958062643,5346897999480
84b93d85-a1a0-49f4-bf22-13f71de4258f,23a98db2-1b95-4fab-b6d3-8659a140e21d,1,7979459391097,50632265140473,04BN,5496,2022-Aug-10T07:48:52 +0000,Bali,"-8.1971482,114.4440049",2022-Aug-10,vUyrfPI,Salmon,9633496462404,2022-Aug-10,04709042294377,46cm,6605440538186,Bali_factory_2,fishing vessel,84b93d85-a1a0-49f4-bf22-13f71de4258f,7979459391097,2349449050522
