event_id,event_type,factory_gln,input_gtin,output_gtin,serial_number,quantity,event_time,location_name,location_coordinate,brand_name,storage_state,expiration_date,comapny_name,generator_type,new_key,previous_key,generator_gln,last_pi_gln,next_pi_gln,company_name
9043f6a1-cc85-46c5-9190-a02bc68f3cdc,4,8391076131052,"['00984686531117', '31638395013177']",['44495250873151'],36WVBVNFHGMCSINCLFZKM,280,2022-Aug-15T15:48:52 +0000,Sarabaya,"-7.2600477,112.6385163",oZVvwpnYdo,PREVIOUSLY_FROZEN,2022-10-13,XeaioKD,processing company,18d961c1-2f75-4127-aaf5-35c49198eb5b,"['80fc1501-a077-46c0-a1a2-c1de149dae95', '69623e3f-dcee-4c56-b6b1-fa9efe8c4cde']",8391076131052,"['8989643509926', '7052370888987']",8391076131052,Sarabaya_processing_2
adce517c-6e49-4010-82a0-5e294726c7d2,4,8476421023881,"['78643572608193', '64086400627730']",['01662161402551'],18QVMBOQ,322,2022-Aug-15T15:48:52 +0000,Sarabaya,"-7.243421,112.7372967",rPUVDUSbTC,PREVIOUSLY_FROZEN,2022-10-13,gDOBEQO,processing company,1b5fcc77-b96d-4c82-a9e6-d2c15d28dbea,"['4df9ceb0-e742-4d36-b483-483730aeff74', '1e84afaa-59ab-4fec-b9dc-ff3c9a390b66']",8476421023881,"['8989643509926', '7052370888987']",8476421023881,Sarabaya_processing_1
0b89a7ea-9ea5-4d86-9f94-75e8f6b2785f,4,0307593212864,"['99659893082356', '11541817015100']",['78904100354262'],45ILAQSURJVXZGVXFN,465,2022-Aug-15T15:48:52 +0000,Sarabaya,"7.2677701,112.7178386",iBkzbFzIcK,PREVIOUSLY_FROZEN,2022-10-13,DvRiBdO,processing company,8ba073ca-27d2-42cf-b027-1d1e9286a188,"['9d6e3810-4dd7-4609-9b90-5112f29bc70f', 'bb5ff26d-b3ba-4162-ad7f-2934e0cebdaa']",0307593212864,"['7052370888987', '3173907693578']",0307593212864,Sarabaya_processing_0
dd1dd3f1-1eab-4d42-ab39-acc603e8cee4,4,8391076131052,"['69777769266691', '04931039781511']",['15987588593810'],49EOGH,431,2022-Aug-15T15:48:52 +0000,Sarabaya,"-7.2600477,112.6385163",VHIXFLgnNn,PREVIOUSLY_FROZEN,2022-10-13,EIwnAOG,processing company,47d75dba-8b23-448e-9d06-8a9885107230,"['b2fe25bf-a92e-4854-8549-9e6490a58b9d', '4401b4df-697d-4b4d-a8e6-fc0f7f5170a8']",8391076131052,"['7052370888987', '3173907693578']",8391076131052,Sarabaya_processing_2
ab009df3-c9e9-41ae-859c-cff0a15b00c5,4,8391076131052,"['47998928057834', '50632265140473']",['94210331523755'],68SOEEKADKPLKOGNELRXS,112,2022-Aug-15T15:48:52 +0000,Sarabaya,"-7.2600477,112.6385163",DECNncMUXw,PREVIOUSLY_FROZEN,2022-10-13,dpqelMh,processing company,3820fb7a-a778-454c-96c7-b357e1a45684,"['31867836-92a3-4818-80c4-7d41ffdd18b2', '84b93d85-a1a0-49f4-bf22-13f71de4258f']",8391076131052,"['8989643509926', '3173907693578']",8391076131052,Sarabaya_processing_2
b423a0d9-ba45-40fe-b2c6-5055380e9e8b,4,8391076131052,"['39634994443387', '24938290808824']",['60521833615233'],74NIKWSVLEQ,301,2022-Aug-15T15:48:52 +0000,Sarabaya,"-7.2600477,112.6385163",GykEHHkLgQ,PREVIOUSLY_FROZEN,2022-10-13,VdCJQhq,processing company,178a0c6b-46a3-403d-be91-984e465ab186,"['e4cd6588-5a95-471e-beaa-df51a8af583a', '7734e864-d5a1-484d-bb68-a74c01a52dde']",8391076131052,"['8989643509926', '3173907693578']",8391076131052,Sarabaya_processing_2
0e50f1e5-deb3-43ab-9f95-ee20011de64c,4,8391076131052,"['60591390093134', '44993457100985']",['61254382883538'],75FTH,384,2022-Aug-15T15:48:52 +0000,Sarabaya,"-7.2600477,112.6385163",NvifgYzhgT,PREVIOUSLY_FROZEN,2022-10-13,pRZRLjZ,processing company,688918e8-d81c-4722-8a3d-afa8c5d419f7,"['5e268d60-2d8a-47c5-822f-f6d794e8707a', '85a5a750-68a2-4f85-bf81-2e669f9d4eb0']",8391076131052,"['7052370888987', '7052370888987']",8391076131052,Sarabaya_processing_2
61b2824d-6d3d-4d5a-a6fc-8c020b41ab16,4,8476421023881,"['92628297469808', '56171676458315']",['38137619491987'],22IBGMYVR,100,2022-Aug-15T15:48:52 +0000,Sarabaya,"-7.243421,112.7372967",lfYCWIhkFt,PREVIOUSLY_FROZEN,2022-10-13,GkQWxct,processing company,ff4de477-7226-4661-a5aa-0606f408d337,"['01aa9f4d-dce0-4413-971a-8c18326c20d3', '8eac9bdc-eb65-4370-92ba-5fffccc9ddc5']",8476421023881,"['3173907693578', '7052370888987']",8476421023881,Sarabaya_processing_1
c8d2bbce-7087-41b2-9690-103b961a869d,4,0307593212864,"['73361187203753', '63669256464005']",['20251829338935'],12FHEFWPVHVXVUHQLHPZKZ,239,2022-Aug-15T15:48:52 +0000,Sarabaya,"7.2677701,112.7178386",VuWgsBFIUm,PREVIOUSLY_FROZEN,2022-10-13,CFKAodV,processing company,96dd2a57-2133-4640-8dd7-f7a65c1a13a0,"['324c0d32-9d8b-463e-b09b-227d3f2f056e', 'c94a8b46-87d8-40ed-8e17-4be39dfcebe1']",0307593212864,"['3173907693578', '7052370888987']",0307593212864,Sarabaya_processing_0
997a33a9-ae0b-4d7a-a1b7-559c0e1d4367,4,0307593212864,"['56875436985851', '30205406737649']",['79598981003745'],82FLT,372,2022-Aug-15T15:48:52 +0000,Sarabaya,"7.2677701,112.7178386",VbTZghycBl,PREVIOUSLY_FROZEN,2022-10-13,xnZEuMS,processing company,8ee00798-90c6-403b-a44b-9e96db36ae4f,"['2d526b84-d647-48aa-a6eb-e408146221b8', '8d5f75d9-7894-4153-bb32-b9267120c6e0']",0307593212864,"['7052370888987', '3173907693578']",0307593212864,Sarabaya_processing_0
