previous_key,event_id,event_type,generator_gln,input_gtin,output_gtin,serial_number,quantity,event_time,location_name,location_coordinate,net_contain,packing_type_code,packing_material,recycling_process_type,comapny_name,generator_type,new_key,last_pi_gln,next_pi_gln,company_name
18d961c1-2f75-4127-aaf5-35c49198eb5b,a4169eb4-7136-409b-b3f7-7406f97e3c64,5,8391076131052,44495250873151,08954641856857,75SUXX,72,2022-Aug-16T15:48:52 +0000,Sarabaya,"-7.2600477,112.6385163",0,uUi,PLASTIC_THERMOPLASTICS,Recyclable,aZgrwGy,processing company,80fc1501-a077-46c0-a1a2-c1de149dae95,8391076131052,8391076131052,Sarabaya_processing_2
1b5fcc77-b96d-4c82-a9e6-d2c15d28dbea,d792c5b5-283f-4f5f-ac33-581a761d7c5e,5,8476421023881,01662161402551,50235352603328,46LJFLOOIOHFXDA,86,2022-Aug-16T15:48:52 +0000,Sarabaya,"-7.243421,112.7372967",8,XAZ,PLASTIC_THERMOPLASTICS,Recyclable,dAhKyoK,processing company,4df9ceb0-e742-4d36-b483-483730aeff74,8476421023881,8476421023881,Sarabaya_processing_1
8ba073ca-27d2-42cf-b027-1d1e9286a188,08a75afc-9213-4e0a-b941-e8d7c4d5cf11,5,0307593212864,78904100354262,55531380823809,05QBGJKRPIOGGRM,56,2022-Aug-16T15:48:52 +0000,Sarabaya,"7.2677701,112.7178386",9,lVx,PLASTIC_THERMOPLASTICS,Recyclable,lCJjpLj,processing company,9d6e3810-4dd7-4609-9b90-5112f29bc70f,0307593212864,0307593212864,Sarabaya_processing_0
47d75dba-8b23-448e-9d06-8a9885107230,c025d47d-5350-4081-8dff-a8811024ba4e,5,8391076131052,15987588593810,15282988163027,05IHMPJSVKCKFOVD,41,2022-Aug-16T15:48:52 +0000,Sarabaya,"-7.2600477,112.6385163",0,ZtI,PLASTIC_THERMOPLASTICS,Recyclable,jhbrvla,processing company,b2fe25bf-a92e-4854-8549-9e6490a58b9d,8391076131052,8391076131052,Sarabaya_processing_2
3820fb7a-a778-454c-96c7-b357e1a45684,3d987283-644c-45df-9cfc-650fd8d65c42,5,8391076131052,94210331523755,15478897237041,61TGMZ,42,2022-Aug-16T15:48:52 +0000,Sarabaya,"-7.2600477,112.6385163",1,JrV,PLASTIC_THERMOPLASTICS,Recyclable,CCyBcwH,processing company,31867836-92a3-4818-80c4-7d41ffdd18b2,8391076131052,8391076131052,Sarabaya_processing_2
178a0c6b-46a3-403d-be91-984e465ab186,82aa2c42-0727-4cf1-aa43-669a8e5ec214,5,8391076131052,60521833615233,97803835129427,410NQQCHIYZW,33,2022-Aug-16T15:48:52 +0000,Sarabaya,"-7.2600477,112.6385163",1,crB,PLASTIC_THERMOPLASTICS,Recyclable,quvcPdH,processing company,e4cd6588-5a95-471e-beaa-df51a8af583a,8391076131052,8391076131052,Sarabaya_processing_2
688918e8-d81c-4722-8a3d-afa8c5d419f7,555f5ae9-bce5-4fdd-b0ba-e99614f4a0ec,5,8391076131052,61254382883538,23368935640274,410V,29,2022-Aug-16T15:48:52 +0000,Sarabaya,"-7.2600477,112.6385163",7,xbE,PLASTIC_THERMOPLASTICS,Recyclable,VdxAqQV,processing company,5e268d60-2d8a-47c5-822f-f6d794e8707a,8391076131052,8391076131052,Sarabaya_processing_2
ff4de477-7226-4661-a5aa-0606f408d337,f5aaa15b-aec4-4af7-9a92-36749a66b5a0,5,8476421023881,38137619491987,75885610342704,59IYKWOCGMAMBTL,61,2022-Aug-16T15:48:52 +0000,Sarabaya,"-7.243421,112.7372967",8,pFk,PLASTIC_THERMOPLASTICS,Recyclable,eSSPreT,processing company,01aa9f4d-dce0-4413-971a-8c18326c20d3,8476421023881,8476421023881,Sarabaya_processing_1
96dd2a57-2133-4640-8dd7-f7a65c1a13a0,42924e4c-1b7d-4ed7-85d9-74e914c4b1c4,5,0307593212864,20251829338935,68507221387455,96NOPSKNSRIIJUP,61,2022-Aug-16T15:48:52 +0000,Sarabaya,"7.2677701,112.7178386",6,dyp,PLASTIC_THERMOPLASTICS,Recyclable,YxKRTkl,processing company,324c0d32-9d8b-463e-b09b-227d3f2f056e,0307593212864,0307593212864,Sarabaya_processing_0
8ee00798-90c6-403b-a44b-9e96db36ae4f,a197e0c6-c6f1-489f-858d-89b21b7e4182,5,0307593212864,79598981003745,65128693929082,16WLUSBUKHOIBLAM,64,2022-Aug-16T15:48:52 +0000,Sarabaya,"7.2677701,112.7178386",0,odh,PLASTIC_THERMOPLASTICS,Recyclable,aTgMjTa,processing company,2d526b84-d647-48aa-a6eb-e408146221b8,0307593212864,0307593212864,Sarabaya_processing_0
