previous_key,new_key,event_id,event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,quantity,event_time,location_name,location_coordinate,departure_gln,weight,temperature,comapny_name,generator_type,generator_gln,last_pi_gln,next_pi_gln,company_name
"['d7775654-7259-4967-ae24-4bf0b4f0fdd6', 'f242810e-8100-4f6c-9c5c-098633b57158']",d7775654-7259-4967-ae24-4bf0b4f0fdd6,6f49bcb4-972e-4562-984a-cec00cd4fea0,6,8878968270139,8333352651741,5604165979870,2285955368086,71945627319901,39RMLJE,60,2022-Aug-17T02:18:09 +0000,Sarabaya,"7.2677701,112.7178386",1376180854259,51.0,-0.4,gePGOco,,8878968270139,8878968270139,5604165979870,Sarabaya_processing_0
"['947294da-2d07-4683-b3f5-10a41fa4d26a', '5f0f8715-7bda-4b6a-ad77-f134fe412cbd']",947294da-2d07-4683-b3f5-10a41fa4d26a,6ea38d86-8dbf-43c8-a261-a013d5ce2dab,6,1930315437046,8333352651741,6053154144542,1579730693320,09293485515817,88ZVZNPKICFSHQT,69,2022-Aug-17T02:18:09 +0000,Sarabaya,"-7.243421,112.7372967",6502702324369,62.6,-7.6,TOFDjYC,,1930315437046,1930315437046,6053154144542,Sarabaya_processing_1
"['a14accd4-b5bc-44fe-81b6-c3947b08453c', 'ca2bd6af-c290-4cd6-916f-055268993855']",a14accd4-b5bc-44fe-81b6-c3947b08453c,7f4945e1-5991-40c7-951b-de87846d77f1,6,8878968270139,9557032848969,6053154144542,7969796614515,03543686741964,17ZUUEAROSFXEQKW,69,2022-Aug-17T02:18:09 +0000,Sarabaya,"7.2677701,112.7178386",7733866544040,78.0,-5.0,evcqtUU,,8878968270139,8878968270139,6053154144542,Sarabaya_processing_0
"['b99a9901-62c4-42d9-b95d-34e8e99c4605', '1751cca9-e234-44e3-b820-547266284b93']",b99a9901-62c4-42d9-b95d-34e8e99c4605,cebefe65-8ee5-4e65-b5cd-1a6bbec6b2b4,6,1930315437046,9557032848969,6053154144542,4600637936293,10292535489025,70JHTIOQSHUPREJOMFQX,55,2022-Aug-17T02:18:09 +0000,Sarabaya,"-7.243421,112.7372967",7617109627690,83.5,-4.1,jYthfnX,,1930315437046,1930315437046,6053154144542,Sarabaya_processing_1
"['e0293ac8-edc9-4525-a0ff-7f90ddcf8297', '47f3c48c-05e7-4580-95ff-d1b73d9d9dc8']",e0293ac8-edc9-4525-a0ff-7f90ddcf8297,1d9413c2-de4e-4a15-b271-9b73a6dfd971,6,8878968270139,8333352651741,6053154144542,4453888983114,37201133356545,17RM,76,2022-Aug-17T02:18:09 +0000,Sarabaya,"7.2677701,112.7178386",4734807817561,27.0,-1.8,ZyIFDOx,,8878968270139,8878968270139,6053154144542,Sarabaya_processing_0
"['95126a45-9b3a-428f-b33b-f894518a4a2d', 'ad49aa40-5cd4-423f-8351-7c3180506a56']",95126a45-9b3a-428f-b33b-f894518a4a2d,dc1ae63a-8834-466f-a99c-a14adc1d894c,6,1930315437046,3835036101899,4693866520302,8449418073988,36398917638035,97LIY,35,2022-Aug-17T02:18:09 +0000,Sarabaya,"-7.243421,112.7372967",0147456558690,97.7,-2.5,krPSDEb,,1930315437046,1930315437046,4693866520302,Sarabaya_processing_1
"['11c9dec9-4102-43cc-a121-8c66b372c6fb', 'f4f101ec-3d7d-49e4-970c-29ac93114650']",11c9dec9-4102-43cc-a121-8c66b372c6fb,a7596e5a-9b57-4c0d-839a-bf347a0b6ada,6,5057042124049,8333352651741,4693866520302,5138596487828,65180756719395,210NU,30,2022-Aug-17T02:18:09 +0000,Sarabaya,"-7.2600477,112.6385163",8789631210540,95.7,-2.3,gVtNGKD,,5057042124049,5057042124049,4693866520302,Sarabaya_processing_2
"['8d9cee9f-21a0-438d-8557-4f69e17b94a5', '48aa86f4-60d5-4d2b-9928-f092736918bd']",8d9cee9f-21a0-438d-8557-4f69e17b94a5,6183e819-aa00-4f95-89ae-420ea0d3193b,6,8878968270139,3835036101899,4693866520302,1194035296475,60505830007463,25EPIERJXFNSCIVPACSG,120,2022-Aug-17T02:18:09 +0000,Sarabaya,"7.2677701,112.7178386",4847589024321,62.8,-9.2,hgksqlH,,8878968270139,8878968270139,4693866520302,Sarabaya_processing_0
"['f4e43947-8f5e-462f-8192-011b267189c4', 'e6dedb79-9da3-4d32-ae83-87db0a82771c']",f4e43947-8f5e-462f-8192-011b267189c4,9bef8780-c26a-4e80-9744-5ce1f59d81d5,6,1930315437046,9557032848969,6053154144542,4261827979315,92546745851550,69DXGZZSNHN,114,2022-Aug-17T02:18:09 +0000,Sarabaya,"-7.243421,112.7372967",3086900293294,23.7,-10.0,WyxyIrz,,1930315437046,1930315437046,6053154144542,Sarabaya_processing_1
"['8ebd1e44-f813-4415-9f8f-4d22e5d1db49', 'a05848f3-de1c-4ea6-a68e-ea1ac8de9ea9']",8ebd1e44-f813-4415-9f8f-4d22e5d1db49,a7d3c211-31ff-4f19-888e-bab8ecd0dc1e,6,5057042124049,3835036101899,5604165979870,2453474521385,92500670527652,72JCAGTJGSCT,71,2022-Aug-17T02:18:09 +0000,Sarabaya,"-7.2600477,112.6385163",7771007391726,55.9,-9.1,ExAUoDz,,5057042124049,5057042124049,5604165979870,Sarabaya_processing_2
