previous_key,event_id,event_type,vessel_gln,gtin,serial_number,weight,event_time,location_name,location_coordinate,catch_date,vessal_owner_name,species,economic_zone,first_freeze_date,catch_certificate_id,conservation_reference_size,catch_area,company_name,generator_type,new_key,generator_gln,next_pi_gln
912edf2e-933d-4793-9ba0-2077c57070ac,42547cba-a4aa-4758-812f-a3699489c1c4,1,1043022868954,69700806964203,210UDXYXNFEKJAIWFVQMW,5382,2022-Aug-09T15:21:40 +0000,Bali,"-8.1971482,114.4440049",2022-Aug-09,JqezkMw,Salmon,4313294789061,2022-Aug-09,45203544937956,44cm,4063061283149,Bali_factory_2,fishing vessel,912edf2e-933d-4793-9ba0-2077c57070ac,1043022868954,8062616427750
e310c2bf-6532-40c9-a056-31b2c783bbbc,141eef70-6f1a-40f7-8b8c-5c2f8dc8ef35,1,1043022868954,09044079310500,34APWXRXNNORBZNQUUKOOOR,6493,2022-Aug-09T15:21:40 +0000,Bali,"-8.1971482,114.4440049",2022-Aug-09,DKshSWE,Tuna,2166615509443,2022-Aug-09,54417752429295,36cm,8783748706192,Bali_factory_2,fishing vessel,e310c2bf-6532-40c9-a056-31b2c783bbbc,1043022868954,4232317676876
6314a090-5a77-478a-b3e2-18393bcae281,a148c22a-b7fe-4047-b1f3-d4fbe4bf7c73,1,1043022868954,22988359608758,91PZQ,9154,2022-Aug-09T15:21:40 +0000,Bali,"-8.1971482,114.4440049",2022-Aug-09,fBvRpjo,Tuna,6326032626968,2022-Aug-09,45482267165389,39cm,7470665922046,Bali_factory_2,fishing vessel,6314a090-5a77-478a-b3e2-18393bcae281,1043022868954,7276782488155
d5324570-01d9-4e9a-918b-18bcf442b06f,4fd7acee-a2fa-450d-a117-691991c04da4,1,1043022868954,29906346554410,91NRHZCDEOPDVTZ,9519,2022-Aug-09T15:21:40 +0000,Bali,"-8.1971482,114.4440049",2022-Aug-09,WuZWZaW,Cod,3864217509991,2022-Aug-09,47914603254485,50cm,1711927781063,Bali_factory_2,fishing vessel,d5324570-01d9-4e9a-918b-18bcf442b06f,1043022868954,8062616427750
eaee1840-d689-479d-b480-a8e8b55181ca,e6cf84e2-b8fd-4151-b93d-3c0ff4791aa0,1,1477503325544,80845901012093,64YH,1528,2022-Aug-09T15:21:40 +0000,Bali,"-8.5314842,115.4993622",2022-Aug-09,YacUFAp,Cod,1218168716153,2022-Aug-09,35105714948306,36cm,3766135354963,Bali_factory_1,fishing vessel,eaee1840-d689-479d-b480-a8e8b55181ca,1477503325544,8062616427750
fe569ae7-2cfc-4c7a-993d-d46b9207b776,122cc116-c36b-4b5d-9405-7c7238957663,1,1477503325544,87555408889169,46HLGFDPKGR,4621,2022-Aug-09T15:21:40 +0000,Bali,"-8.5314842,115.4993622",2022-Aug-09,YLptGQz,Cod,3658506100494,2022-Aug-09,98896699588530,24cm,5894813645991,Bali_factory_1,fishing vessel,fe569ae7-2cfc-4c7a-993d-d46b9207b776,1477503325544,4232317676876
47f17c80-17a4-4e45-a073-4d34330f0c86,2d089d90-edab-4007-aa14-9aff3807cd67,1,1477503325544,25359225448668,00CVTUFLGSZ,4777,2022-Aug-09T15:21:40 +0000,Bali,"-8.5314842,115.4993622",2022-Aug-09,jMnhPzb,Salmon,2501561647279,2022-Aug-09,80695792123073,16cm,8509526019796,Bali_factory_1,fishing vessel,47f17c80-17a4-4e45-a073-4d34330f0c86,1477503325544,7276782488155
e5abbc0b-502e-4981-b89b-0e79740adc0a,8d16681f-59f2-421d-a139-1eafc94878a5,1,1477503325544,15700111399575,109NQU,3379,2022-Aug-09T15:21:40 +0000,Bali,"-8.5314842,115.4993622",2022-Aug-09,MaelSYu,Tuna,7597591072551,2022-Aug-09,91615893434387,14cm,4076983419484,Bali_factory_1,fishing vessel,e5abbc0b-502e-4981-b89b-0e79740adc0a,1477503325544,4232317676876
919e5589-12b6-4bc1-85ac-52c10ee87e3d,2a1f9144-175d-4092-a367-dd7b8fb7fff0,1,1477503325544,29846508722564,103JKUSJWGMHASL,5788,2022-Aug-09T15:21:40 +0000,Bali,"-8.5314842,115.4993622",2022-Aug-09,mgBePSE,Tuna,2993460005888,2022-Aug-09,67148384109888,46cm,3563683655701,Bali_factory_1,fishing vessel,919e5589-12b6-4bc1-85ac-52c10ee87e3d,1477503325544,8062616427750
fda28a39-e98f-4874-8c28-4e4c07538285,44aa9646-3ba2-4ea6-9776-c971ad3e11ab,1,8820241672208,24142815773310,75PSWTBEB,3998,2022-Aug-09T15:21:40 +0000,Bali,"-8.785488,115.1833109",2022-Aug-09,akVYXnl,Tuna,1930679144329,2022-Aug-09,49834473162090,32cm,4805330273508,Bali_factory_0,fishing vessel,fda28a39-e98f-4874-8c28-4e4c07538285,8820241672208,7276782488155
