event_id,event_type,factory_gln,input_gtin,output_gtin,serial_number,quantity,event_time,location_name,location_coordinate,brand_name,storage_state,expiration_date,comapny_name,generator_type,new_key,previous_key,generator_gln,last_pi_gln,next_pi_gln,company_name
0ad7f11c-953c-477e-82e1-a994e05abfbc,4,0477293072543,['69700806964203'],['35889847944317'],67YO,381,2022-Aug-14T23:21:40 +0000,Sarabaya,"-7.2600477,112.6385163",lvMhfpVFWv,PREVIOUSLY_FROZEN,2022-10-12,LABWoXx,processing company,912edf2e-933d-4793-9ba0-2077c57070ac,912edf2e-933d-4793-9ba0-2077c57070ac,0477293072543,['3238108924487'],0477293072543,Sarabaya_processing_2
1240b1a1-0adf-4ee4-9a71-af9ac684cb30,4,0477293072543,['09044079310500'],['89713182298449'],71BIEJOZSPQ,275,2022-Aug-14T23:21:40 +0000,Sarabaya,"-7.2600477,112.6385163",mTUyqmXLbY,PREVIOUSLY_FROZEN,2022-10-12,IicSGtg,processing company,e310c2bf-6532-40c9-a056-31b2c783bbbc,e310c2bf-6532-40c9-a056-31b2c783bbbc,0477293072543,['3913201877565'],0477293072543,Sarabaya_processing_2
5efcddd7-88bc-4ff0-90f6-a685f8638503,4,3282612262267,['22988359608758'],['42600458813358'],12WJYCOTXDSBXFRBAMUF,482,2022-Aug-14T23:21:40 +0000,Sarabaya,"-7.243421,112.7372967",VhUpwFRWxK,PREVIOUSLY_FROZEN,2022-10-12,NLbxfNd,processing company,6314a090-5a77-478a-b3e2-18393bcae281,6314a090-5a77-478a-b3e2-18393bcae281,3282612262267,['3238108924487'],3282612262267,Sarabaya_processing_1
f22d1691-601c-407e-9e14-a64975ec54ab,4,3126291842784,['29906346554410'],['89260665690088'],36BHIFA,394,2022-Aug-14T23:21:40 +0000,Sarabaya,"7.2677701,112.7178386",lgZEejXUMm,PREVIOUSLY_FROZEN,2022-10-12,qsPIPhI,processing company,d5324570-01d9-4e9a-918b-18bcf442b06f,d5324570-01d9-4e9a-918b-18bcf442b06f,3126291842784,['3913201877565'],3126291842784,Sarabaya_processing_0
dae1a3e0-3b87-4270-a270-e43df2051294,4,0477293072543,['80845901012093'],['52110682104403'],24FSXFSBXXGYCLMA,360,2022-Aug-14T23:21:40 +0000,Sarabaya,"-7.2600477,112.6385163",jppQWDzPZg,PREVIOUSLY_FROZEN,2022-10-12,uMTEYFu,processing company,eaee1840-d689-479d-b480-a8e8b55181ca,eaee1840-d689-479d-b480-a8e8b55181ca,0477293072543,['2809154928212'],0477293072543,Sarabaya_processing_2
df183f6c-6636-4be8-ab14-03dd31fd2f2b,4,0477293072543,['87555408889169'],['63290950644034'],43HNVTADBFDFLIIVCQDB,447,2022-Aug-14T23:21:40 +0000,Sarabaya,"-7.2600477,112.6385163",CNQqYwUTzK,PREVIOUSLY_FROZEN,2022-10-12,mNzRWwk,processing company,fe569ae7-2cfc-4c7a-993d-d46b9207b776,fe569ae7-2cfc-4c7a-993d-d46b9207b776,0477293072543,['3238108924487'],0477293072543,Sarabaya_processing_2
1dc10c08-58a8-4e4b-b80e-97f6cb061c47,4,3126291842784,['25359225448668'],['67332767292031'],16FYJKWINNRDMLIGOFCH,425,2022-Aug-14T23:21:40 +0000,Sarabaya,"7.2677701,112.7178386",uAbblCYsWD,PREVIOUSLY_FROZEN,2022-10-12,kZGrzea,processing company,47f17c80-17a4-4e45-a073-4d34330f0c86,47f17c80-17a4-4e45-a073-4d34330f0c86,3126291842784,['3238108924487'],3126291842784,Sarabaya_processing_0
21d33224-c7fe-4357-8704-a75bc116ef6b,4,3282612262267,['15700111399575'],['72059693775899'],95AF,233,2022-Aug-14T23:21:40 +0000,Sarabaya,"-7.243421,112.7372967",qvIoyHEPOc,PREVIOUSLY_FROZEN,2022-10-12,BphpIoQ,processing company,e5abbc0b-502e-4981-b89b-0e79740adc0a,e5abbc0b-502e-4981-b89b-0e79740adc0a,3282612262267,['3238108924487'],3282612262267,Sarabaya_processing_1
91caedf8-fdc4-444f-b8d0-552a0be1968f,4,3126291842784,['29846508722564'],['93786857884791'],42CYFBKXFOOCDKSFVZKZBR,234,2022-Aug-14T23:21:40 +0000,Sarabaya,"7.2677701,112.7178386",lKPhahGaJF,PREVIOUSLY_FROZEN,2022-10-12,PSzkeYu,processing company,919e5589-12b6-4bc1-85ac-52c10ee87e3d,919e5589-12b6-4bc1-85ac-52c10ee87e3d,3126291842784,['2809154928212'],3126291842784,Sarabaya_processing_0
5ad75e6b-8fd2-4e9a-9cf4-734a99a8c1d7,4,0477293072543,['24142815773310'],['50641316173583'],28KULWJRBZLCLCTTRMXVPZ,281,2022-Aug-14T23:21:40 +0000,Sarabaya,"-7.2600477,112.6385163",LCFEqIVAsP,PREVIOUSLY_FROZEN,2022-10-12,aBnJpoL,processing company,fda28a39-e98f-4874-8c28-4e4c07538285,fda28a39-e98f-4874-8c28-4e4c07538285,0477293072543,['3913201877565'],0477293072543,Sarabaya_processing_2
911f11f8-6a44-433c-87f8-b193ce8bde88,4,0477293072543,['87645394680755'],['49627915303714'],99MXMCYQDIGOPGHR,392,2022-Aug-14T23:21:40 +0000,Sarabaya,"-7.2600477,112.6385163",bzizCrVvLE,PREVIOUSLY_FROZEN,2022-10-12,xIzxrdm,processing company,4a22fa1f-bb57-4d68-9abe-e6a899ddff1d,4a22fa1f-bb57-4d68-9abe-e6a899ddff1d,0477293072543,['3913201877565'],0477293072543,Sarabaya_processing_2
0b3551fa-6422-4f95-810b-252a1b40d279,4,3126291842784,['21399737085512'],['51176955896919'],40NBFPUEYIXRVUHUY,250,2022-Aug-14T23:21:40 +0000,Sarabaya,"7.2677701,112.7178386",SCvilXMbZX,PREVIOUSLY_FROZEN,2022-10-12,KvUbboU,processing company,f66aa655-3edf-441c-9161-ba5473f6e565,f66aa655-3edf-441c-9161-ba5473f6e565,3126291842784,['3913201877565'],3126291842784,Sarabaya_processing_0
96c1fa5b-ade1-457a-abc3-fef22c4371b5,4,0477293072543,['03640384759425'],['54019123230308'],39OTOJUXQCJCYHZO,345,2022-Aug-14T23:21:40 +0000,Sarabaya,"-7.2600477,112.6385163",dfBgHWphKz,PREVIOUSLY_FROZEN,2022-10-12,mRycLdu,processing company,723543eb-a5a6-4fb2-8336-d4c669593878,723543eb-a5a6-4fb2-8336-d4c669593878,0477293072543,['3913201877565'],0477293072543,Sarabaya_processing_2
3e52f94f-494d-443d-977c-8af3c97babe1,4,3282612262267,['44985655917750'],['51549901083437'],910LVAXRVOTLDCCIRA,466,2022-Aug-14T23:21:40 +0000,Sarabaya,"-7.243421,112.7372967",BknqjAevWb,PREVIOUSLY_FROZEN,2022-10-12,GthaWTy,processing company,133d2228-9b9b-4af8-a1ce-927d496c1c2c,133d2228-9b9b-4af8-a1ce-927d496c1c2c,3282612262267,['3913201877565'],3282612262267,Sarabaya_processing_1
