previous_key,new_key,event_id,event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,quantity,event_time,location_name,location_coordinate,departure_gln,weight,temperature,comapny_name,generator_type,generator_gln,last_pi_gln,next_pi_gln,company_name
912edf2e-933d-4793-9ba0-2077c57070ac,9,d98982fa-b3c6-48d9-9abe-add3519c7b61,6,0477293072543,2809134901901,8778240084397,8111525009681,02515937239417,21BATEFZDWIFCRDZDKX,118,2022-Aug-16T23:21:40 +0000,Sarabaya,"-7.2600477,112.6385163",4206559849934,96.5,-3.9,EzIBwDu,,0477293072543,0477293072543,8778240084397,Sarabaya_processing_2
e310c2bf-6532-40c9-a056-31b2c783bbbc,e,86e6d063-31fe-4349-b2c1-a425f56fb314,6,0477293072543,0607610813207,0706576716869,0331717479927,94725290031095,101XIDF,36,2022-Aug-16T23:21:40 +0000,Sarabaya,"-7.2600477,112.6385163",9419967129814,47.7,-3.0,pGZdeSC,,0477293072543,0477293072543,0706576716869,Sarabaya_processing_2
6314a090-5a77-478a-b3e2-18393bcae281,6,55e22e3b-f6e6-49ad-974c-777188a56036,6,3282612262267,9031988939253,8778240084397,8869470455660,26870780782960,98CZSRAUZ,62,2022-Aug-16T23:21:40 +0000,Sarabaya,"-7.243421,112.7372967",0303843627917,89.4,-4.3,IxIiHeq,,3282612262267,3282612262267,8778240084397,Sarabaya_processing_1
d5324570-01d9-4e9a-918b-18bcf442b06f,d,037bada7-dd55-438d-9c5c-b3983909d8ce,6,3126291842784,0607610813207,0706576716869,5167676968631,78473090246934,91LO,113,2022-Aug-16T23:21:40 +0000,Sarabaya,"7.2677701,112.7178386",1898394516046,11.4,-2.5,hjZLyvD,,3126291842784,3126291842784,0706576716869,Sarabaya_processing_0
eaee1840-d689-479d-b480-a8e8b55181ca,e,88a60ddb-5a4d-49f5-b456-267ca4db77d1,6,0477293072543,9031988939253,2518219383691,1525125863037,86414385715900,11HWVBG,49,2022-Aug-16T23:21:40 +0000,Sarabaya,"-7.2600477,112.6385163",8208826085846,77.7,-2.7,ZsxRQBj,,0477293072543,0477293072543,2518219383691,Sarabaya_processing_2
fe569ae7-2cfc-4c7a-993d-d46b9207b776,f,43b9423d-b5e6-4c7f-8838-def5d09a8bd0,6,0477293072543,2809134901901,0706576716869,4257639477722,65661735044613,96QBNQMPWTSVGJCF,47,2022-Aug-16T23:21:40 +0000,Sarabaya,"-7.2600477,112.6385163",8872746444292,50.1,-9.5,uVOuCpF,,0477293072543,0477293072543,0706576716869,Sarabaya_processing_2
47f17c80-17a4-4e45-a073-4d34330f0c86,4,421b473d-927f-4f5d-a1df-2e6957f85e6b,6,3126291842784,2809134901901,0706576716869,2535512343314,64581100211478,92QZBEK,26,2022-Aug-16T23:21:40 +0000,Sarabaya,"7.2677701,112.7178386",8091305254488,16.7,-4.0,SIprdtR,,3126291842784,3126291842784,0706576716869,Sarabaya_processing_0
e5abbc0b-502e-4981-b89b-0e79740adc0a,e,6a6dac04-d7e2-4caf-8f7f-ea7795ca1991,6,3282612262267,0607610813207,2518219383691,4313511656708,03197661667968,010JUL,77,2022-Aug-16T23:21:40 +0000,Sarabaya,"-7.243421,112.7372967",2389622753311,12.9,-9.6,VEiWXIg,,3282612262267,3282612262267,2518219383691,Sarabaya_processing_1
919e5589-12b6-4bc1-85ac-52c10ee87e3d,9,91f375f2-9555-4907-8674-850c9c94e8e4,6,3126291842784,2809134901901,2518219383691,1096769595606,93552685538640,68JVHPISAMMGH,115,2022-Aug-16T23:21:40 +0000,Sarabaya,"7.2677701,112.7178386",2090335644806,80.8,-4.5,gnDrOtP,,3126291842784,3126291842784,2518219383691,Sarabaya_processing_0
fda28a39-e98f-4874-8c28-4e4c07538285,f,cd91d437-c1c8-4734-ba95-858339525c43,6,0477293072543,2809134901901,8778240084397,5801470309590,21545700302314,17J,27,2022-Aug-16T23:21:40 +0000,Sarabaya,"-7.2600477,112.6385163",1183858233524,47.4,-5.4,eeBBEJt,,0477293072543,0477293072543,8778240084397,Sarabaya_processing_2
4a22fa1f-bb57-4d68-9abe-e6a899ddff1d,4,404f8be8-95cc-44d1-819b-68ccd9191d22,6,0477293072543,9031988939253,8778240084397,9702531699037,23187396638811,46TWFBTFCMNJH,106,2022-Aug-16T23:21:40 +0000,Sarabaya,"-7.2600477,112.6385163",8738714116818,39.3,-6.6,QNHzCUJ,,0477293072543,0477293072543,8778240084397,Sarabaya_processing_2
f66aa655-3edf-441c-9161-ba5473f6e565,f,e3a2d89f-0362-486a-9fa0-2391a1541868,6,3126291842784,2809134901901,2518219383691,4934835564215,04549403277010,13ODVRVYB,77,2022-Aug-16T23:21:40 +0000,Sarabaya,"7.2677701,112.7178386",2874393755431,27.7,-3.0,RrXkCpo,,3126291842784,3126291842784,2518219383691,Sarabaya_processing_0
723543eb-a5a6-4fb2-8336-d4c669593878,7,67eb3b83-0e5a-4d68-b7e4-c321fa879797,6,0477293072543,0607610813207,2518219383691,6980258871408,18953178085855,26UBWWRLK,77,2022-Aug-16T23:21:40 +0000,Sarabaya,"-7.2600477,112.6385163",4603740077129,11.3,-3.5,ZEALemY,,0477293072543,0477293072543,2518219383691,Sarabaya_processing_2
