previous_key,event_id,event_type,auction_gln,supplier_gln,customer_gln,gtin,serial_number,weight,event_time,location_name,location_coordinate,product_name,comapny_name,generator_type,new_key,generator_gln,last_pi_gln,next_pi_gln,company_name
10eb0975-5108-4fb6-94c9-2a1eafeb311c,1e38fbff-eaad-4a63-b42c-18b20db87c1e,2,7307964990659,2937171970248,5118787800210,28758993154133,01L,6988,2022-Aug-11T02:34:31 +0000,Bali,"-8.7373787,115.2054138",RKeDF,aTeaVvd,auction center,10eb0975-5108-4fb6-94c9-2a1eafeb311c,7307964990659,2937171970248,7618072701594,Bali_auction_0
bbcfa6da-f1d9-428f-9357-c84f3357288a,15bb7a06-fe12-4ba1-8c6b-c085f5d53a8b,2,7307964990659,2937171970248,9997025506589,48051598308769,010QVBVIGMGV,2726,2022-Aug-11T02:34:31 +0000,Bali,"-8.7373787,115.2054138",jjYTe,qSrHirP,auction center,bbcfa6da-f1d9-428f-9357-c84f3357288a,7307964990659,2937171970248,7618072701594,Bali_auction_0
e105f283-ebbc-4c0d-8212-6a0aeb4a479b,b804643f-f91a-46ba-a480-a1fadbada671,2,6230907621602,2937171970248,9997025506589,25845979812421,710YOLFPSBVQNXO,6316,2022-Aug-11T02:34:31 +0000,Bali,"-8.7172488,115.2191964",kvgKw,JyyPaAn,auction center,e105f283-ebbc-4c0d-8212-6a0aeb4a479b,6230907621602,2937171970248,7618072701594,Bali_auction_2
fc351a3e-78ab-45a6-b9b0-e9af9b282dbe,53e987ef-9aff-439d-97e2-5030821dbdbb,2,7307964990659,2997654340079,0667595524556,43643276681515,52OKJ,3307,2022-Aug-11T02:34:31 +0000,Bali,"-8.7373787,115.2054138",iIVya,wGyRNum,auction center,fc351a3e-78ab-45a6-b9b0-e9af9b282dbe,7307964990659,2997654340079,7370837891080,Bali_auction_0
fdab6562-a921-435c-8f78-8ebd0d188dea,54f594fb-3931-473e-b173-3cda6cd3f1c0,2,4692187105560,2997654340079,9997025506589,17522770420062,57PNFDQDPWTAWJVYTRTZBU,5865,2022-Aug-11T02:34:31 +0000,Bali,"-8.5278193,115.5054367",xftMD,lZpzgVf,auction center,fdab6562-a921-435c-8f78-8ebd0d188dea,4692187105560,2997654340079,2596215788778,Bali_auction_1
a88b212e-a5a9-4791-b27f-01f5bf7f12d7,d2aa8811-7fd5-49a2-a6bb-667bdcd782de,2,7307964990659,2937171970248,0667595524556,95726539271093,04ISX,3685,2022-Aug-11T02:34:31 +0000,Bali,"-8.7373787,115.2054138",XXDbw,GWGvNAS,auction center,a88b212e-a5a9-4791-b27f-01f5bf7f12d7,7307964990659,2937171970248,7370837891080,Bali_auction_0
0bd36b39-92ee-4a4e-b7c6-6c0c8f7e209a,b60131d1-ec05-48f7-9691-5e1d71ac36b7,2,6230907621602,5623293609856,9997025506589,66613185278222,65EJEYNKJH,5126,2022-Aug-11T02:34:31 +0000,Bali,"-8.7172488,115.2191964",rAcNc,dBtctdN,auction center,0bd36b39-92ee-4a4e-b7c6-6c0c8f7e209a,6230907621602,5623293609856,7618072701594,Bali_auction_2
156f6d57-f341-4aa8-98fc-32f21df5b36d,f5539fe2-8d21-4a71-a79d-4bb9a0c868d5,2,6230907621602,2997654340079,9997025506589,91002065827208,08UQCIOHBFNEJ,6754,2022-Aug-11T02:34:31 +0000,Bali,"-8.7172488,115.2191964",BvqjR,bnHtJOu,auction center,156f6d57-f341-4aa8-98fc-32f21df5b36d,6230907621602,2997654340079,2596215788778,Bali_auction_2
d153c67c-4a78-4321-95a5-a5c5df60e487,9a183577-c9a7-4b8c-ab50-ab25cdc8883a,2,4692187105560,5623293609856,9997025506589,16713676190201,102PYQRHAFMKAENT,6051,2022-Aug-11T02:34:31 +0000,Bali,"-8.5278193,115.5054367",ovXEC,fNojIUf,auction center,d153c67c-4a78-4321-95a5-a5c5df60e487,4692187105560,5623293609856,7370837891080,Bali_auction_1
f192c503-1f7f-4bab-a6fb-b3129db46bc8,ed22a87c-10bc-4fa5-831d-61fec1a3d13b,2,6230907621602,2997654340079,5118787800210,51938072962936,35JZXGPK,2524,2022-Aug-11T02:34:31 +0000,Bali,"-8.7172488,115.2191964",ORaUl,GynOBrG,auction center,f192c503-1f7f-4bab-a6fb-b3129db46bc8,6230907621602,2997654340079,7370837891080,Bali_auction_2
