previous_key,new_key,event_id,event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,quantity,event_time,location_name,location_coordinate,departure_gln,weight,temperature,comapny_name,generator_type,generator_gln,last_pi_gln,next_pi_gln,company_name
10eb0975-5108-4fb6-94c9-2a1eafeb311c,5aae20dc-3b47-49f9-929c-f02f41a03036,1d9c600c-6d6c-4765-b019-689850018260,6,5118787800210,0787724016099,1411087533476,9997098293978,28758993154133,01L,3494,2022-Aug-13T02:34:31 +0000,Bali,"-8.1534127,114.3914913",5462545536547,58.7,-6.5,XkJBhgV,,5118787800210,5118787800210,1411087533476,Bali_logistics_0
10eb0975-5108-4fb6-94c9-2a1eafeb311c,d4e02d9a-8dba-4f6d-8ec2-dbbef1f61096,656d1883-3e5d-4ec3-99b1-5eaa2bcd7575,6,5118787800210,9892695950785,1411087533476,5896705768500,28758993154133,01L,3494,2022-Aug-13T02:34:31 +0000,Bali,"-8.1534127,114.3914913",3349366070732,40.5,-5.9,wtoTQOX,,5118787800210,5118787800210,1411087533476,Bali_logistics_0
bbcfa6da-f1d9-428f-9357-c84f3357288a,0368eb8d-bad9-4bc5-8588-ac21aa66f328,c6e3888a-9577-4e9c-a870-5b5b8b9e3225,6,9997025506589,6973908982074,3198890637750,1062836697182,48051598308769,010QVBVIGMGV,1363,2022-Aug-13T02:34:31 +0000,Bali,"-8.1534127,114.3914913",3712496018890,95.7,-2.1,cMFqByl,,9997025506589,9997025506589,3198890637750,Bali_logistics_0
bbcfa6da-f1d9-428f-9357-c84f3357288a,eab978e8-764f-4022-ab6b-fbe34426525f,5f3ff256-1f83-4713-a784-cb45902327fc,6,9997025506589,0787724016099,3198890637750,5257972633309,48051598308769,010QVBVIGMGV,1363,2022-Aug-13T02:34:31 +0000,Bali,"-8.1534127,114.3914913",0864092899674,90.7,-3.6,YzoNAyg,,9997025506589,9997025506589,3198890637750,Bali_logistics_0
e105f283-ebbc-4c0d-8212-6a0aeb4a479b,ce508380-4115-4cce-87df-ddf12e941598,8a0c4eb6-45b8-4310-af8f-27a326d56b58,6,9997025506589,0787724016099,3537232203194,6775021053147,25845979812421,710YOLFPSBVQNXO,3158,2022-Aug-13T02:34:31 +0000,Bali,"-8.1534127,114.3914913",2253148080420,91.8,-8.3,VRJtQcx,,9997025506589,9997025506589,3537232203194,Bali_logistics_0
e105f283-ebbc-4c0d-8212-6a0aeb4a479b,77d93957-0fa8-411e-818e-abf21bb6798c,cde51700-d265-4b5f-a217-752d0bd83d95,6,9997025506589,6973908982074,3537232203194,9277772975954,25845979812421,710YOLFPSBVQNXO,3158,2022-Aug-13T02:34:31 +0000,Bali,"-8.1534127,114.3914913",2803757414528,40.4,-6.5,PWuVVfD,,9997025506589,9997025506589,3537232203194,Bali_logistics_0
fc351a3e-78ab-45a6-b9b0-e9af9b282dbe,8b08f82f-66ce-408e-b75e-fcb32f41ddbe,062a0977-5158-4410-a774-8cce70f59d5d,6,0667595524556,6973908982074,1411087533476,9478178356401,43643276681515,52OKJ,1653,2022-Aug-13T02:34:31 +0000,Bali,"-8.1944802,114.3760511",1490453482655,39.1,-5.6,PnFfQcz,,0667595524556,0667595524556,1411087533476,Bali_logistics_1
fc351a3e-78ab-45a6-b9b0-e9af9b282dbe,267bba3c-930c-43f7-a729-f677b2c4b385,af6354b5-a8b2-42a4-8d41-a26e3567d430,6,0667595524556,9892695950785,1411087533476,2501622873200,43643276681515,52OKJ,1653,2022-Aug-13T02:34:31 +0000,Bali,"-8.1944802,114.3760511",7213799470789,69.8,-6.4,kKSwMam,,0667595524556,0667595524556,1411087533476,Bali_logistics_1
fdab6562-a921-435c-8f78-8ebd0d188dea,c7419120-330d-4013-b182-fb220fb18514,f783d4ef-413c-4536-81ce-496835497b72,6,9997025506589,0787724016099,3537232203194,2680297761577,17522770420062,57PNFDQDPWTAWJVYTRTZBU,2932,2022-Aug-13T02:34:31 +0000,Bali,"-8.290173,114.3303922",8316245538945,25.5,-6.4,ykDDetA,,9997025506589,9997025506589,3537232203194,Bali_logistics_2
fdab6562-a921-435c-8f78-8ebd0d188dea,628d8fc8-1465-4db8-9777-ce85b3ba1931,724d041a-f811-4dad-9299-63bf46eb9766,6,9997025506589,9892695950785,3537232203194,5682917109338,17522770420062,57PNFDQDPWTAWJVYTRTZBU,2932,2022-Aug-13T02:34:31 +0000,Bali,"-8.290173,114.3303922",3409125971348,62.7,-2.5,cDfkKDt,,9997025506589,9997025506589,3537232203194,Bali_logistics_2
