event_type,vessel_gln,gtin,serial_number,weight,event_time,location_gln,catch_date,vessal_owner_name,species,economic_zone,first_freeze_date,catch_certificate_id,conservation_reference_size,catch_area,generator_gln,next_pi_gln
1,0535640547376,39669715896316,76C,4276,2022-Jul-23T10:21:09 +0000,0833175730783,2022-Jul-23,SkafSlu,QniuF,2036415663811,2022-Jul-23,42624742670124,46cm,2001830013625,0535640547376,3643552078685
1,9149290522021,90071750812337,63MZKXFEDCICEL,4867,2022-Jul-23T10:21:09 +0000,2110901840355,2022-Jul-23,gXOVxGa,clRbV,7649210944436,2022-Jul-23,12745670093323,14cm,5091145218214,9149290522021,3728799137759
1,9149290522021,67397849174146,74SWPGYFTZDRFIBVYHSQH,3416,2022-Jul-23T10:21:09 +0000,7616102327456,2022-Jul-23,QQcxxgz,tabyE,9398841169075,2022-Jul-23,62446145985299,44cm,5814749721581,9149290522021,3643552078685
1,0535640547376,15117035762734,310WKUSKKPGFJZ,3811,2022-Jul-23T10:21:09 +0000,1372788994701,2022-Jul-23,xGeZKSK,BykZh,2689782583372,2022-Jul-23,94949424982637,35cm,9063231125945,0535640547376,6771041850660
1,9149290522021,16710969226123,09BLTCZODEJVDGMS,1482,2022-Jul-23T10:21:09 +0000,9039299933831,2022-Jul-23,NsfaYPz,RCZwu,2609460780721,2022-Jul-23,25824088764212,50cm,4514624797976,9149290522021,6771041850660
1,9149290522021,14450986712008,41VDEVXZMTDRJRXOCZPZDEZ,7364,2022-Jul-23T10:21:09 +0000,4045041165631,2022-Jul-23,mXgbpBt,FDrRg,2540587679959,2022-Jul-23,21905138317637,13cm,6754612431934,9149290522021,3728799137759
1,0535640547376,41689078742643,62MVGCAPGYDILOL,8224,2022-Jul-23T10:21:09 +0000,7214547913490,2022-Jul-23,xZEmYco,YKhya,1260129280435,2022-Jul-23,79338692987126,14cm,9564619945373,0535640547376,3728799137759
1,9149290522021,47015351402863,73JINTQBT,9552,2022-Jul-23T10:21:09 +0000,4226269719481,2022-Jul-23,ACCbfiG,jNKUL,0957919063236,2022-Jul-23,94443188185541,12cm,4357185090957,9149290522021,3728799137759
1,2144862998611,94674092846470,65QS,4065,2022-Jul-23T10:21:09 +0000,5249860270752,2022-Jul-23,Xpgcrkh,sMOsn,8040606985430,2022-Jul-23,61962294788432,19cm,5726761885568,2144862998611,3728799137759
1,0535640547376,02898398486186,49GTYVNDBICDR,1457,2022-Jul-23T10:21:09 +0000,8167750907753,2022-Jul-23,AlanTUD,NBhBr,6168882859177,2022-Jul-23,06827783894898,40cm,9113885344447,0535640547376,3728799137759
1,0535640547376,93860712917591,310OGHHWYIIRKTEJTDZLYHN,1039,2022-Jul-23T10:21:09 +0000,6762120239185,2022-Jul-23,aqlyVYT,ZRiqL,6707263033908,2022-Jul-23,65695881678320,30cm,3017380207807,0535640547376,6771041850660
1,9149290522021,21713404577231,47KFBTEDWBTTECFCKJN,1641,2022-Jul-23T10:21:09 +0000,7506842310251,2022-Jul-23,IeQxHyO,OHehA,5545879126208,2022-Jul-23,95902614532877,43cm,7364281004884,9149290522021,3643552078685
1,2144862998611,27612280235894,66G,3729,2022-Jul-23T10:21:09 +0000,0634619155065,2022-Jul-23,AJgkRls,bTXBr,2721310405936,2022-Jul-23,03719182878977,38cm,6097073366645,2144862998611,3643552078685
1,2144862998611,81311443956212,010YPAB,5031,2022-Jul-23T10:21:09 +0000,8609689085801,2022-Jul-23,rXPemMQ,FfBuL,7744809446596,2022-Jul-23,31995956084000,47cm,4877539128135,2144862998611,3643552078685
1,9149290522021,56332320608392,41ALAKKFEAJIECQDE,3391,2022-Jul-23T10:21:09 +0000,3164664527290,2022-Jul-23,MAJbaqu,yUJNk,9701024264017,2022-Jul-23,66180224438584,31cm,3011872404765,9149290522021,3643552078685
1,0535640547376,68252588445642,76XJXGYAV,9444,2022-Jul-23T10:21:09 +0000,6446085599643,2022-Jul-23,tZrVgMI,OJwZB,8351955590956,2022-Jul-23,52695859061921,28cm,7291603926959,0535640547376,3728799137759
1,0535640547376,95565266919992,62YOKPPWIXUVVCXK,2310,2022-Jul-23T10:21:09 +0000,0752150665179,2022-Jul-23,TEQwhHx,Tcnqg,6099866702866,2022-Jul-23,66084971313509,41cm,9822148337242,0535640547376,3728799137759
1,2144862998611,45992083197658,21K,9577,2022-Jul-23T10:21:09 +0000,3132584200195,2022-Jul-23,eSOPAiz,mrxDc,2489302934105,2022-Jul-23,78785982601845,20cm,1525796646251,2144862998611,6771041850660
1,9149290522021,99644984824290,01SQTMHYDVNXSQSSFHHJM,1189,2022-Jul-23T10:21:09 +0000,2849613226452,2022-Jul-23,LBLxUAo,kYryP,9958874165146,2022-Jul-23,31466923056743,35cm,7687242474876,9149290522021,6771041850660
1,2144862998611,83992637617660,32TWXBEDGMPNHEPXQXJ,7178,2022-Jul-23T10:21:09 +0000,5808857191258,2022-Jul-23,gihlcJP,jLcHR,3464839413893,2022-Jul-23,60863735173000,39cm,9849213594130,2144862998611,3728799137759
1,0535640547376,45299025530977,58ZGZQPXFEGNOZBSZHZQ,1498,2022-Jul-23T10:21:09 +0000,3845583112048,2022-Jul-23,iDgMtDx,vbSrU,4909012696735,2022-Jul-23,14470584408270,10cm,8295369251227,0535640547376,6771041850660
1,9149290522021,34315595920564,05WCMONXYDZOPWKXBAATU,7635,2022-Jul-23T10:21:09 +0000,0020196902215,2022-Jul-23,nWDvdwX,nmvBC,3926441485436,2022-Jul-23,64124041553934,16cm,9744527482792,9149290522021,6771041850660
1,2144862998611,02229808259030,26CHXLAABTGMMAZMKXG,8202,2022-Jul-23T10:21:09 +0000,1086995387067,2022-Jul-23,VJLpMif,MjOCU,9041390339621,2022-Jul-23,44592978130738,26cm,1634525697871,2144862998611,3728799137759
1,2144862998611,62862678505244,51BDMAXVPE,4722,2022-Jul-23T10:21:09 +0000,1824007204712,2022-Jul-23,twjgaUF,WdrnK,3375938834749,2022-Jul-23,18288532046332,24cm,2444649613480,2144862998611,6771041850660
1,2144862998611,83236766216853,00JFURVWAWQYS,8757,2022-Jul-23T10:21:09 +0000,3377860968139,2022-Jul-23,AQvMlXT,AIVwU,0913486358588,2022-Jul-23,87658121301913,32cm,0916362338047,2144862998611,3643552078685
1,2144862998611,42410949334275,54XLXPIL,5214,2022-Jul-23T10:21:09 +0000,4413167197478,2022-Jul-23,AFhfOlS,sGwoa,2739767239883,2022-Jul-23,65773369357963,16cm,7615515900936,2144862998611,6771041850660
1,9149290522021,85252579785747,70M,4041,2022-Jul-23T10:21:09 +0000,4512964361252,2022-Jul-23,arnELfh,AiBsq,0875826928311,2022-Jul-23,30313432016613,24cm,6791708477511,9149290522021,3728799137759
1,2144862998611,57534011201238,76LLJPBUGRGLJGLPAGGGVZH,9797,2022-Jul-23T10:21:09 +0000,8620773802396,2022-Jul-23,AkhtnHH,pyCmG,8154863805161,2022-Jul-23,96675664170803,42cm,7395012502711,2144862998611,3728799137759
