event_type,auction_gln,supplier_gln,customer_gln,gtin,serial_number,weight,event_time,location_gln,product_name,generator_gln,last_pi_gln,next_pi_gln
2,3643552078685,0535640547376,1812695993793,39669715896316,76C,4276,2022-Jul-24T18:21:09 +0000,7316941790487,Tvgaa,3643552078685,0535640547376,9755569894302
2,3728799137759,9149290522021,1812695993793,90071750812337,63MZKXFEDCICEL,4867,2022-Jul-24T18:21:09 +0000,0060228282371,aowNy,3728799137759,9149290522021,3728799137759
2,3643552078685,9149290522021,1444588788396,67397849174146,74SWPGYFTZDRFIBVYHSQH,3416,2022-Jul-24T18:21:09 +0000,4922592627845,zTNVw,3643552078685,9149290522021,9755569894302
2,6771041850660,0535640547376,1444588788396,15117035762734,310WKUSKKPGFJZ,3811,2022-Jul-24T18:21:09 +0000,9102289827141,IjzIm,6771041850660,0535640547376,6771041850660
2,6771041850660,9149290522021,1812695993793,16710969226123,09BLTCZODEJVDGMS,1482,2022-Jul-24T18:21:09 +0000,9537175651050,SoXCV,6771041850660,9149290522021,0660103096818
2,3728799137759,9149290522021,1812695993793,14450986712008,41VDEVXZMTDRJRXOCZPZDEZ,7364,2022-Jul-24T18:21:09 +0000,8755235130750,FnPLW,3728799137759,9149290522021,3728799137759
2,3728799137759,0535640547376,1812695993793,41689078742643,62MVGCAPGYDILOL,8224,2022-Jul-24T18:21:09 +0000,5137431312036,vCGnF,3728799137759,0535640547376,0660103096818
2,3728799137759,9149290522021,1812695993793,47015351402863,73JINTQBT,9552,2022-Jul-24T18:21:09 +0000,6764967829989,oKYPN,3728799137759,9149290522021,3728799137759
2,3728799137759,2144862998611,1444588788396,94674092846470,65QS,4065,2022-Jul-24T18:21:09 +0000,6965334800180,iSUXs,3728799137759,2144862998611,9755569894302
2,3728799137759,0535640547376,1444588788396,02898398486186,49GTYVNDBICDR,1457,2022-Jul-24T18:21:09 +0000,3994267147804,BQhWG,3728799137759,0535640547376,3728799137759
