event_type,factory_gln,input_gtin,output_gtin,serial_number,quantity,event_time,location_gln,brand_name,product_method,ingredient_statement,storage_state,expiration_date,generator_gln,last_pi_gln,next_pi_gln
4,2702337798955,"['61820257566143', '29467347688041']",['42913017763590'],410YCKNPUOOGCCD,326,2022-Jul-26T15:08:20 +0000,3538998039551,awGTZqjwPX,oee,BZGPiKPDKCUNBUmMMWKw,PREVIOUSLY_FROZEN,2022-09-23,2702337798955,"['7203168224146', '7203168224146']",2702337798955
4,2702337798955,"['61930292531460', '74030454425350']",['08829502223730'],46IIPSXXZSLIHPO,282,2022-Jul-26T15:08:20 +0000,9914806411508,aRXEVPVcmE,CtK,VYZBDjTjmCVARlZfQFio,PREVIOUSLY_FROZEN,2022-09-23,2702337798955,"['2702337798955', '2702337798955']",2702337798955
4,2702337798955,"['62847502576248', '45139509259711']",['38431983703950'],100XAZPJMGALD,351,2022-Jul-26T15:08:20 +0000,7812911802273,YtsluzFjnF,vaA,oXryfbUHDvEhPmZnRcxW,PREVIOUSLY_FROZEN,2022-09-23,2702337798955,"['7203168224146', '7203168224146']",2702337798955
4,7203168224146,"['11131869551495', '15935835468877']",['04122842176726'],104IRMLU,357,2022-Jul-26T15:08:20 +0000,0929749597145,odTYzdRTBM,Kba,kzRjyhgwRVpGZQrYqFmS,PREVIOUSLY_FROZEN,2022-09-23,7203168224146,"['7203168224146', '7203168224146']",7203168224146
4,7203168224146,"['51718706843086', '73742814064671']",['30671142140006'],108FDUO,319,2022-Jul-26T15:08:20 +0000,9897786151060,BHrIowCcVt,IQm,ZYpqsTTyCVtGYBZioNjD,PREVIOUSLY_FROZEN,2022-09-23,7203168224146,"['2702337798955', '2702337798955']",7203168224146
4,7203168224146,"['61907426785154', '97612416580187']",['19929301472786'],65TVOOQCXKLNIRTXWUSV,334,2022-Jul-26T15:08:20 +0000,8107988936876,mvTtUpMqfg,EGp,MPLRtkuTHLpgCjpuHBvp,PREVIOUSLY_FROZEN,2022-09-23,7203168224146,"['5474559226167', '5474559226167']",7203168224146
4,5474559226167,"['43163107064411', '52784084237345']",['94239681729758'],02WDXX,163,2022-Jul-26T15:08:20 +0000,7072815100694,aSfIRcLrXr,VvR,TkzUWoxVNIaRNPkZevPA,PREVIOUSLY_FROZEN,2022-09-23,5474559226167,"['5474559226167', '5474559226167']",5474559226167
4,2702337798955,"['58024496790252', '06606607018742']",['08528861033802'],31XLRBSONRECTWNEBCZNQCK,484,2022-Jul-26T15:08:20 +0000,9411454295977,BOfqXLVVHs,wIA,VGuMkOlptjRDRJgDwdTe,PREVIOUSLY_FROZEN,2022-09-23,2702337798955,"['2702337798955', '2702337798955']",2702337798955
4,2702337798955,"['69887937960650', '92845409138660']",['26616013183156'],104FYWXBCOWMAFNKGRJT,365,2022-Jul-26T15:08:20 +0000,7676945345952,owXFvWPYlh,VbG,dwsFHKBtsJpHitbfVdIA,PREVIOUSLY_FROZEN,2022-09-23,2702337798955,"['7203168224146', '7203168224146']",2702337798955
4,2702337798955,"['43616283678321', '89717179132466']",['38301877555114'],101NXRPGBWGUDXYUHYSDWRT,443,2022-Jul-26T15:08:20 +0000,3497532343862,sOQJnKOhrv,Kgs,ZsqamQTmijKpPsBGUZTk,PREVIOUSLY_FROZEN,2022-09-23,2702337798955,"['5474559226167', '5474559226167']",2702337798955
4,7203168224146,"['00486775357879', '59219883447157']",['42083917769597'],610MFXBP,485,2022-Jul-26T15:08:20 +0000,5250197236763,hPTcMcBywg,ncy,YYtXuLKgmeYqeBrmkdmm,PREVIOUSLY_FROZEN,2022-09-23,7203168224146,"['2702337798955', '2702337798955']",7203168224146
4,5474559226167,"['82836062971393', '11797063048359']",['14508143103085'],01JXVDGGC,134,2022-Jul-26T15:08:20 +0000,5050994895389,BkgTcWXVEI,BOV,RjHcMWCUHmwpUvijKaVf,PREVIOUSLY_FROZEN,2022-09-23,5474559226167,"['5474559226167', '5474559226167']",5474559226167
4,2702337798955,"['04046369656020', '47229887506923']",['30915024193139'],94QS,196,2022-Jul-26T15:08:20 +0000,4263855080410,wPojvyKEAJ,bGR,SXIrQNcoEUVfUGCUqaRU,PREVIOUSLY_FROZEN,2022-09-23,2702337798955,"['5474559226167', '5474559226167']",2702337798955
4,7203168224146,"['08116421449592', '01306987723323']",['93332608445989'],07PTXG,104,2022-Jul-26T15:08:20 +0000,4069068398899,aMwIfcOHQi,iku,WcSWveVrTxYxIRGSvxiw,PREVIOUSLY_FROZEN,2022-09-23,7203168224146,"['2702337798955', '2702337798955']",7203168224146
4,5474559226167,"['36384209330313', '69932240120601']",['37489172806477'],13WYXYCMSCD,115,2022-Jul-26T15:08:20 +0000,7518705869277,MVmIQXZkIj,LdW,iWtGNsDTLRKqHjnjSppX,PREVIOUSLY_FROZEN,2022-09-23,5474559226167,"['7203168224146', '7203168224146']",5474559226167
