event_type,generator_gln,input_gtin,output_gtin,serial_number,quantity,event_time,location_gln,net_contain,packing_type_code,packing_material,recycling_process_type,last_pi_gln,next_pi_gln
5,5028141568059,82569241096730,12410112062480,89SYAO,87,2022-Jul-27T18:48:26 +0000,3741040602990,6,xEb,PLASTIC_THERMOPLASTICS,Recyclable,5028141568059,5028141568059
5,5028141568059,51680070010280,60796337532192,40CSHGRTIWVVV,58,2022-Jul-27T18:48:26 +0000,0494359514973,5,QLj,PLASTIC_THERMOPLASTICS,Recyclable,5028141568059,5028141568059
5,5028141568059,41832986867150,29735494267318,010CN,98,2022-Jul-27T18:48:26 +0000,9796694289664,0,kMC,PLASTIC_THERMOPLASTICS,Recyclable,5028141568059,5028141568059
5,5028141568059,07139579586341,90981766418540,30KUVLOGTPXNH,114,2022-Jul-27T18:48:26 +0000,2188000449962,5,Iur,PLASTIC_THERMOPLASTICS,Recyclable,5028141568059,5028141568059
5,5028141568059,88608496660433,10702897715070,31SDLUBLAF,108,2022-Jul-27T18:48:26 +0000,8477929927442,2,Zjb,PLASTIC_THERMOPLASTICS,Recyclable,5028141568059,5028141568059
5,0427480468215,89149614020586,11923569409440,1010TNXEFQTZQG,64,2022-Jul-27T18:48:26 +0000,2963982507894,1,Gdh,PLASTIC_THERMOPLASTICS,Recyclable,0427480468215,0427480468215
5,9313771303347,04165189081795,05700453523420,71TTEEUBIQSJTPSTMG,94,2022-Jul-27T18:48:26 +0000,3980524813314,6,Pql,PLASTIC_THERMOPLASTICS,Recyclable,9313771303347,9313771303347
5,5028141568059,07182537408469,19610339874095,51QGEFH,122,2022-Jul-27T18:48:26 +0000,0992690475443,1,iul,PLASTIC_THERMOPLASTICS,Recyclable,5028141568059,5028141568059
5,0427480468215,42083370763452,55860049478520,82TJJBV,119,2022-Jul-27T18:48:26 +0000,0798531441324,5,SnY,PLASTIC_THERMOPLASTICS,Recyclable,0427480468215,0427480468215
5,0427480468215,16477020557151,14006254574432,91GTR,97,2022-Jul-27T18:48:26 +0000,3773128113946,6,xwV,PLASTIC_THERMOPLASTICS,Recyclable,0427480468215,0427480468215
5,5028141568059,05671279975490,92065443478740,71OIHNHCRCXLHVBGPLGMXNF,91,2022-Jul-27T18:48:26 +0000,1316165695692,9,OiW,PLASTIC_THERMOPLASTICS,Recyclable,5028141568059,5028141568059
5,5028141568059,36910402105178,10695069847637,84ZXDIGLBRRRJJOWL,64,2022-Jul-27T18:48:26 +0000,2965419225017,9,aWi,PLASTIC_THERMOPLASTICS,Recyclable,5028141568059,5028141568059
5,5028141568059,49230215257434,28568812498720,49ETBZDMRHYGCKS,98,2022-Jul-27T18:48:26 +0000,2996818125597,0,fna,PLASTIC_THERMOPLASTICS,Recyclable,5028141568059,5028141568059
5,5028141568059,28075680432861,42055753186670,87QRNRQULQAIVLJBOVCWS,25,2022-Jul-27T18:48:26 +0000,5576477858242,3,iaX,PLASTIC_THERMOPLASTICS,Recyclable,5028141568059,5028141568059
5,0427480468215,06900173159510,18516621295844,72QXHNIADSUX,25,2022-Jul-27T18:48:26 +0000,3211743602977,3,AeY,PLASTIC_THERMOPLASTICS,Recyclable,0427480468215,0427480468215
5,9313771303347,98110082625727,69003059282413,69YJIL,117,2022-Jul-27T18:48:26 +0000,2599481599440,7,Hnj,PLASTIC_THERMOPLASTICS,Recyclable,9313771303347,9313771303347
5,9313771303347,66253314842978,57525611410729,90QGJNWBDRWW,78,2022-Jul-27T18:48:26 +0000,6566391834625,6,onG,PLASTIC_THERMOPLASTICS,Recyclable,9313771303347,9313771303347
5,9313771303347,80064532039296,96286679902940,79FDWGHSJUAVSKRNMHD,113,2022-Jul-27T18:48:26 +0000,7349140717629,8,yRX,PLASTIC_THERMOPLASTICS,Recyclable,9313771303347,9313771303347
5,0427480468215,45161848586176,66028814502450,69QYQBKRXZ,70,2022-Jul-27T18:48:26 +0000,2698274659756,4,tTV,PLASTIC_THERMOPLASTICS,Recyclable,0427480468215,0427480468215
5,0427480468215,64646982472233,75263896232795,65DUKTWFJ,93,2022-Jul-27T18:48:26 +0000,9710953414421,0,HHu,PLASTIC_THERMOPLASTICS,Recyclable,0427480468215,0427480468215
