event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,quantity,event_time,destination_gln,departure_gln,weight,temperature,generator_gln,last_pi_gln,next_pi_gln
6,2702337798955,3194427377399,7203168224146,9102044641277,43476014760823,72HVLJJAILZLPSFTMSWBJ,100,2022-Jul-28T15:08:20 +0000,8573336484244,1981667997861,95.8,-4.6,2702337798955,2702337798955,7203168224146
6,2702337798955,3194427377399,2702337798955,2537060167789,78879410865242,39AGKECUULUSH,62,2022-Jul-28T15:08:20 +0000,1290198870151,8507970725337,81.5,-7.3,2702337798955,2702337798955,2702337798955
6,2702337798955,9539449086909,2702337798955,7514832490686,26462758046950,09AAEVP,70,2022-Jul-28T15:08:20 +0000,6591832641837,4568677041769,89.9,-4.7,2702337798955,2702337798955,2702337798955
6,7203168224146,2289060927552,2702337798955,3377831073172,23740504793411,38JQM,58,2022-Jul-28T15:08:20 +0000,5521655729786,3936187234662,38.3,-1.1,7203168224146,7203168224146,2702337798955
6,7203168224146,3194427377399,2702337798955,5295757270490,02619894129787,17FGPWSYVLJAKX,58,2022-Jul-28T15:08:20 +0000,7761206230718,6122026710813,88.4,-8.0,7203168224146,7203168224146,2702337798955
6,7203168224146,9539449086909,2702337798955,9933451355504,19538909802858,46KUSVA,40,2022-Jul-28T15:08:20 +0000,0939918974733,5639367249317,50.2,-5.4,7203168224146,7203168224146,2702337798955
6,5474559226167,3194427377399,7203168224146,2282576298497,42061116927037,76ACKUEKRIOQVODWMV,92,2022-Jul-28T15:08:20 +0000,2273887977292,6141106554236,20.0,-8.8,5474559226167,5474559226167,7203168224146
6,2702337798955,3194427377399,2702337798955,5938434184259,75469945438828,79ABJCGAGBLSF,70,2022-Jul-28T15:08:20 +0000,6838234209814,9998139763161,54.4,-1.0,2702337798955,2702337798955,2702337798955
6,2702337798955,3194427377399,5474559226167,1501657629665,09958608454932,89XXZTTTKHSNF,117,2022-Jul-28T15:08:20 +0000,9471705516293,4502155554178,25.7,-4.8,2702337798955,2702337798955,5474559226167
6,2702337798955,3194427377399,2702337798955,9986673141328,26162674324825,45TJ,93,2022-Jul-28T15:08:20 +0000,0190261671124,6642166438424,90.5,-6.9,2702337798955,2702337798955,2702337798955
6,7203168224146,9539449086909,5474559226167,6201210535020,54324245881730,68CQFREMPTFONIKEY,113,2022-Jul-28T15:08:20 +0000,6511668776518,9398826042497,74.1,-7.4,7203168224146,7203168224146,5474559226167
6,5474559226167,3194427377399,2702337798955,5865119848476,79633798688372,05IBEVBQFXN,67,2022-Jul-28T15:08:20 +0000,6984460333299,7996642313097,59.5,-5.1,5474559226167,5474559226167,2702337798955
6,2702337798955,3194427377399,7203168224146,2860832655554,10980192896487,62DTMEQEPLMJQ,108,2022-Jul-28T15:08:20 +0000,2817478784061,8573560290559,77.9,-4.9,2702337798955,2702337798955,7203168224146
6,7203168224146,2289060927552,2702337798955,8359922958346,03251850747546,76OBGYTAQWEUPEFPN,38,2022-Jul-28T15:08:20 +0000,3532451331036,1481348726884,66.4,-0.2,7203168224146,7203168224146,2702337798955
6,5474559226167,9539449086909,7203168224146,7730559300227,35947216278929,11JKWZPHTGWNXUTJHEOMQ,67,2022-Jul-28T15:08:20 +0000,2006666986933,2576099202743,85.6,-0.1,5474559226167,5474559226167,7203168224146
6,2702337798955,2289060927552,5474559226167,9178086833002,11611788446497,105ROILNTOMCVXIOO,110,2022-Jul-28T15:08:20 +0000,2886395944155,8165254430876,60.2,-0.6,2702337798955,2702337798955,5474559226167
6,5474559226167,9539449086909,2702337798955,4793606082636,15531824380179,97W,113,2022-Jul-28T15:08:20 +0000,8091320327948,9901763509320,60.8,-2.6,5474559226167,5474559226167,2702337798955
6,2702337798955,2289060927552,7203168224146,8915766708866,84324471593529,11SWGNUWRCBELPYND,52,2022-Jul-28T15:08:20 +0000,6494105464072,4111114115179,78.7,-6.5,2702337798955,2702337798955,7203168224146
6,2702337798955,9539449086909,2702337798955,6740903854637,95635562218468,86KLFBK,56,2022-Jul-28T15:08:20 +0000,5164435626629,5781211959300,92.2,-4.2,2702337798955,2702337798955,2702337798955
6,2702337798955,2289060927552,5474559226167,2389424360706,04055727555725,108QUHYLHS,88,2022-Jul-28T15:08:20 +0000,3357882292522,7605182169813,64.5,-0.0,2702337798955,2702337798955,5474559226167
