event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,weight,event_time,destination_gln,departure_gln,temperature,generator_gln,last_pi_gln,next_pi_gln
3,1812695993793,1476007509304,0660103096818,6135406213527,49855280840871,95GXNMIXPHRARIMEXANATGJ,82,2022-Jul-31T18:21:09 +0000,6329386973871,5262509602528,-6.9,0660103096818,1812695993793,1476007509304
3,1444588788396,5919361357321,7436391661007,9703300241545,10876840606451,17FKVF,116,2022-Jul-31T18:21:09 +0000,4545561903624,8898636181720,-3.0,7436391661007,1444588788396,5919361357321
3,1812695993793,5919361357321,0660103096818,8194580508440,78731717887115,27M,82,2022-Jul-31T18:21:09 +0000,9626846549882,1057422847674,-1.5,0660103096818,1812695993793,5919361357321
3,1812695993793,5919361357321,9755569894302,0420429999283,64520437204229,63BARJYBKDSDPVPVQ,75,2022-Jul-31T18:21:09 +0000,7195628099073,2262163674087,-8.7,9755569894302,1812695993793,5919361357321
3,1444588788396,1476007509304,0660103096818,1399903092236,55890756166009,30SPFLLVVCCGKCEZBN,75,2022-Jul-31T18:21:09 +0000,3285114744625,3208628101149,-9.3,0660103096818,1444588788396,1476007509304
3,1444588788396,4298028367858,9755569894302,1579285406354,41127584237586,60GSELWJBXKOQNJKLFOOKY,65,2022-Jul-31T18:21:09 +0000,8265742768050,2377729140912,-3.6,9755569894302,1444588788396,4298028367858
3,1812695993793,1476007509304,0660103096818,5853657182598,13621168635556,30WFLFIGWJJTNTP,35,2022-Jul-31T18:21:09 +0000,9254973781745,1902747846886,-2.3,0660103096818,1812695993793,1476007509304
3,1812695993793,1476007509304,7436391661007,0300280201078,47933897632571,15YYQJPMEBPGNMMIFEQYKML,115,2022-Jul-31T18:21:09 +0000,4717139421059,2853175423892,-4.6,7436391661007,1812695993793,1476007509304
3,0043458285749,4298028367858,0660103096818,2436091641267,06116413519175,48XYUFPQTPJQFJ,51,2022-Jul-31T18:21:09 +0000,7549631912761,8812839004626,-2.7,0660103096818,0043458285749,4298028367858
3,0043458285749,5919361357321,0660103096818,2278913197704,41001045558398,104SMXDWNYDBGQFOSIPKDPNR,73,2022-Jul-31T18:21:09 +0000,1484342302560,5290610245677,-4.9,0660103096818,0043458285749,5919361357321
3,0043458285749,5919361357321,9755569894302,2883086301566,44303327162662,30PUUPTJOLVPW,58,2022-Jul-31T18:21:09 +0000,4147931513514,0436410440205,-3.3,9755569894302,0043458285749,5919361357321
3,0043458285749,1476007509304,0660103096818,6219000793800,98240270129115,42DFGOYIGFLLXW,35,2022-Jul-31T18:21:09 +0000,9308386087683,2410999409434,-7.5,0660103096818,0043458285749,1476007509304
3,1444588788396,1476007509304,9755569894302,9217359384538,61693668692699,08TT,89,2022-Jul-31T18:21:09 +0000,0052134146754,7423533226823,-8.4,9755569894302,1444588788396,1476007509304
3,1444588788396,4298028367858,0660103096818,6536559774773,23862277493972,92DG,67,2022-Jul-31T18:21:09 +0000,8765600148524,5813981996940,-8.4,0660103096818,1444588788396,4298028367858
3,0043458285749,1476007509304,9755569894302,1269677317904,78360724218879,50SJREBJZUCBINCDUU,67,2022-Jul-31T18:21:09 +0000,9183845459243,4757362662958,-7.4,9755569894302,0043458285749,1476007509304
3,1444588788396,4298028367858,9755569894302,1238757249765,13246424059909,62LVTBOHVOOZCRCWCD,79,2022-Jul-31T18:21:09 +0000,0311742565494,4217493653286,-4.8,9755569894302,1444588788396,4298028367858
3,1444588788396,1476007509304,0660103096818,2789663820417,70442796887522,06PUTWVWOU,70,2022-Jul-31T18:21:09 +0000,8187651394772,8758892067076,-3.6,0660103096818,1444588788396,1476007509304
3,1812695993793,4298028367858,9755569894302,1715025370424,18182014862447,30OLWDWFMQD,76,2022-Jul-31T18:21:09 +0000,4918514186441,2584380223538,-10.0,9755569894302,1812695993793,4298028367858
3,1444588788396,5919361357321,9755569894302,4073624666550,40798677479427,310DT,111,2022-Jul-31T18:21:09 +0000,4154974374901,6123330648851,-9.8,9755569894302,1444588788396,5919361357321
3,1812695993793,1476007509304,0660103096818,5745793575805,64803198123963,13EGBFGCIJ,112,2022-Jul-31T18:21:09 +0000,5442125846191,1804891755171,-1.6,0660103096818,1812695993793,1476007509304
