event_type,retailer_gln,gtin,serial_number,quantity,event_time,location_gln,price,generator_gln,last_pi_gln
7,2154363961852,12410112062480,89SYAO,1,2022-Jul-30T18:48:26 +0000,2447580687327,43.38,2154363961852,2154363961852
7,1583593621774,60796337532192,40CSHGRTIWVVV,1,2022-Jul-30T18:48:26 +0000,9166600021743,45.02,1583593621774,1583593621774
7,2154363961852,29735494267318,010CN,1,2022-Jul-30T18:48:26 +0000,1349610668192,32.81,2154363961852,2154363961852
7,8018813396993,90981766418540,30KUVLOGTPXNH,1,2022-Jul-30T18:48:26 +0000,0730405589492,21.98,8018813396993,8018813396993
7,1583593621774,10702897715070,31SDLUBLAF,1,2022-Jul-30T18:48:26 +0000,1552109315755,25.53,1583593621774,1583593621774
7,1583593621774,11923569409440,1010TNXEFQTZQG,1,2022-Jul-30T18:48:26 +0000,0390546403767,33.72,1583593621774,1583593621774
7,1583593621774,05700453523420,71TTEEUBIQSJTPSTMG,1,2022-Jul-30T18:48:26 +0000,3837351214803,17.49,1583593621774,1583593621774
7,8018813396993,19610339874095,51QGEFH,1,2022-Jul-30T18:48:26 +0000,9111330531146,48.7,8018813396993,8018813396993
7,2154363961852,55860049478520,82TJJBV,1,2022-Jul-30T18:48:26 +0000,8363597286609,22.42,2154363961852,2154363961852
7,8018813396993,14006254574432,91GTR,1,2022-Jul-30T18:48:26 +0000,5451753523601,36.93,8018813396993,8018813396993
7,2154363961852,92065443478740,71OIHNHCRCXLHVBGPLGMXNF,1,2022-Jul-30T18:48:26 +0000,8914144636157,29.81,2154363961852,2154363961852
7,1583593621774,10695069847637,84ZXDIGLBRRRJJOWL,1,2022-Jul-30T18:48:26 +0000,8271183702764,28.81,1583593621774,1583593621774
7,8018813396993,28568812498720,49ETBZDMRHYGCKS,1,2022-Jul-30T18:48:26 +0000,6899869166256,9.95,8018813396993,8018813396993
7,8018813396993,42055753186670,87QRNRQULQAIVLJBOVCWS,1,2022-Jul-30T18:48:26 +0000,7019897511268,43.51,8018813396993,8018813396993
7,2154363961852,18516621295844,72QXHNIADSUX,1,2022-Jul-30T18:48:26 +0000,5030923240114,14.89,2154363961852,2154363961852
7,1583593621774,69003059282413,69YJIL,1,2022-Jul-30T18:48:26 +0000,2256685715005,46.86,1583593621774,1583593621774
7,1583593621774,57525611410729,90QGJNWBDRWW,1,2022-Jul-30T18:48:26 +0000,6960055220956,21.21,1583593621774,1583593621774
7,2154363961852,96286679902940,79FDWGHSJUAVSKRNMHD,1,2022-Jul-30T18:48:26 +0000,3406779637612,44.4,2154363961852,2154363961852
7,2154363961852,66028814502450,69QYQBKRXZ,1,2022-Jul-30T18:48:26 +0000,9299360285751,34.88,2154363961852,2154363961852
7,1583593621774,75263896232795,65DUKTWFJ,1,2022-Jul-30T18:48:26 +0000,5359163115735,22.32,1583593621774,1583593621774
