event_type,vessel_gln,gtin,serial_number,weight,event_time,location_gln,catch_date,vessal_owner_name,species,economic_zone,first_freeze_date,catch_certificate_id,conservation_reference_size,catch_area,generator_gln,next_pi_gln
1,3479784872818,69084353330366,40UTDUOVHDEZTHJDWMDIFN,0,2022-Jul-21T10:53:48 +0000,3698099377752,2022-Jul-21,HpxHtRG,YwnCL,5406355213369,2022-Jul-21,01792036203875,15cm,4083592888594,3479784872818,5141247000519
1,3479784872818,10000005698880,75APBRORYKLIARLPTB,0,2022-Jul-21T10:53:48 +0000,5327626057007,2022-Jul-21,MHXkKNU,webAO,5902760535965,2022-Jul-21,61617836229591,15cm,0960597411686,3479784872818,5141247000519
1,1058980592402,18757379146546,710WRIYHYIEWWCVBRKXM,0,2022-Jul-21T10:53:48 +0000,5377797681803,2022-Jul-21,FeMXXwn,WYdUR,9195775669130,2022-Jul-21,42317524319840,34cm,0339264007546,1058980592402,9043194762598
1,1058980592402,19971928303247,03BWHNRG,0,2022-Jul-21T10:53:48 +0000,3972306871453,2022-Jul-21,BUnTxAe,eRlcO,7189985283376,2022-Jul-21,94596084070421,49cm,5047683557682,1058980592402,9043194762598
1,7697529455769,61641573389599,69B,0,2022-Jul-21T10:53:48 +0000,7183393431795,2022-Jul-21,BJjTtXd,oHmAj,5387333001637,2022-Jul-21,98374420999293,30cm,9822072877041,7697529455769,9043194762598
1,7697529455769,15443179529853,82LZQDTVZZJEZDADSBC,0,2022-Jul-21T10:53:48 +0000,6252463396115,2022-Jul-21,CNqqQHN,movtS,4221380047755,2022-Jul-21,33893284383476,22cm,0215871741508,7697529455769,9043194762598
1,3479784872818,69987085498514,37QGWHHWSFDISYHJWOVMV,0,2022-Jul-21T10:53:48 +0000,1129691026759,2022-Jul-21,VFVrfSl,tCZge,9932450148353,2022-Jul-21,92098066735314,19cm,2299381395353,3479784872818,5141247000519
1,3479784872818,10496726120788,1010ZLNDWJMIOEH,0,2022-Jul-21T10:53:48 +0000,4854347564088,2022-Jul-21,sfbFxsN,ZJhgW,8648748667795,2022-Jul-21,43995598317956,10cm,0466278607231,3479784872818,5141247000519
1,7697529455769,24288922255274,95FZQRIRJAPTIQRC,0,2022-Jul-21T10:53:48 +0000,3850770010684,2022-Jul-21,vbWXNyS,dadDJ,5332348900334,2022-Jul-21,66789600938638,27cm,3978371641437,7697529455769,2926780034559
1,7697529455769,88031714561693,94IJKABZ,0,2022-Jul-21T10:53:48 +0000,4014875432216,2022-Jul-21,uXxeAhI,pcqTN,1228685625531,2022-Jul-21,60344177628974,18cm,4635012744332,7697529455769,2926780034559
1,7697529455769,84846136500264,01YZKDNJWNUU,0,2022-Jul-21T10:53:48 +0000,8231278153989,2022-Jul-21,CxdzQUM,RiErq,7557441910324,2022-Jul-21,68459042222069,27cm,3417431558204,7697529455769,9043194762598
1,7697529455769,67686736846471,42M,0,2022-Jul-21T10:53:48 +0000,1202162958279,2022-Jul-21,ZeMYJAp,GDkqA,0850686595170,2022-Jul-21,79086773555337,35cm,1685219423072,7697529455769,9043194762598
1,1058980592402,96593471491793,108XOKZTZAAWQA,0,2022-Jul-21T10:53:48 +0000,0744858862586,2022-Jul-21,dIMayGz,dbhjD,0592377270604,2022-Jul-21,00390746480999,41cm,4561604606714,1058980592402,9043194762598
1,1058980592402,67123289208539,83VLNPOYMKSEJ,0,2022-Jul-21T10:53:48 +0000,0137921207269,2022-Jul-21,CFFmNdl,NIlcZ,3183618988056,2022-Jul-21,90508774263551,47cm,6425433132210,1058980592402,9043194762598
1,1058980592402,24615098131606,74BDOSB,0,2022-Jul-21T10:53:48 +0000,0182982350232,2022-Jul-21,gacYzTt,smGqs,7777615751837,2022-Jul-21,59651143163308,12cm,6933899712373,1058980592402,5141247000519
1,1058980592402,54938972463416,42Z,0,2022-Jul-21T10:53:48 +0000,4129634581610,2022-Jul-21,BlhMIhQ,Dwlts,4159488470064,2022-Jul-21,74781257334745,19cm,2166917556872,1058980592402,5141247000519
1,7697529455769,54649893435613,24QDXESRXWGU,0,2022-Jul-21T10:53:48 +0000,2157744528091,2022-Jul-21,HVBbtWE,OAWXr,8597799779682,2022-Jul-21,03106177426881,22cm,2768728666408,7697529455769,5141247000519
1,7697529455769,82712742419255,510TRLDETFGRXDDIPJ,0,2022-Jul-21T10:53:48 +0000,0309551521109,2022-Jul-21,JQvlIsx,SLIqk,6887685841841,2022-Jul-21,67317955403334,39cm,3487589847153,7697529455769,5141247000519
1,3479784872818,25943419808562,93BCNWPJJJGPETJYVKD,0,2022-Jul-21T10:53:48 +0000,3000077451483,2022-Jul-21,KfsRqly,pGABO,5836613521451,2022-Jul-21,16840570278483,38cm,4613417534835,3479784872818,5141247000519
1,3479784872818,69271509782327,109GXHEUYPCYCLAMWP,0,2022-Jul-21T10:53:48 +0000,2527082623230,2022-Jul-21,SxetUAV,roGTd,4200722054313,2022-Jul-21,03647318324158,39cm,2458515360201,3479784872818,5141247000519
1,1058980592402,12136047617962,95OZMMUGT,0,2022-Jul-21T10:53:48 +0000,5277612692237,2022-Jul-21,OdtipSv,Qmcvg,7560049463544,2022-Jul-21,82233343609167,11cm,8310843538185,1058980592402,5141247000519
