event_type,auction_gln,supplier_gln,customer_gln,gtin,serial_number,weight,event_time,location_gln,product_name,generator_gln,last_pi_gln,next_pi_gln
2,4505048270276,5962880539575,8782976061945,04251290251966,89LAMZEVUY,3811,2022-Jul-22T15:11:57 +0000,4269686121012,DhKta,4505048270276,5962880539575,2726709554797
2,4505048270276,5962880539575,8782976061945,93182002723844,89HKOAWMMZYCQY,4567,2022-Jul-22T15:11:57 +0000,6282924762788,pKWcP,4505048270276,5962880539575,2726709554797
2,2135674032565,5962880539575,2726709554797,61473168752555,61VMLOXVCBTWFW,8221,2022-Jul-22T15:11:57 +0000,4618576622086,bPoyv,2135674032565,5962880539575,2726709554797
2,2135674032565,5962880539575,2726709554797,88137468431595,33YGQHAIPXKO,9515,2022-Jul-22T15:11:57 +0000,7129523336386,iFxMs,2135674032565,5962880539575,2726709554797
2,6882348253226,6072638267501,8782976061945,57086166425877,18UHYEFPI,4581,2022-Jul-22T15:11:57 +0000,7053350345040,SQgxX,6882348253226,6072638267501,8180646024820
2,6882348253226,6072638267501,8782976061945,03685606575272,74LUCSGFHOTBPH,5174,2022-Jul-22T15:11:57 +0000,0540308359281,KGKjC,6882348253226,6072638267501,8180646024820
2,2135674032565,3087097075039,8180646024820,67907290900156,08TIHXIOU,5020,2022-Jul-22T15:11:57 +0000,6074074398489,hWAqO,2135674032565,3087097075039,8782976061945
2,2135674032565,3087097075039,8180646024820,26871495011688,106XARPZDEVXTMZMRGKQL,5474,2022-Jul-22T15:11:57 +0000,0981226590102,CfofK,2135674032565,3087097075039,8782976061945
2,4505048270276,3087097075039,8180646024820,13388515754054,20YEPNJQV,8211,2022-Jul-22T15:11:57 +0000,6546308982422,yfBan,4505048270276,3087097075039,8782976061945
2,4505048270276,3087097075039,8180646024820,72309207813074,73JBVIFNKO,865,2022-Jul-22T15:11:57 +0000,2158577412182,LhiXm,4505048270276,3087097075039,8782976061945
2,4505048270276,5962880539575,2726709554797,16771757235394,29JMNESTQTWQTLFU,2555,2022-Jul-22T15:11:57 +0000,8828231906125,llrSo,4505048270276,5962880539575,8180646024820
2,4505048270276,5962880539575,2726709554797,97239794409247,77HIA,1793,2022-Jul-22T15:11:57 +0000,0548256078319,gVhxD,4505048270276,5962880539575,8180646024820
