event_type,factory_gln,input_gtin,output_gtin,serial_number,quantity,event_time,location_gln,brand_name,product_method,ingredient_statement,storage_state,expiration_date,generator_gln,last_pi_gln,next_pi_gln
4,1907968972351,"['69084353330366', '10000005698880']",['01821553163697'],28IHOSHZ,337,2022-Jul-26T18:53:48 +0000,3526179003778,XcZJwpzouP,NJa,vDuOoJmDAFooUOQmuALL,PREVIOUSLY_FROZEN,2022-09-23,1907968972351,"['8244756502446', '8244756502446']",1907968972351
4,1907968972351,"['18757379146546', '19971928303247']",['84797681804825'],65WHZBNNLMOXXWDWJ,455,2022-Jul-26T18:53:48 +0000,0151335608767,jcylqXAgPk,OgX,nhwpLdPIDXrZplDneBpW,PREVIOUSLY_FROZEN,2022-09-23,1907968972351,"['4916573002018', '4916573002018']",1907968972351
4,2609067919254,"['61641573389599', '15443179529853']",['46465727315324'],62MXMRTNQFRXJJAZR,317,2022-Jul-26T18:53:48 +0000,0882700902811,ezIjagmgCd,BXD,LHAmwRBhBdCPDhdwhPUG,PREVIOUSLY_FROZEN,2022-09-23,2609067919254,"['2995718933001', '2995718933001']",2609067919254
4,2609067919254,"['69987085498514', '10496726120788']",['97831989759037'],45PYQ,244,2022-Jul-26T18:53:48 +0000,9576327465233,syCPmHTdqm,CMd,ErxFIpMEhVCeqwcnqiGs,PREVIOUSLY_FROZEN,2022-09-23,2609067919254,"['2995718933001', '2995718933001']",2609067919254
4,4222158686198,"['24288922255274', '88031714561693']",['44877591798025'],106ZEQIYZRYBOLRAJ,300,2022-Jul-26T18:53:48 +0000,6654872233709,DDKtvDVNwr,mlN,aYqdrSXvYtAliSNLqJRo,PREVIOUSLY_FROZEN,2022-09-23,4222158686198,"['8244756502446', '8244756502446']",4222158686198
4,2609067919254,"['84846136500264', '67686736846471']",['22324245902873'],20NGKKAEG,209,2022-Jul-26T18:53:48 +0000,6526441638032,pEBNDMiXip,rDV,yqucUEjkwLpnGTRGjmHc,PREVIOUSLY_FROZEN,2022-09-23,2609067919254,"['8244756502446', '8244756502446']",2609067919254
4,1907968972351,"['96593471491793', '67123289208539']",['13852903760949'],51EBFIUJHDBWEW,413,2022-Jul-26T18:53:48 +0000,8418925589113,xkqkUPQUVg,lKq,dYHfyiDGycrWcKqmfAgS,PREVIOUSLY_FROZEN,2022-09-23,1907968972351,"['4916573002018', '4916573002018']",1907968972351
4,4222158686198,"['24615098131606', '54938972463416']",['91895689639249'],69YMDMGI,279,2022-Jul-26T18:53:48 +0000,1874530865086,cnhzTqhkig,aYV,CQgrboVRhpHJJuqmvDkm,PREVIOUSLY_FROZEN,2022-09-23,4222158686198,"['2995718933001', '2995718933001']",4222158686198
4,1907968972351,"['54649893435613', '82712742419255']",['20024673872639'],66XR,295,2022-Jul-26T18:53:48 +0000,5329418160568,qrQVISCmpU,Ctr,qSgpICmZRPGbreMivszD,PREVIOUSLY_FROZEN,2022-09-23,1907968972351,"['8244756502446', '8244756502446']",1907968972351
4,1907968972351,"['25943419808562', '69271509782327']",['92402240804591'],21QITIPZLPPGDHXYETJJBN,173,2022-Jul-26T18:53:48 +0000,3943018974486,PdzMgQqBTA,mAJ,jpkfOJCYdldVluMrrXiq,PREVIOUSLY_FROZEN,2022-09-23,1907968972351,"['4916573002018', '4916573002018']",1907968972351
4,4222158686198,"['12136047617962', '69579773763342']",['18095051924696'],02NQVJOQKYEZGBKG,265,2022-Jul-26T18:53:48 +0000,9587124179548,ZKJNTzGuSG,rfC,ubIvfpKOgVMcAeNPATyP,PREVIOUSLY_FROZEN,2022-09-23,4222158686198,"['4916573002018', '4916573002018']",4222158686198
