event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,quantity,event_time,destination_gln,departure_gln,weight,temperature,generator_gln,last_pi_gln,next_pi_gln
6,6175564363221,5042784288223,7449482494005,3734736573308,79368469777610,60WJWIRKE,90,2022-Jul-30T18:21:44 +0000,2660216115280,7845464294910,96.7,-6.7,6175564363221,6175564363221,7449482494005
6,7288533981662,1383161634740,2120438658532,4187936552523,28669080426648,11CWXOSUKOVHMAQABZQLHAK,80,2022-Jul-30T18:21:44 +0000,0423285662653,7916026825477,18.6,-0.7,7288533981662,7288533981662,2120438658532
6,6175564363221,8593684053408,5217276845326,6262038211003,01037545922886,08MZSXQTUCGLDSFZXAPC,100,2022-Jul-30T18:21:44 +0000,6371657477808,5424187253653,59.1,-0.2,6175564363221,6175564363221,5217276845326
6,7288533981662,1383161634740,7449482494005,1550461803181,03361315569280,69JFZDZZUH,85,2022-Jul-30T18:21:44 +0000,5906742433184,3195389731050,61.9,-2.8,7288533981662,7288533981662,7449482494005
6,6175564363221,8593684053408,2120438658532,8087698267582,28516653719834,05L,101,2022-Jul-30T18:21:44 +0000,4779130212456,7570371663235,83.6,-0.7,6175564363221,6175564363221,2120438658532
6,6175564363221,5042784288223,7449482494005,4426833094343,74452714778097,01MMDVLHJKTXVU,90,2022-Jul-30T18:21:44 +0000,8740562319368,0797012780624,98.3,-4.3,6175564363221,6175564363221,7449482494005
6,7288533981662,8593684053408,2120438658532,6645209331074,10930999982611,38KGUZPXBEMUUQTQLDPTVN,104,2022-Jul-30T18:21:44 +0000,8679883478763,0194781277557,49.3,-9.0,7288533981662,7288533981662,2120438658532
6,8333393268870,8593684053408,7449482494005,8646416359792,49430726325412,82FXDPFBOHRFIPCZP,104,2022-Jul-30T18:21:44 +0000,7590397112199,9805502896979,76.5,-4.7,8333393268870,8333393268870,7449482494005
6,6175564363221,1383161634740,5217276845326,1758365142720,56076516231462,82IJTDDUCYT,105,2022-Jul-30T18:21:44 +0000,3957386145636,1896359098766,55.6,-8.6,6175564363221,6175564363221,5217276845326
6,6175564363221,1383161634740,7449482494005,9066748219439,38980723842173,61KA,90,2022-Jul-30T18:21:44 +0000,3091832266594,6904515462238,65.8,-8.4,6175564363221,6175564363221,7449482494005
6,7288533981662,5042784288223,2120438658532,3138023397863,01362962673455,06TPESWQNKXNOOGH,112,2022-Jul-30T18:21:44 +0000,7249876194215,7695030253045,57.8,-1.3,7288533981662,7288533981662,2120438658532
6,6175564363221,5042784288223,5217276845326,3542783159184,91002238956988,26ZM,51,2022-Jul-30T18:21:44 +0000,2883279615566,2323850583550,12.3,-3.1,6175564363221,6175564363221,5217276845326
6,8333393268870,8593684053408,2120438658532,5341541010378,51550361450307,88RZPSFYI,124,2022-Jul-30T18:21:44 +0000,1705251308722,9820359063335,31.9,-6.4,8333393268870,8333393268870,2120438658532
6,8333393268870,5042784288223,2120438658532,4005028873577,85246188864862,73SQLPVSDJBKAI,77,2022-Jul-30T18:21:44 +0000,3327379594600,7343737305463,24.8,-9.6,8333393268870,8333393268870,2120438658532
6,8333393268870,8593684053408,2120438658532,2003177406304,40436284311047,23JHMKNGZTIXFTPEJZBJLFM,77,2022-Jul-30T18:21:44 +0000,5996489251896,2375073615778,22.8,-6.8,8333393268870,8333393268870,2120438658532
6,8333393268870,5042784288223,7449482494005,0957144552003,94230349233415,25V,40,2022-Jul-30T18:21:44 +0000,8626928469375,8117983060030,57.8,-8.3,8333393268870,8333393268870,7449482494005
6,8333393268870,5042784288223,7449482494005,1740393358745,05758037800914,94UEQPXDWHIHMLGEL,25,2022-Jul-30T18:21:44 +0000,4048109320901,4294432275240,50.1,-4.6,8333393268870,8333393268870,7449482494005
6,6175564363221,5042784288223,7449482494005,1526261813777,95867697469890,24INQRWLPKVMOZQYILJUBBF,108,2022-Jul-30T18:21:44 +0000,5290967514991,1986651799231,22.1,-7.2,6175564363221,6175564363221,7449482494005
6,7288533981662,5042784288223,7449482494005,7798080175702,14241237021648,54FZHUDSJBTXYEIHIWHLT,111,2022-Jul-30T18:21:44 +0000,5649032655241,2029792898778,99.0,-4.7,7288533981662,7288533981662,7449482494005
6,6175564363221,1383161634740,7449482494005,8264197011596,56155059967031,44ORVGI,98,2022-Jul-30T18:21:44 +0000,7138875207940,2563295549639,49.2,-2.9,6175564363221,6175564363221,7449482494005
