event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,weight,event_time,destination_gln,departure_gln,temperature,generator_gln,last_pi_gln,next_pi_gln
3,8782976061945,0631248141269,8782976061945,3518375844432,09719799351651,09TAG,66,2022-Jul-29T15:11:57 +0000,8629370630989,7128687631204,-2.1,8782976061945,8782976061945,0631248141269
3,2726709554797,0631248141269,8180646024820,0754946809788,22901247343312,107DOQQQJSJA,100,2022-Jul-29T15:11:57 +0000,4792968722119,8053892557734,-3.8,8180646024820,2726709554797,0631248141269
3,8782976061945,6646901658061,8782976061945,5025924691570,92455684790865,36XXO,34,2022-Jul-29T15:11:57 +0000,1959184728603,3887351550783,-2.4,8782976061945,8782976061945,6646901658061
3,8180646024820,0366252014782,8180646024820,8216501881131,70205348960775,17RXGAWJQS,45,2022-Jul-29T15:11:57 +0000,1339452466539,8047719201018,-9.6,8180646024820,8180646024820,0366252014782
3,8180646024820,0631248141269,2726709554797,7633852491349,19227977337007,55BLZVTUNBDJ,97,2022-Jul-29T15:11:57 +0000,9177827106577,6669154132966,-8.8,2726709554797,8180646024820,0631248141269
3,2726709554797,0366252014782,8180646024820,8560278946017,98475170925461,43VYNRDTVKTQYBSI,56,2022-Jul-29T15:11:57 +0000,2652716005916,7338024917904,-7.4,8180646024820,2726709554797,0366252014782
3,8782976061945,0631248141269,8180646024820,8890319033953,30667079022250,79QUQCOJNFHTEZWR,54,2022-Jul-29T15:11:57 +0000,5907950096980,1790882514172,-5.0,8180646024820,8782976061945,0631248141269
3,8782976061945,6646901658061,2726709554797,0313911283605,51476044978084,100LVLHUHL,117,2022-Jul-29T15:11:57 +0000,5429734205413,9744431704356,-6.2,2726709554797,8782976061945,6646901658061
3,8782976061945,6646901658061,2726709554797,5823129922394,00026460731594,09UKTSEOYTNYOYCB,113,2022-Jul-29T15:11:57 +0000,5323817637469,0231778412793,-6.4,2726709554797,8782976061945,6646901658061
3,8782976061945,6646901658061,8782976061945,4153249321885,99233547128572,910YIYWLEMSWWADFIZRF,61,2022-Jul-29T15:11:57 +0000,4044536432222,2450764441048,-9.3,8782976061945,8782976061945,6646901658061
3,8782976061945,0366252014782,8782976061945,3197220210623,66961795484018,410ODXYFWUEZCDCFHF,71,2022-Jul-29T15:11:57 +0000,4475847759935,5867109304549,-2.1,8782976061945,8782976061945,0366252014782
3,8180646024820,0366252014782,8782976061945,6385444457772,67663379722859,03LDCZHBHSLXYMTEXAGZPT,118,2022-Jul-29T15:11:57 +0000,9358706994727,8390675271604,-5.1,8782976061945,8180646024820,0366252014782
3,8180646024820,0631248141269,8782976061945,5387132146358,15771556623886,61OGMIIUIJUSPZNXFX,89,2022-Jul-29T15:11:57 +0000,3962709085883,5534085687713,-2.7,8782976061945,8180646024820,0631248141269
3,8782976061945,0366252014782,8782976061945,8195715370418,59487050106786,48LLMG,112,2022-Jul-29T15:11:57 +0000,3083236427542,4158539279477,-0.3,8782976061945,8782976061945,0366252014782
3,8180646024820,0631248141269,8782976061945,0825110295014,51362827070522,05PSOVSVSSLOBEUKXMZ,58,2022-Jul-29T15:11:57 +0000,6226493001196,3152861572233,-7.0,8782976061945,8180646024820,0631248141269
3,2726709554797,6646901658061,8180646024820,7065126105675,32749373922677,96VROBJECOZ,80,2022-Jul-29T15:11:57 +0000,0003078050715,8759432875722,-6.2,8180646024820,2726709554797,6646901658061
3,2726709554797,6646901658061,8782976061945,2264985749099,96442752370968,710BLBRPP,75,2022-Jul-29T15:11:57 +0000,7864319819321,0621646565075,-0.1,8782976061945,2726709554797,6646901658061
3,8180646024820,0631248141269,8782976061945,7596162050890,39278963785849,87OFQYTCNVSDT,26,2022-Jul-29T15:11:57 +0000,7264528606525,2774435817001,-3.8,8782976061945,8180646024820,0631248141269
3,2726709554797,6646901658061,2726709554797,9443816130345,46644622273452,72GFITJFURZSDG,37,2022-Jul-29T15:11:57 +0000,5214703560365,7068140500342,-2.0,2726709554797,2726709554797,6646901658061
3,2726709554797,0366252014782,2726709554797,5261755370122,37568892501300,90XEKYJSSTLXV,37,2022-Jul-29T15:11:57 +0000,5004084341000,7567358278888,-9.2,2726709554797,2726709554797,0366252014782
