event_type,retailer_gln,gtin,serial_number,quantity,event_time,location_gln,price,generator_gln,last_pi_gln
7,2152061841197,96554585881095,28QAJFQBGRIOSYPGS,1,2022-Jul-30T18:53:48 +0000,4922798429177,14.25,2152061841197,2152061841197
7,2562867804389,05152701322943,66IRKWM,1,2022-Jul-30T18:53:48 +0000,3718271798574,38.18,2562867804389,2562867804389
7,2152061841197,41414504786298,92VMXNQO,1,2022-Jul-30T18:53:48 +0000,9929184123812,49.91,2152061841197,2152061841197
7,2152061841197,92515834955325,16ZBHYS,1,2022-Jul-30T18:53:48 +0000,1664015250237,15.54,2152061841197,2152061841197
7,2562867804389,13619678673584,108GKRKIYMCTWWFXZUU,1,2022-Jul-30T18:53:48 +0000,5616059950026,25.0,2562867804389,2562867804389
7,1629730193506,82436680319239,65OHDCLTEFYVN,1,2022-Jul-30T18:53:48 +0000,2205742568887,47.58,1629730193506,1629730193506
7,2152061841197,44168707341071,89LWFSOIPJPSL,1,2022-Jul-30T18:53:48 +0000,4775167906893,21.92,2152061841197,2152061841197
7,2562867804389,31909030584942,55EK,1,2022-Jul-30T18:53:48 +0000,2299751483408,25.97,2562867804389,2562867804389
7,1629730193506,51593666557374,98ZURZQQNSABACUB,1,2022-Jul-30T18:53:48 +0000,4899475282218,25.81,1629730193506,1629730193506
7,2152061841197,08460234924087,71RVBYIOEUY,1,2022-Jul-30T18:53:48 +0000,3808842268176,16.22,2152061841197,2152061841197
7,2562867804389,34256054241817,100PMWKQPQTNQLHVNOEWYJ,1,2022-Jul-30T18:53:48 +0000,2702769332595,6.95,2562867804389,2562867804389
7,2152061841197,66577087882456,39EGAWPCMDEXJ,1,2022-Jul-30T18:53:48 +0000,4143247072264,8.2,2152061841197,2152061841197
7,2562867804389,16287550407668,19WXHJCLQFGIFMOTPMEZPV,1,2022-Jul-30T18:53:48 +0000,2603233396205,9.06,2562867804389,2562867804389
7,1629730193506,95636124228021,210OKYVGRXXSWPDFEINK,1,2022-Jul-30T18:53:48 +0000,3486914034525,16.96,1629730193506,1629730193506
7,1629730193506,54450941504508,98PWHRMEQXPYZHIXNF,1,2022-Jul-30T18:53:48 +0000,9003785727025,45.79,1629730193506,1629730193506
7,2562867804389,15496732366622,95HAHKNHWFSTEMRL,1,2022-Jul-30T18:53:48 +0000,5010410930326,40.15,2562867804389,2562867804389
7,2562867804389,28010681110406,56QGNTPPIFASQYL,1,2022-Jul-30T18:53:48 +0000,4094406435725,32.29,2562867804389,2562867804389
7,2562867804389,02007641792088,61PUZCD,1,2022-Jul-30T18:53:48 +0000,2724342403851,28.8,2562867804389,2562867804389
7,2562867804389,12983357320267,23HWZKI,1,2022-Jul-30T18:53:48 +0000,2790597024989,24.31,2562867804389,2562867804389
7,2562867804389,82571714549070,96EWDNINS,1,2022-Jul-30T18:53:48 +0000,9566471601368,30.9,2562867804389,2562867804389
