event_type,vessel_gln,gtin,serial_number,weight,event_time,location_gln,catch_date,vessal_owner_name,species,economic_zone,first_freeze_date,catch_certificate_id,conservation_reference_size,catch_area,generator_gln,next_pi_gln
1,8847510430723,81711176369138,102NUMPKYXLN,0,2022-Jul-21T07:13:08 +0000,7898842945860,2022-Jul-21,vWkRZVZ,trpVu,5341259362181,2022-Jul-21,25623597712780,25cm,8675365526371,8847510430723,3966107890123
1,1993574997652,10467343947305,41OHMLJHOJ,0,2022-Jul-21T07:13:08 +0000,1553248553005,2022-Jul-21,VHSyRkY,fTpJe,2224803572239,2022-Jul-21,20524833856736,37cm,8493910569820,1993574997652,0983999436789
1,1993574997652,66737351762348,74AOYOBHWSNQZE,0,2022-Jul-21T07:13:08 +0000,5131528709232,2022-Jul-21,OFjzvqs,HhHCN,4453011623669,2022-Jul-21,29835044087838,21cm,1496983762966,1993574997652,3966107890123
1,6893066792728,36301946493802,81ZKWGYRVEDOAULQIFPSRK,0,2022-Jul-21T07:13:08 +0000,5344708682662,2022-Jul-21,roGVrgB,wudEP,8775673843785,2022-Jul-21,23436419545837,40cm,7805108671338,6893066792728,3966107890123
1,8847510430723,43897877617233,67ZLNLUHYBCCZEPDCMQHEHK,0,2022-Jul-21T07:13:08 +0000,8111917821260,2022-Jul-21,dussyXr,dfkoo,7702544805957,2022-Jul-21,63337547506205,42cm,5233788678244,8847510430723,4894188382414
1,8847510430723,28844788332941,86DOWLVGHP,0,2022-Jul-21T07:13:08 +0000,2327842819391,2022-Jul-21,yCKNmKy,STdUb,2449093481491,2022-Jul-21,99160154093293,15cm,3269894551598,8847510430723,3966107890123
1,8847510430723,43694891185126,73IWGTTODBENJ,0,2022-Jul-21T07:13:08 +0000,4179079362426,2022-Jul-21,nGTrMXg,xwxTR,9236975136156,2022-Jul-21,83390328614841,14cm,2743069300868,8847510430723,0983999436789
1,6893066792728,46078445806811,91AAHICTAYBXLXYP,0,2022-Jul-21T07:13:08 +0000,2890182670875,2022-Jul-21,ZufGZcD,jkmTW,6541551127644,2022-Jul-21,41640006995206,41cm,6947785852712,6893066792728,0983999436789
1,6893066792728,01284554656275,12LTADAYMFDDTCUWLIGPK,0,2022-Jul-21T07:13:08 +0000,6322902182332,2022-Jul-21,XDRmOzJ,EHXpB,9007761170641,2022-Jul-21,02960074801182,18cm,7437540430623,6893066792728,3966107890123
1,8847510430723,84242331311067,610YEVRWPJLABDBNBE,0,2022-Jul-21T07:13:08 +0000,2506702396583,2022-Jul-21,OHPyGSz,mogHz,8694635749488,2022-Jul-21,94220265455417,29cm,8481739723314,8847510430723,3966107890123
1,1993574997652,12450568531734,01MWIZQXCIEF,0,2022-Jul-21T07:13:08 +0000,3549291663102,2022-Jul-21,bRydsCc,FzBUD,9079115032975,2022-Jul-21,00119756938690,38cm,7984665019071,1993574997652,4894188382414
1,6893066792728,16557283261720,71UUYSNIOCZNR,0,2022-Jul-21T07:13:08 +0000,7025141714529,2022-Jul-21,SbVovYF,kiOop,6336033228998,2022-Jul-21,44287633074180,18cm,3588782781277,6893066792728,3966107890123
1,8847510430723,08255748066570,310CFTSEMXHUVV,0,2022-Jul-21T07:13:08 +0000,9622458702765,2022-Jul-21,fmXAzvC,ZYtEu,6865159308011,2022-Jul-21,00390461908026,46cm,2894041085121,8847510430723,3966107890123
1,6893066792728,46278269231973,00GZCGGRADFHTMFMHTGEU,0,2022-Jul-21T07:13:08 +0000,5525065036372,2022-Jul-21,zyyRxXp,GGbJq,1702662524360,2022-Jul-21,48448038430367,36cm,3494711965276,6893066792728,3966107890123
1,8847510430723,02990290020417,910SCMUUSV,0,2022-Jul-21T07:13:08 +0000,6604063944950,2022-Jul-21,WbEltah,zMiio,8421007277226,2022-Jul-21,31629895095502,19cm,3109408901556,8847510430723,3966107890123
1,1993574997652,52452123282650,107QYMJDNLEKGX,0,2022-Jul-21T07:13:08 +0000,4674516567676,2022-Jul-21,codrpAi,AfYLh,4827432638637,2022-Jul-21,93258103461336,15cm,0405387897843,1993574997652,0983999436789
1,8847510430723,06082276478968,68BYPADDEWJBZLQXDLCPBHD,0,2022-Jul-21T07:13:08 +0000,7145805223279,2022-Jul-21,cbdJJbU,GtTlF,4349084967671,2022-Jul-21,32506923338950,20cm,7354318584959,8847510430723,3966107890123
1,1993574997652,22196897543530,101EKFF,0,2022-Jul-21T07:13:08 +0000,9929765256082,2022-Jul-21,hjjgyBv,pmWis,6291068808546,2022-Jul-21,49909647546073,39cm,9550480087945,1993574997652,3966107890123
1,6893066792728,61257740194872,210FPWENUJAM,0,2022-Jul-21T07:13:08 +0000,9867363590803,2022-Jul-21,ksbMqyY,WSfHe,1481849171223,2022-Jul-21,05194672233667,34cm,1547030449551,6893066792728,0983999436789
1,1993574997652,38142012694216,18XSWOICXSAA,0,2022-Jul-21T07:13:08 +0000,5368253847397,2022-Jul-21,QidNAdZ,hQBFo,5770080461670,2022-Jul-21,01510507116111,18cm,0465464831632,1993574997652,3966107890123
