event_type,auction_gln,supplier_gln,customer_gln,gtin,serial_number,weight,event_time,location_gln,product_name,generator_gln,last_pi_gln,next_pi_gln
2,3966107890123,8847510430723,2842429812203,81711176369138,102NUMPKYXLN,2392,2022-Jul-22T15:13:08 +0000,8413662458511,oIQlV,3966107890123,8847510430723,5341308817907
2,0983999436789,1993574997652,2842429812203,10467343947305,41OHMLJHOJ,3959,2022-Jul-22T15:13:08 +0000,0399859285144,NKqTg,0983999436789,1993574997652,4669294417011
2,3966107890123,1993574997652,4669294417011,66737351762348,74AOYOBHWSNQZE,5259,2022-Jul-22T15:13:08 +0000,2765140438204,TaFhZ,3966107890123,1993574997652,5341308817907
2,3966107890123,6893066792728,5341308817907,36301946493802,81ZKWGYRVEDOAULQIFPSRK,8714,2022-Jul-22T15:13:08 +0000,1060798689959,nntbP,3966107890123,6893066792728,5341308817907
2,4894188382414,8847510430723,5341308817907,43897877617233,67ZLNLUHYBCCZEPDCMQHEHK,8442,2022-Jul-22T15:13:08 +0000,6252434000515,xBUCJ,4894188382414,8847510430723,5341308817907
2,3966107890123,8847510430723,5341308817907,28844788332941,86DOWLVGHP,9020,2022-Jul-22T15:13:08 +0000,9495825042693,RtAGa,3966107890123,8847510430723,5341308817907
2,0983999436789,8847510430723,2842429812203,43694891185126,73IWGTTODBENJ,8053,2022-Jul-22T15:13:08 +0000,9266816190369,KlBgk,0983999436789,8847510430723,4669294417011
2,0983999436789,6893066792728,5341308817907,46078445806811,91AAHICTAYBXLXYP,2552,2022-Jul-22T15:13:08 +0000,7072021141071,YPOol,0983999436789,6893066792728,4669294417011
2,3966107890123,6893066792728,4669294417011,01284554656275,12LTADAYMFDDTCUWLIGPK,2400,2022-Jul-22T15:13:08 +0000,5657983120251,NFSmO,3966107890123,6893066792728,2842429812203
2,3966107890123,8847510430723,4669294417011,84242331311067,610YEVRWPJLABDBNBE,4754,2022-Jul-22T15:13:08 +0000,9439473540063,ArrOz,3966107890123,8847510430723,2842429812203
2,4894188382414,1993574997652,4669294417011,12450568531734,01MWIZQXCIEF,870,2022-Jul-22T15:13:08 +0000,4277815831671,bAYDD,4894188382414,1993574997652,4669294417011
2,3966107890123,6893066792728,5341308817907,16557283261720,71UUYSNIOCZNR,6098,2022-Jul-22T15:13:08 +0000,7596153054198,wezzl,3966107890123,6893066792728,2842429812203
2,3966107890123,8847510430723,4669294417011,08255748066570,310CFTSEMXHUVV,1379,2022-Jul-22T15:13:08 +0000,9954620327606,tzqms,3966107890123,8847510430723,2842429812203
2,3966107890123,6893066792728,4669294417011,46278269231973,00GZCGGRADFHTMFMHTGEU,4289,2022-Jul-22T15:13:08 +0000,2843762226877,Vutwj,3966107890123,6893066792728,2842429812203
2,3966107890123,8847510430723,4669294417011,02990290020417,910SCMUUSV,3563,2022-Jul-22T15:13:08 +0000,8038150843717,KFieM,3966107890123,8847510430723,2842429812203
2,0983999436789,1993574997652,5341308817907,52452123282650,107QYMJDNLEKGX,1143,2022-Jul-22T15:13:08 +0000,8700964823605,iSTkh,0983999436789,1993574997652,4669294417011
2,3966107890123,8847510430723,4669294417011,06082276478968,68BYPADDEWJBZLQXDLCPBHD,4467,2022-Jul-22T15:13:08 +0000,5024037928966,Pesvy,3966107890123,8847510430723,2842429812203
2,3966107890123,1993574997652,4669294417011,22196897543530,101EKFF,1022,2022-Jul-22T15:13:08 +0000,3472885544766,BdoTK,3966107890123,1993574997652,4669294417011
2,0983999436789,6893066792728,2842429812203,61257740194872,210FPWENUJAM,6983,2022-Jul-22T15:13:08 +0000,3168979962588,mvOFh,0983999436789,6893066792728,5341308817907
2,3966107890123,1993574997652,5341308817907,38142012694216,18XSWOICXSAA,2827,2022-Jul-22T15:13:08 +0000,0188549130599,lVGBJ,3966107890123,1993574997652,5341308817907
