event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,weight,event_time,destination_gln,departure_gln,temperature,generator_gln,last_pi_gln,next_pi_gln
3,8847510430723,2842429812203,5341308817907,0225474321627,81711176369138,102NUMPKYXLN,2392,2022-Jul-23T15:13:08 +0000,5416290408060,0305829997710,-9.8,5341308817907,3966107890123,2842429812203
3,1993574997652,2842429812203,4669294417011,6311348415313,10467343947305,41OHMLJHOJ,3959,2022-Jul-23T15:13:08 +0000,8929905513551,6045466855765,-3.1,4669294417011,0983999436789,2842429812203
3,1993574997652,4669294417011,5341308817907,3590573748561,66737351762348,74AOYOBHWSNQZE,5259,2022-Jul-23T15:13:08 +0000,4296697121251,5627220573514,-2.0,5341308817907,3966107890123,4669294417011
3,6893066792728,5341308817907,5341308817907,5292475653703,36301946493802,81ZKWGYRVEDOAULQIFPSRK,8714,2022-Jul-23T15:13:08 +0000,8411209404124,8529372113260,-0.9,5341308817907,3966107890123,5341308817907
3,8847510430723,5341308817907,5341308817907,4501794212138,43897877617233,67ZLNLUHYBCCZEPDCMQHEHK,8442,2022-Jul-23T15:13:08 +0000,8018249826682,8779662135961,-7.9,5341308817907,4894188382414,5341308817907
3,8847510430723,5341308817907,5341308817907,1828119890066,28844788332941,86DOWLVGHP,9020,2022-Jul-23T15:13:08 +0000,2572640956968,0799508957043,-4.9,5341308817907,3966107890123,5341308817907
3,8847510430723,2842429812203,4669294417011,9391087881315,43694891185126,73IWGTTODBENJ,8053,2022-Jul-23T15:13:08 +0000,3874294481404,7184347570444,-5.0,4669294417011,0983999436789,2842429812203
3,6893066792728,5341308817907,4669294417011,9410843214643,46078445806811,91AAHICTAYBXLXYP,2552,2022-Jul-23T15:13:08 +0000,7899853865973,9611152273914,-1.1,4669294417011,0983999436789,5341308817907
3,6893066792728,4669294417011,2842429812203,2683089033231,01284554656275,12LTADAYMFDDTCUWLIGPK,2400,2022-Jul-23T15:13:08 +0000,6176911668413,1025643110633,-1.0,2842429812203,3966107890123,4669294417011
3,8847510430723,4669294417011,2842429812203,9875204574776,84242331311067,610YEVRWPJLABDBNBE,4754,2022-Jul-23T15:13:08 +0000,3114281678657,7889237073171,-0.5,2842429812203,3966107890123,4669294417011
3,1993574997652,4669294417011,4669294417011,1488003710368,12450568531734,01MWIZQXCIEF,870,2022-Jul-23T15:13:08 +0000,8804965347861,9419129541984,-5.0,4669294417011,4894188382414,4669294417011
3,6893066792728,5341308817907,2842429812203,5891168965804,16557283261720,71UUYSNIOCZNR,6098,2022-Jul-23T15:13:08 +0000,9058037588373,4114233021352,-8.7,2842429812203,3966107890123,5341308817907
3,8847510430723,4669294417011,2842429812203,8854276067992,08255748066570,310CFTSEMXHUVV,1379,2022-Jul-23T15:13:08 +0000,5488628637897,1895678063925,-0.5,2842429812203,3966107890123,4669294417011
3,6893066792728,4669294417011,2842429812203,6731035567941,46278269231973,00GZCGGRADFHTMFMHTGEU,4289,2022-Jul-23T15:13:08 +0000,4241540039828,1517019679493,-3.8,2842429812203,3966107890123,4669294417011
3,8847510430723,4669294417011,2842429812203,9337246420326,02990290020417,910SCMUUSV,3563,2022-Jul-23T15:13:08 +0000,1476044444803,1618725908129,-5.8,2842429812203,3966107890123,4669294417011
3,1993574997652,5341308817907,4669294417011,8848595981812,52452123282650,107QYMJDNLEKGX,1143,2022-Jul-23T15:13:08 +0000,9353216680902,4193544254836,-0.4,4669294417011,0983999436789,5341308817907
3,8847510430723,4669294417011,2842429812203,7150929697525,06082276478968,68BYPADDEWJBZLQXDLCPBHD,4467,2022-Jul-23T15:13:08 +0000,8328715387205,0907085556576,-4.6,2842429812203,3966107890123,4669294417011
3,1993574997652,4669294417011,4669294417011,4246136748657,22196897543530,101EKFF,1022,2022-Jul-23T15:13:08 +0000,2012282541683,9358453696696,-4.5,4669294417011,3966107890123,4669294417011
3,6893066792728,2842429812203,5341308817907,7555880563915,61257740194872,210FPWENUJAM,6983,2022-Jul-23T15:13:08 +0000,2477589519887,0440385247442,-7.3,5341308817907,0983999436789,2842429812203
3,1993574997652,5341308817907,5341308817907,0332683164857,38142012694216,18XSWOICXSAA,2827,2022-Jul-23T15:13:08 +0000,9962873880311,8358188316517,-1.1,5341308817907,3966107890123,5341308817907
