event_type,factory_gln,input_gtin,output_gtin,serial_number,quantity,event_time,location_gln,brand_name,product_method,ingredient_statement,storage_state,expiration_date,generator_gln,last_pi_gln,next_pi_gln
4,2842429812203,['81711176369138'],['96124034602635'],83GCFFAYQCP,201,2022-Jul-26T15:13:08 +0000,3531854790804,xiBXyJzqwH,cJK,zOkSwxjHSLvSjnIOQxxC,PREVIOUSLY_FROZEN,2022-09-23,2842429812203,['5341308817907'],2842429812203
4,2842429812203,['10467343947305'],['12622679780042'],41QZHUMDWGZEVUMDFJ,370,2022-Jul-26T15:13:08 +0000,7936631682842,YyvtTzFsrT,wWO,cRzWhPDUsqTNbObJwSOC,PREVIOUSLY_FROZEN,2022-09-23,2842429812203,['4669294417011'],2842429812203
4,4669294417011,['66737351762348'],['69621351506709'],35QHQHV,434,2022-Jul-26T15:13:08 +0000,9844569390102,UhQXUQqmNk,idE,bmdMKyJQFgSgFTOrNfAj,PREVIOUSLY_FROZEN,2022-09-23,4669294417011,['5341308817907'],4669294417011
4,5341308817907,['36301946493802'],['59178871616413'],01LWPOI,293,2022-Jul-26T15:13:08 +0000,5850499011160,gokQhEkZLB,YiY,cmEdiWFjFcvuGJYnoxKG,PREVIOUSLY_FROZEN,2022-09-23,5341308817907,['5341308817907'],5341308817907
4,5341308817907,['43897877617233'],['46780239058032'],63HKWABDLWXJ,437,2022-Jul-26T15:13:08 +0000,5172992550700,nHZBOhAMVw,iia,QBAOtTiEjkTJIONaRMqY,PREVIOUSLY_FROZEN,2022-09-23,5341308817907,['5341308817907'],5341308817907
4,5341308817907,['28844788332941'],['85512411459571'],94OLK,202,2022-Jul-26T15:13:08 +0000,5115903673786,hSADAtrAOE,ktP,RrfWmHfJgLULxJyoZSgv,PREVIOUSLY_FROZEN,2022-09-23,5341308817907,['5341308817907'],5341308817907
4,2842429812203,['43694891185126'],['86523371619128'],35MULYFZJYAANUJNJR,253,2022-Jul-26T15:13:08 +0000,2712236621961,ffHisJKAfq,zPt,MmbmuabtHausAutWfEDd,PREVIOUSLY_FROZEN,2022-09-23,2842429812203,['4669294417011'],2842429812203
4,5341308817907,['46078445806811'],['84685146309420'],86DCEIK,384,2022-Jul-26T15:13:08 +0000,7574227480789,jjGRRXgOcb,Upo,sWiopeEvuSFlWLZwaYgZ,PREVIOUSLY_FROZEN,2022-09-23,5341308817907,['4669294417011'],5341308817907
4,4669294417011,['01284554656275'],['12477967685724'],57GAAYVEL,312,2022-Jul-26T15:13:08 +0000,8548834304212,ayIxIFTdYG,lIf,QqvUpJvtMAoBlmbmUuzB,PREVIOUSLY_FROZEN,2022-09-23,4669294417011,['2842429812203'],4669294417011
4,4669294417011,['84242331311067'],['70266577720667'],69MLLFWPQSJ,153,2022-Jul-26T15:13:08 +0000,9066805226273,HDxXCVgMcZ,ghJ,xAEocOsYrbjuhmXdHclR,PREVIOUSLY_FROZEN,2022-09-23,4669294417011,['2842429812203'],4669294417011
4,4669294417011,['12450568531734'],['10462986355637'],100QQQGTLDY,259,2022-Jul-26T15:13:08 +0000,7446302900717,grkZHGvGaA,xqU,nCcrhxOSDwfopjHrtyIc,PREVIOUSLY_FROZEN,2022-09-23,4669294417011,['4669294417011'],4669294417011
4,5341308817907,['16557283261720'],['56347074409609'],44EMIJMGHEMPUOMBO,200,2022-Jul-26T15:13:08 +0000,0790677863600,NBrYDilIjn,JsM,VCWVVGFfETPpNLmFPWCs,PREVIOUSLY_FROZEN,2022-09-23,5341308817907,['2842429812203'],5341308817907
4,4669294417011,['08255748066570'],['06679329621482'],41LMKS,301,2022-Jul-26T15:13:08 +0000,4136712304958,EIKpsyPCJw,PDX,fiwxMBdndbDZdmtHkTpc,PREVIOUSLY_FROZEN,2022-09-23,4669294417011,['2842429812203'],4669294417011
4,4669294417011,['46278269231973'],['31237754039507'],41PZCOCDDLT,189,2022-Jul-26T15:13:08 +0000,2149503421016,jIPcuShVCI,zxx,nYUavexltxPlFMoABggQ,PREVIOUSLY_FROZEN,2022-09-23,4669294417011,['2842429812203'],4669294417011
4,4669294417011,['02990290020417'],['13984472182981'],69EMRTQC,328,2022-Jul-26T15:13:08 +0000,6006992507211,MJOqMYZrPw,JJW,aaymCaSTTZCZqOZGifZr,PREVIOUSLY_FROZEN,2022-09-23,4669294417011,['2842429812203'],4669294417011
4,5341308817907,['52452123282650'],['66045556171475'],69MHL,221,2022-Jul-26T15:13:08 +0000,8582141953774,mZlbFEUeHp,Snp,UXBgyszVBCrdJgCVvxhh,PREVIOUSLY_FROZEN,2022-09-23,5341308817907,['4669294417011'],5341308817907
4,4669294417011,['06082276478968'],['70175041491618'],49JNW,323,2022-Jul-26T15:13:08 +0000,1653821603756,JBPyvtgghi,sMe,DQzQWLtiIacSMtoxQvpp,PREVIOUSLY_FROZEN,2022-09-23,4669294417011,['2842429812203'],4669294417011
4,4669294417011,['22196897543530'],['55565045315918'],69QKIGVKIDHFAFVGHQ,370,2022-Jul-26T15:13:08 +0000,4678901309199,KhsFIqdtwP,Szx,jddOMGHEAPkabauLtNeu,PREVIOUSLY_FROZEN,2022-09-23,4669294417011,['4669294417011'],4669294417011
4,2842429812203,['61257740194872'],['15668698228765'],28TVWTOXXUNWERJJWJTUEPQ,108,2022-Jul-26T15:13:08 +0000,7129886303923,DjxWprWIib,FTJ,gCxcjkxgoJMfgJsTBBBa,PREVIOUSLY_FROZEN,2022-09-23,2842429812203,['5341308817907'],2842429812203
4,5341308817907,['38142012694216'],['71343637713945'],19VDFUUHDGVAQLNUWS,443,2022-Jul-26T15:13:08 +0000,0961217156976,TAajjssWEk,Cga,XKWuljHOKsjJatkumNjh,PREVIOUSLY_FROZEN,2022-09-23,5341308817907,['5341308817907'],5341308817907
