event_type,generator_gln,input_gtin,output_gtin,serial_number,quantity,event_time,location_gln,net_contain,packing_type_code,packing_material,recycling_process_type,last_pi_gln,next_pi_gln
5,2842429812203,96124034602635,71246700307971,22QNSROPNRJTAOPPHMSMTUO,37,2022-Jul-27T15:13:08 +0000,3098112015730,3,jMS,PLASTIC_THERMOPLASTICS,Recyclable,2842429812203,2842429812203
5,2842429812203,12622679780042,97761656442522,107T,106,2022-Jul-27T15:13:08 +0000,0751618290170,2,wzV,PLASTIC_THERMOPLASTICS,Recyclable,2842429812203,2842429812203
5,4669294417011,69621351506709,72351884273642,05V,88,2022-Jul-27T15:13:08 +0000,4226318600225,7,ssK,PLASTIC_THERMOPLASTICS,Recyclable,4669294417011,4669294417011
5,5341308817907,59178871616413,84243514097069,02CJSQJVD,123,2022-Jul-27T15:13:08 +0000,0471066364871,9,cRx,PLASTIC_THERMOPLASTICS,Recyclable,5341308817907,5341308817907
5,5341308817907,46780239058032,22341706623019,76LYBXJDISBYKJWUCWIXRN,37,2022-Jul-27T15:13:08 +0000,3090138624105,4,ydy,PLASTIC_THERMOPLASTICS,Recyclable,5341308817907,5341308817907
5,5341308817907,85512411459571,28961088056540,110QCTHJGTNRMLRX,93,2022-Jul-27T15:13:08 +0000,9653544432436,8,CBV,PLASTIC_THERMOPLASTICS,Recyclable,5341308817907,5341308817907
5,2842429812203,86523371619128,50993190071104,63HHNNXBHHXFHNEGF,70,2022-Jul-27T15:13:08 +0000,4531312370791,0,gDS,PLASTIC_THERMOPLASTICS,Recyclable,2842429812203,2842429812203
5,5341308817907,84685146309420,95430134915756,44DCZGUXSQNFGVEBOUFA,93,2022-Jul-27T15:13:08 +0000,3466572482330,8,Kbm,PLASTIC_THERMOPLASTICS,Recyclable,5341308817907,5341308817907
5,4669294417011,12477967685724,14856208857516,103EGAXDBACK,78,2022-Jul-27T15:13:08 +0000,6935036216569,8,Opy,PLASTIC_THERMOPLASTICS,Recyclable,4669294417011,4669294417011
5,4669294417011,70266577720667,46442554059401,35ZRQPQGAU,110,2022-Jul-27T15:13:08 +0000,5340632234015,4,Otc,PLASTIC_THERMOPLASTICS,Recyclable,4669294417011,4669294417011
5,4669294417011,10462986355637,52662923126031,210XDM,33,2022-Jul-27T15:13:08 +0000,9678987836705,0,sLT,PLASTIC_THERMOPLASTICS,Recyclable,4669294417011,4669294417011
5,5341308817907,56347074409609,04520966909295,41WNCFPCR,119,2022-Jul-27T15:13:08 +0000,8754361252058,4,WyY,PLASTIC_THERMOPLASTICS,Recyclable,5341308817907,5341308817907
5,4669294417011,06679329621482,98561934000250,510HNWLNYGFX,55,2022-Jul-27T15:13:08 +0000,6717784735191,9,Hrn,PLASTIC_THERMOPLASTICS,Recyclable,4669294417011,4669294417011
5,4669294417011,31237754039507,93277246031672,35MVSAWC,47,2022-Jul-27T15:13:08 +0000,1154782702842,6,GKp,PLASTIC_THERMOPLASTICS,Recyclable,4669294417011,4669294417011
5,4669294417011,13984472182981,84194544689487,69YSZIY,56,2022-Jul-27T15:13:08 +0000,3698700206019,9,cnI,PLASTIC_THERMOPLASTICS,Recyclable,4669294417011,4669294417011
5,5341308817907,66045556171475,75814124247086,46RCGXAULIQRWWJOTBTNUFS,88,2022-Jul-27T15:13:08 +0000,3773002833694,5,ikd,PLASTIC_THERMOPLASTICS,Recyclable,5341308817907,5341308817907
5,4669294417011,70175041491618,02125835724931,73SHXXPKQATCHDMOJZRDJ,64,2022-Jul-27T15:13:08 +0000,1938266683336,1,dHY,PLASTIC_THERMOPLASTICS,Recyclable,4669294417011,4669294417011
5,4669294417011,55565045315918,56372376008109,20AGBTOBLRKGU,32,2022-Jul-27T15:13:08 +0000,3255084956844,6,kOl,PLASTIC_THERMOPLASTICS,Recyclable,4669294417011,4669294417011
5,2842429812203,15668698228765,18506947221874,06KQ,121,2022-Jul-27T15:13:08 +0000,2995322474730,0,UDy,PLASTIC_THERMOPLASTICS,Recyclable,2842429812203,2842429812203
5,5341308817907,71343637713945,94653616814602,21ADUXVDTWEBGPWR,73,2022-Jul-27T15:13:08 +0000,5172933206814,1,lUy,PLASTIC_THERMOPLASTICS,Recyclable,5341308817907,5341308817907
