event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,quantity,event_time,destination_gln,departure_gln,weight,temperature,generator_gln,last_pi_gln,next_pi_gln
6,2842429812203,3802431272416,5341308817907,2083600941999,71246700307971,22QNSROPNRJTAOPPHMSMTUO,37,2022-Jul-28T15:13:08 +0000,5655151365073,9109617631340,94.7,-0.7,2842429812203,2842429812203,5341308817907
6,2842429812203,2591395961799,4669294417011,8327089178781,97761656442522,107T,106,2022-Jul-28T15:13:08 +0000,1303474441182,7069974381635,50.9,-2.8,2842429812203,2842429812203,4669294417011
6,4669294417011,2591395961799,4669294417011,4759598832908,72351884273642,05V,88,2022-Jul-28T15:13:08 +0000,9514554788890,7692452780638,66.9,-3.9,4669294417011,4669294417011,4669294417011
6,5341308817907,3802431272416,4669294417011,7211342986265,84243514097069,02CJSQJVD,123,2022-Jul-28T15:13:08 +0000,0122565168453,8140717784729,65.8,-4.0,5341308817907,5341308817907,4669294417011
6,5341308817907,2591395961799,5341308817907,4860836875784,22341706623019,76LYBXJDISBYKJWUCWIXRN,37,2022-Jul-28T15:13:08 +0000,7522860441146,5076491885896,47.5,-4.5,5341308817907,5341308817907,5341308817907
6,5341308817907,3802431272416,5341308817907,2045084300040,28961088056540,110QCTHJGTNRMLRX,93,2022-Jul-28T15:13:08 +0000,5603359407008,2526772099413,78.3,-6.6,5341308817907,5341308817907,5341308817907
6,2842429812203,2591395961799,2842429812203,7731770100578,50993190071104,63HHNNXBHHXFHNEGF,70,2022-Jul-28T15:13:08 +0000,9453022031544,9119223713715,18.2,-2.7,2842429812203,2842429812203,2842429812203
6,5341308817907,8943596880304,4669294417011,5657414500495,95430134915756,44DCZGUXSQNFGVEBOUFA,93,2022-Jul-28T15:13:08 +0000,4899007907710,4762603514173,73.2,-5.4,5341308817907,5341308817907,4669294417011
6,4669294417011,3802431272416,5341308817907,2898262573044,14856208857516,103EGAXDBACK,78,2022-Jul-28T15:13:08 +0000,7300740390454,9810071612871,10.8,-8.3,4669294417011,4669294417011,5341308817907
6,4669294417011,2591395961799,4669294417011,9240807774529,46442554059401,35ZRQPQGAU,110,2022-Jul-28T15:13:08 +0000,6889409952635,8564753454358,14.8,-8.5,4669294417011,4669294417011,4669294417011
6,4669294417011,3802431272416,2842429812203,0590446403048,52662923126031,210XDM,33,2022-Jul-28T15:13:08 +0000,9667113639497,5096699962940,22.2,-5.9,4669294417011,4669294417011,2842429812203
6,5341308817907,2591395961799,4669294417011,8834182848983,04520966909295,41WNCFPCR,119,2022-Jul-28T15:13:08 +0000,0424450278338,9340207310315,20.2,-8.0,5341308817907,5341308817907,4669294417011
6,4669294417011,3802431272416,5341308817907,8345290995342,98561934000250,510HNWLNYGFX,55,2022-Jul-28T15:13:08 +0000,0860634537794,7666540172922,69.0,-2.1,4669294417011,4669294417011,5341308817907
6,4669294417011,8943596880304,5341308817907,5085496974810,93277246031672,35MVSAWC,47,2022-Jul-28T15:13:08 +0000,3204972931318,6088182893820,10.2,-9.2,4669294417011,4669294417011,5341308817907
6,4669294417011,8943596880304,4669294417011,5139697015406,84194544689487,69YSZIY,56,2022-Jul-28T15:13:08 +0000,0184439267296,0880901812069,22.1,-3.4,4669294417011,4669294417011,4669294417011
6,5341308817907,2591395961799,5341308817907,7831907006287,75814124247086,46RCGXAULIQRWWJOTBTNUFS,88,2022-Jul-28T15:13:08 +0000,3618224509333,4132515080587,99.9,-0.6,5341308817907,5341308817907,5341308817907
6,4669294417011,8943596880304,4669294417011,6255579433698,02125835724931,73SHXXPKQATCHDMOJZRDJ,64,2022-Jul-28T15:13:08 +0000,7232704545716,1728478834505,59.8,-7.7,4669294417011,4669294417011,4669294417011
6,4669294417011,8943596880304,5341308817907,8251031666529,56372376008109,20AGBTOBLRKGU,32,2022-Jul-28T15:13:08 +0000,5488072790895,3351404569001,60.4,-5.3,4669294417011,4669294417011,5341308817907
6,2842429812203,3802431272416,5341308817907,1622794555577,18506947221874,06KQ,121,2022-Jul-28T15:13:08 +0000,0480197601608,3877359823858,36.8,-5.9,2842429812203,2842429812203,5341308817907
6,5341308817907,8943596880304,4669294417011,5600053076858,94653616814602,21ADUXVDTWEBGPWR,73,2022-Jul-28T15:13:08 +0000,4566960812037,7269580839404,56.0,-4.4,5341308817907,5341308817907,4669294417011
