event_type,retailer_gln,gtin,serial_number,quantity,event_time,location_gln,price,generator_gln,last_pi_gln
7,3802431272416,71246700307971,22QNSROPNRJTAOPPHMSMTUO,1,2022-Jul-30T15:13:08 +0000,4467297110928,9.95,3802431272416,3802431272416
7,2591395961799,97761656442522,107T,1,2022-Jul-30T15:13:08 +0000,0357453515388,15.62,2591395961799,2591395961799
7,2591395961799,72351884273642,05V,1,2022-Jul-30T15:13:08 +0000,6305352932830,35.86,2591395961799,2591395961799
7,3802431272416,84243514097069,02CJSQJVD,1,2022-Jul-30T15:13:08 +0000,8931408630682,20.92,3802431272416,3802431272416
7,2591395961799,22341706623019,76LYBXJDISBYKJWUCWIXRN,1,2022-Jul-30T15:13:08 +0000,9591018570507,19.67,2591395961799,2591395961799
7,3802431272416,28961088056540,110QCTHJGTNRMLRX,1,2022-Jul-30T15:13:08 +0000,7064377236083,49.74,3802431272416,3802431272416
7,2591395961799,50993190071104,63HHNNXBHHXFHNEGF,1,2022-Jul-30T15:13:08 +0000,9757856448263,36.97,2591395961799,2591395961799
7,8943596880304,95430134915756,44DCZGUXSQNFGVEBOUFA,1,2022-Jul-30T15:13:08 +0000,4901150850119,4.08,8943596880304,8943596880304
7,3802431272416,14856208857516,103EGAXDBACK,1,2022-Jul-30T15:13:08 +0000,4386579681474,4.7,3802431272416,3802431272416
7,2591395961799,46442554059401,35ZRQPQGAU,1,2022-Jul-30T15:13:08 +0000,1716609035240,45.74,2591395961799,2591395961799
7,3802431272416,52662923126031,210XDM,1,2022-Jul-30T15:13:08 +0000,5142877836973,21.8,3802431272416,3802431272416
7,2591395961799,04520966909295,41WNCFPCR,1,2022-Jul-30T15:13:08 +0000,5705509848590,15.93,2591395961799,2591395961799
7,3802431272416,98561934000250,510HNWLNYGFX,1,2022-Jul-30T15:13:08 +0000,4711607514215,19.08,3802431272416,3802431272416
7,8943596880304,93277246031672,35MVSAWC,1,2022-Jul-30T15:13:08 +0000,8132970803113,31.91,8943596880304,8943596880304
7,8943596880304,84194544689487,69YSZIY,1,2022-Jul-30T15:13:08 +0000,6548953512850,49.89,8943596880304,8943596880304
7,2591395961799,75814124247086,46RCGXAULIQRWWJOTBTNUFS,1,2022-Jul-30T15:13:08 +0000,3463056391820,31.98,2591395961799,2591395961799
7,8943596880304,02125835724931,73SHXXPKQATCHDMOJZRDJ,1,2022-Jul-30T15:13:08 +0000,5639885255396,10.52,8943596880304,8943596880304
7,8943596880304,56372376008109,20AGBTOBLRKGU,1,2022-Jul-30T15:13:08 +0000,6595673179254,26.54,8943596880304,8943596880304
7,3802431272416,18506947221874,06KQ,1,2022-Jul-30T15:13:08 +0000,3933824217192,21.8,3802431272416,3802431272416
7,8943596880304,94653616814602,21ADUXVDTWEBGPWR,1,2022-Jul-30T15:13:08 +0000,5363949072496,32.96,8943596880304,8943596880304
