event_type,vessel_gln,gtin,serial_number,weight,event_time,location_gln,catch_date,vessal_owner_name,species,economic_zone,first_freeze_date,catch_certificate_id,conservation_reference_size,catch_area,generator_gln,next_pi_gln
1,7432889350637,51580352102897,89VJUVXFXH,0,2022-Jul-21T10:55:03 +0000,9788731244880,2022-Jul-21,xcOZGMw,PzHTf,2928679892409,2022-Jul-21,90576713837971,35cm,7985755414145,7432889350637,6103405854467
1,3186047329766,98097016172927,410LPSH,0,2022-Jul-21T10:55:03 +0000,3212201002161,2022-Jul-21,HERzyNB,GTzHH,0610267821527,2022-Jul-21,33082348561550,49cm,0623704885094,3186047329766,7727805376360
1,7432889350637,88853439281450,90AUQPR,0,2022-Jul-21T10:55:03 +0000,9570426422684,2022-Jul-21,TyHizbI,wvsRQ,0567511627549,2022-Jul-21,11435335589904,36cm,9337532897063,7432889350637,6103405854467
1,3186047329766,85913574662010,60EK,0,2022-Jul-21T10:55:03 +0000,5256527565928,2022-Jul-21,VtuujVe,Ysgms,7223222328829,2022-Jul-21,67319526708215,38cm,2893361489950,3186047329766,6546490119111
1,3186047329766,79311881619577,16AEELNFGRXGVTQUOCWYBSW,0,2022-Jul-21T10:55:03 +0000,9780635201726,2022-Jul-21,zRrBxpK,liGhK,9421831514825,2022-Jul-21,20972879898155,17cm,9297709900872,3186047329766,7727805376360
1,3186047329766,45850581393903,15CSZNAOWGETAKSNRNTNW,0,2022-Jul-21T10:55:03 +0000,6884867945867,2022-Jul-21,vybnKtg,kLWAK,8809561375216,2022-Jul-21,74120801867205,37cm,0330679122350,3186047329766,6103405854467
1,3186047329766,66667209891974,09G,0,2022-Jul-21T10:55:03 +0000,2656005707458,2022-Jul-21,qgArCtn,WkgNw,8169776472640,2022-Jul-21,60699496852174,33cm,1898844865845,3186047329766,6103405854467
1,7432889350637,61965989424140,70GEBXEDJRNRUSHAYH,0,2022-Jul-21T10:55:03 +0000,8828369953040,2022-Jul-21,GahBwah,JZBjO,0425227508149,2022-Jul-21,79665613797019,22cm,6244760056719,7432889350637,7727805376360
1,7432889350637,99236686008007,410DRJIBCQAEC,0,2022-Jul-21T10:55:03 +0000,1539117067460,2022-Jul-21,VcTkvER,CgfgP,1541355176498,2022-Jul-21,84919179714113,38cm,8012093700814,7432889350637,7727805376360
1,7432889350637,41616998930017,63UZQ,0,2022-Jul-21T10:55:03 +0000,8580564825725,2022-Jul-21,HbgUYgU,lhlCW,0894399813486,2022-Jul-21,08238235304515,34cm,1451979983245,7432889350637,7727805376360
1,3186047329766,73162415036038,1010IEBVPN,0,2022-Jul-21T10:55:03 +0000,0369088153748,2022-Jul-21,tskdrMe,KiOuo,7212240498263,2022-Jul-21,22038919019694,15cm,6077852189753,3186047329766,6103405854467
1,3060433288996,78913331860979,510ISVX,0,2022-Jul-21T10:55:03 +0000,2775907761838,2022-Jul-21,ZPwQkgb,cFhCm,4101464157444,2022-Jul-21,62596876012433,40cm,7938408860626,3060433288996,7727805376360
1,3186047329766,97555008334630,44ISSBC,0,2022-Jul-21T10:55:03 +0000,6756451265193,2022-Jul-21,bgpoYIV,fijNI,6298620012918,2022-Jul-21,62371237254728,20cm,7285455588517,3186047329766,7727805376360
1,3186047329766,40511614207255,52YFWC,0,2022-Jul-21T10:55:03 +0000,2947214487875,2022-Jul-21,tmtEqgi,roiLf,8899461292732,2022-Jul-21,64030632757614,40cm,5118814901967,3186047329766,7727805376360
1,7432889350637,95661776358305,61VZMPL,0,2022-Jul-21T10:55:03 +0000,5408232898171,2022-Jul-21,JxIpnMT,kVktV,7286300655081,2022-Jul-21,99579090700996,33cm,7471118741819,7432889350637,6103405854467
1,3060433288996,36730156513316,28YDRX,0,2022-Jul-21T10:55:03 +0000,5804045181018,2022-Jul-21,MATjJCi,RtWdb,8405978304043,2022-Jul-21,55579496158045,34cm,7404259261666,3060433288996,6103405854467
1,3060433288996,93942569571882,42WVJPOXSDMXADMZII,0,2022-Jul-21T10:55:03 +0000,3067840510299,2022-Jul-21,iNphuRJ,GeJsw,0434449501840,2022-Jul-21,42191517263795,11cm,3905053914085,3060433288996,7727805376360
1,3060433288996,25960801485913,610F,0,2022-Jul-21T10:55:03 +0000,1256189658711,2022-Jul-21,mRAsWRO,NoKAs,6241805385828,2022-Jul-21,47188380569877,24cm,3657810677346,3060433288996,7727805376360
1,7432889350637,00959486131548,38V,0,2022-Jul-21T10:55:03 +0000,2939803136158,2022-Jul-21,dpsKhUI,eyJSa,6956246990101,2022-Jul-21,39241570438015,11cm,5186449093204,7432889350637,6103405854467
1,3060433288996,36573989023192,65OMGJCCW,0,2022-Jul-21T10:55:03 +0000,0685885960161,2022-Jul-21,RPcXCRk,CsGbQ,2902461788276,2022-Jul-21,00426031247532,27cm,9119546576860,3060433288996,6103405854467
