event_type,auction_gln,supplier_gln,customer_gln,gtin,serial_number,weight,event_time,location_gln,product_name,generator_gln,last_pi_gln,next_pi_gln
2,0659880958215,4128558465987,9909610597859,65928699366574,20WUQIMZKHZNTXWKMJ,4499,2022-Jul-24T17:00:16 +0000,3576627412298,WjJRs,0659880958215,4128558465987,5193033642219
2,2655587616205,8305796446828,2207235744040,70228297394816,75GJPJOOVK,1959,2022-Jul-24T17:00:16 +0000,9006099008066,djIeS,2655587616205,8305796446828,5193033642219
2,1447257168246,8305796446828,5573204539920,16091087673196,104QFTFUMJGGFUVDYQTRZ,9497,2022-Jul-24T17:00:16 +0000,4738145037333,IqoHl,1447257168246,8305796446828,3234634921543
2,0659880958215,4128558465987,9909610597859,71189309042810,102ANDBIRJGEY,9248,2022-Jul-24T17:00:16 +0000,9541816932172,UTcXJ,0659880958215,4128558465987,5193033642219
2,2655587616205,4128558465987,2207235744040,31294998038246,63BIEJWXXNLLKZEVRCQIQY,2364,2022-Jul-24T17:00:16 +0000,2884627952014,UrjGW,2655587616205,4128558465987,2448291619884
2,2655587616205,0124094241435,2207235744040,03882426868574,50KVDFSHEW,7331,2022-Jul-24T17:00:16 +0000,5455794737560,dmLGU,2655587616205,0124094241435,5193033642219
2,2655587616205,0124094241435,2207235744040,29679389641728,78YYHXRDBHULEHKAII,9391,2022-Jul-24T17:00:16 +0000,3236377110722,zZJDF,2655587616205,0124094241435,5193033642219
2,0659880958215,0124094241435,2207235744040,09358904821219,1010JKKVKLCYTHNAHYL,7281,2022-Jul-24T17:00:16 +0000,4167512247703,KgHkb,0659880958215,0124094241435,2448291619884
2,2655587616205,8305796446828,5573204539920,32564368267513,30GDOCTSRXCN,4822,2022-Jul-24T17:00:16 +0000,9848511427618,YIRst,2655587616205,8305796446828,2448291619884
2,2655587616205,8305796446828,5573204539920,73103931267779,310IBPT,7329,2022-Jul-24T17:00:16 +0000,9820281395909,SFZGj,2655587616205,8305796446828,2448291619884
2,2655587616205,4128558465987,2207235744040,73792727532375,51CQ,5338,2022-Jul-24T17:00:16 +0000,4431437700766,MTMtH,2655587616205,4128558465987,3234634921543
2,0659880958215,4128558465987,5573204539920,13121471257993,01EUSMLFJ,2690,2022-Jul-24T17:00:16 +0000,1069873336716,VVRCR,0659880958215,4128558465987,3234634921543
2,0659880958215,8305796446828,2207235744040,52267178854471,81GRYZVZXXKFYWAGBZQWZ,6931,2022-Jul-24T17:00:16 +0000,0672702281768,hABYD,0659880958215,8305796446828,2448291619884
2,0659880958215,0124094241435,2207235744040,96510294258768,44R,9538,2022-Jul-24T17:00:16 +0000,4649111731948,MnPhw,0659880958215,0124094241435,3234634921543
2,2655587616205,4128558465987,9909610597859,75380524799294,73UCHTHEMTCDQ,7984,2022-Jul-24T17:00:16 +0000,6348050151836,FOKdL,2655587616205,4128558465987,2448291619884
2,2655587616205,0124094241435,2207235744040,98710178044849,68KAZ,5188,2022-Jul-24T17:00:16 +0000,7143924654918,hcIZl,2655587616205,0124094241435,3234634921543
2,0659880958215,0124094241435,2207235744040,48842289089975,64GDFSEJZTSRECUZOXCVZHZ,2626,2022-Jul-24T17:00:16 +0000,1668214652070,iSeLh,0659880958215,0124094241435,3234634921543
2,2655587616205,4128558465987,9909610597859,17007202337605,05CDNLS,531,2022-Jul-24T17:00:16 +0000,8163343439775,uqGKa,2655587616205,4128558465987,5193033642219
2,2655587616205,4128558465987,2207235744040,43516773246878,105JZNJFUEFJHVCAP,9025,2022-Jul-24T17:00:16 +0000,4430865034948,QIeub,2655587616205,4128558465987,3234634921543
2,1447257168246,4128558465987,5573204539920,46929326461735,103PZLUHIKBUPIZXQRJJDALX,1805,2022-Jul-24T17:00:16 +0000,3139527616038,Kqsup,1447257168246,4128558465987,5193033642219
