event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,weight,event_time,destination_gln,departure_gln,temperature,generator_gln,last_pi_gln,next_pi_gln
3,7432889350637,3867179177481,1441102766994,8324714036237,51580352102897,89VJUVXFXH,3726,2022-Jul-23T18:55:03 +0000,1593685956017,8011281474135,-6.2,1441102766994,6103405854467,3867179177481
3,3186047329766,0081431111476,6045683854396,3223202432730,98097016172927,410LPSH,3566,2022-Jul-23T18:55:03 +0000,8848614347733,8588570952966,-4.4,6045683854396,7727805376360,0081431111476
3,7432889350637,1147404337128,4559182969654,0390399152153,88853439281450,90AUQPR,3297,2022-Jul-23T18:55:03 +0000,1674556020367,9360888513611,-6.2,4559182969654,6103405854467,1147404337128
3,3186047329766,0081431111476,4559182969654,2174313570307,85913574662010,60EK,3361,2022-Jul-23T18:55:03 +0000,9062619413083,3128362056520,-3.2,4559182969654,6546490119111,0081431111476
3,3186047329766,0081431111476,6045683854396,0811252282049,79311881619577,16AEELNFGRXGVTQUOCWYBSW,6628,2022-Jul-23T18:55:03 +0000,6924036453228,5876976874490,-5.9,6045683854396,7727805376360,0081431111476
3,3186047329766,3867179177481,1441102766994,9243421789898,45850581393903,15CSZNAOWGETAKSNRNTNW,8673,2022-Jul-23T18:55:03 +0000,1470364417020,6232616905389,-0.7,1441102766994,6103405854467,3867179177481
3,3186047329766,3867179177481,4559182969654,6047314375227,66667209891974,09G,9647,2022-Jul-23T18:55:03 +0000,5357805666973,7532767194577,-0.4,4559182969654,6103405854467,3867179177481
3,7432889350637,1147404337128,1441102766994,6422440203956,61965989424140,70GEBXEDJRNRUSHAYH,1564,2022-Jul-23T18:55:03 +0000,1879414700096,0493939723451,-1.3,1441102766994,7727805376360,1147404337128
3,7432889350637,0081431111476,6045683854396,7586590610001,99236686008007,410DRJIBCQAEC,2871,2022-Jul-23T18:55:03 +0000,2690513539598,4471944917122,-3.8,6045683854396,7727805376360,0081431111476
3,7432889350637,0081431111476,4559182969654,7913325793370,41616998930017,63UZQ,2964,2022-Jul-23T18:55:03 +0000,3386887823008,1409793260216,-9.3,4559182969654,7727805376360,0081431111476
3,3186047329766,1147404337128,4559182969654,6110878987606,73162415036038,1010IEBVPN,8226,2022-Jul-23T18:55:03 +0000,2544121202704,9969830400104,-1.2,4559182969654,6103405854467,1147404337128
3,3060433288996,1147404337128,4559182969654,2975120377636,78913331860979,510ISVX,9888,2022-Jul-23T18:55:03 +0000,5927996780274,1422359152513,-0.1,4559182969654,7727805376360,1147404337128
3,3186047329766,3867179177481,1441102766994,1108092844657,97555008334630,44ISSBC,5883,2022-Jul-23T18:55:03 +0000,8865284314892,3570275708530,-6.8,1441102766994,7727805376360,3867179177481
3,3186047329766,1147404337128,6045683854396,3224482139500,40511614207255,52YFWC,3641,2022-Jul-23T18:55:03 +0000,3587283011845,6296260152425,-8.2,6045683854396,7727805376360,1147404337128
3,7432889350637,3867179177481,4559182969654,9998508915971,95661776358305,61VZMPL,1406,2022-Jul-23T18:55:03 +0000,7670173014071,9883759864021,-0.4,4559182969654,6103405854467,3867179177481
3,3060433288996,3867179177481,4559182969654,8358235251807,36730156513316,28YDRX,4367,2022-Jul-23T18:55:03 +0000,0928589050922,7986930321543,-8.0,4559182969654,6103405854467,3867179177481
3,3060433288996,1147404337128,4559182969654,3332745599067,93942569571882,42WVJPOXSDMXADMZII,4599,2022-Jul-23T18:55:03 +0000,8957022438145,2335590865698,-3.0,4559182969654,7727805376360,1147404337128
3,3060433288996,0081431111476,4559182969654,1618502192372,25960801485913,610F,9013,2022-Jul-23T18:55:03 +0000,4989356421641,6886445672949,-5.0,4559182969654,7727805376360,0081431111476
3,7432889350637,3867179177481,1441102766994,1063745839899,00959486131548,38V,4256,2022-Jul-23T18:55:03 +0000,5396348320454,3500077516448,-9.4,1441102766994,6103405854467,3867179177481
3,3060433288996,3867179177481,4559182969654,1426760076752,36573989023192,65OMGJCCW,4696,2022-Jul-23T18:55:03 +0000,1855308787421,0506675371647,-8.2,4559182969654,6103405854467,3867179177481
