event_type,generator_gln,input_gtin,output_gtin,serial_number,quantity,event_time,location_gln,net_contain,packing_type_code,packing_material,recycling_process_type,last_pi_gln,next_pi_gln
5,9909610597859,['65928699366574'],['93428822845169'],04JYYJ,37,2022-Jul-24T17:00:16 +0000,4962854264231,5,qui,PLASTIC_THERMOPLASTICS,Recyclable,['5193033642219'],9909610597859
5,2207235744040,['70228297394816'],['50480058695393'],73SROSZECVKTWHOUMKPG,83,2022-Jul-24T17:00:16 +0000,4797810425318,1,yND,PLASTIC_THERMOPLASTICS,Recyclable,['5193033642219'],2207235744040
5,5573204539920,['16091087673196'],['86547421343354'],28NSDRHGKLTX,123,2022-Jul-24T17:00:16 +0000,8638968684200,7,CXa,PLASTIC_THERMOPLASTICS,Recyclable,['3234634921543'],5573204539920
5,9909610597859,['71189309042810'],['81773722190255'],010IUJL,85,2022-Jul-24T17:00:16 +0000,3617252150473,7,cUX,PLASTIC_THERMOPLASTICS,Recyclable,['5193033642219'],9909610597859
5,2207235744040,['31294998038246'],['92855973332288'],72ZMRW,116,2022-Jul-24T17:00:16 +0000,9088290708647,0,Tlx,PLASTIC_THERMOPLASTICS,Recyclable,['2448291619884'],2207235744040
5,2207235744040,['03882426868574'],['22755510782407'],64QBQMF,80,2022-Jul-24T17:00:16 +0000,3745403309747,2,saY,PLASTIC_THERMOPLASTICS,Recyclable,['5193033642219'],2207235744040
5,2207235744040,['29679389641728'],['49905415109693'],06ALYQVINORQNTHCLQ,117,2022-Jul-24T17:00:16 +0000,1922821780077,3,Wkr,PLASTIC_THERMOPLASTICS,Recyclable,['5193033642219'],2207235744040
5,2207235744040,['09358904821219'],['25624754153695'],34PUACBWCTZUWBUCNKLK,120,2022-Jul-24T17:00:16 +0000,1453557869468,4,BbJ,PLASTIC_THERMOPLASTICS,Recyclable,['2448291619884'],2207235744040
5,5573204539920,['32564368267513'],['05488390698572'],74RVEXPIF,44,2022-Jul-24T17:00:16 +0000,3462644729140,7,Imc,PLASTIC_THERMOPLASTICS,Recyclable,['2448291619884'],5573204539920
5,5573204539920,['73103931267779'],['67813349920463'],40UMOFUNRUH,44,2022-Jul-24T17:00:16 +0000,3111820516141,3,RcX,PLASTIC_THERMOPLASTICS,Recyclable,['2448291619884'],5573204539920
5,2207235744040,['73792727532375'],['40453627574317'],55PFQCFJJAYSFVYGNYPLMF,77,2022-Jul-24T17:00:16 +0000,6121588703615,4,KTJ,PLASTIC_THERMOPLASTICS,Recyclable,['3234634921543'],2207235744040
5,5573204539920,['13121471257993'],['41788109886850'],87C,82,2022-Jul-24T17:00:16 +0000,0323681237371,9,rxp,PLASTIC_THERMOPLASTICS,Recyclable,['3234634921543'],5573204539920
5,2207235744040,['52267178854471'],['25822158317882'],87RVPJYJBZRHEWIX,91,2022-Jul-24T17:00:16 +0000,1077757929811,3,STK,PLASTIC_THERMOPLASTICS,Recyclable,['2448291619884'],2207235744040
5,2207235744040,['96510294258768'],['52316127305271'],33ELSLANAZJOSUMOPUICNF,68,2022-Jul-24T17:00:16 +0000,5246739927535,4,jie,PLASTIC_THERMOPLASTICS,Recyclable,['3234634921543'],2207235744040
5,9909610597859,['75380524799294'],['46085472997379'],08RIUQOHKHVNXG,93,2022-Jul-24T17:00:16 +0000,2519271997261,4,DeQ,PLASTIC_THERMOPLASTICS,Recyclable,['2448291619884'],9909610597859
5,2207235744040,['98710178044849'],['65080478181244'],33VLJFGAWEP,34,2022-Jul-24T17:00:16 +0000,3107189874340,3,XEl,PLASTIC_THERMOPLASTICS,Recyclable,['3234634921543'],2207235744040
5,2207235744040,['48842289089975'],['34474163152090'],78EWK,115,2022-Jul-24T17:00:16 +0000,5429613408250,8,wOY,PLASTIC_THERMOPLASTICS,Recyclable,['3234634921543'],2207235744040
5,9909610597859,['17007202337605'],['04824587412132'],91PIVTBYLP,42,2022-Jul-24T17:00:16 +0000,3771178148557,2,rBc,PLASTIC_THERMOPLASTICS,Recyclable,['5193033642219'],9909610597859
5,2207235744040,['43516773246878'],['30542799545762'],34PBN,35,2022-Jul-24T17:00:16 +0000,7170077924530,2,UrP,PLASTIC_THERMOPLASTICS,Recyclable,['3234634921543'],2207235744040
5,5573204539920,['46929326461735'],['16145374870471'],54Y,37,2022-Jul-24T17:00:16 +0000,7059698343961,5,yMo,PLASTIC_THERMOPLASTICS,Recyclable,['5193033642219'],5573204539920
