event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,quantity,event_time,destination_gln,departure_gln,weight,temperature,generator_gln,last_pi_gln,next_pi_gln
6,3867179177481,0038401173569,6045683854396,3974260300300,['08073271481569'],100TXBN,75,2022-Jul-23T18:55:03 +0000,2468428403930,4672228288108,41.9,-1.0,3867179177481,3867179177481,6045683854396
6,0081431111476,6526032819598,6045683854396,0462398861861,['47628011639816'],05QGG,40,2022-Jul-23T18:55:03 +0000,1629373120956,1918086490087,42.7,-3.3,0081431111476,0081431111476,6045683854396
6,1147404337128,2358002635834,6045683854396,6689440530623,['27368041426844'],108P,60,2022-Jul-23T18:55:03 +0000,3571685939240,2646145004511,26.1,-7.9,1147404337128,1147404337128,6045683854396
6,0081431111476,0038401173569,6045683854396,9577065257632,['17199707204120'],74QDYCO,107,2022-Jul-23T18:55:03 +0000,8597810745985,7537828299509,80.8,-0.5,0081431111476,0081431111476,6045683854396
6,0081431111476,2358002635834,6045683854396,7574924624120,['16179438544418'],34QXSELBKFFSSPD,103,2022-Jul-23T18:55:03 +0000,0414632387571,4383273401046,94.5,-1.3,0081431111476,0081431111476,6045683854396
6,3867179177481,0038401173569,1441102766994,3033073234883,['69291894346417'],105MXTOXSQREMVDOOP,120,2022-Jul-23T18:55:03 +0000,7393716686483,3378534071577,89.5,-5.9,3867179177481,3867179177481,1441102766994
6,3867179177481,6526032819598,6045683854396,7101419775409,['34300765811044'],108ZISBULUIUQ,75,2022-Jul-23T18:55:03 +0000,2850269124905,0839905422107,46.8,-0.8,3867179177481,3867179177481,6045683854396
6,1147404337128,2358002635834,6045683854396,9938362901215,['67221129464606'],96RSEIZHMQMTWFEKPNGYO,48,2022-Jul-23T18:55:03 +0000,0962396835290,6974528119618,30.4,-9.0,1147404337128,1147404337128,6045683854396
6,0081431111476,2358002635834,4559182969654,3992201740859,['62924321266610'],91HIHBVMJINMDXGICEZVAL,44,2022-Jul-23T18:55:03 +0000,7508904486980,5520214502275,87.2,-0.8,0081431111476,0081431111476,4559182969654
6,0081431111476,0038401173569,6045683854396,6247013118164,['11062950502748'],92STFKHQ,41,2022-Jul-23T18:55:03 +0000,7237448045102,1992554181005,61.6,-0.8,0081431111476,0081431111476,6045683854396
6,1147404337128,2358002635834,6045683854396,6261701317546,['93982143949808'],33MGTHRPMAQ,78,2022-Jul-23T18:55:03 +0000,0693649752067,3302753226711,90.5,-6.1,1147404337128,1147404337128,6045683854396
6,1147404337128,2358002635834,1441102766994,0255817562690,['65537271633736'],97XGBGWCRYCWAM,101,2022-Jul-23T18:55:03 +0000,7306597794551,4885515008314,69.2,-5.9,1147404337128,1147404337128,1441102766994
6,3867179177481,0038401173569,1441102766994,0719489408369,['87795405814892'],57MEZIDZCQIPYJJGRZN,110,2022-Jul-23T18:55:03 +0000,0671105522608,1611047105789,56.2,-4.7,3867179177481,3867179177481,1441102766994
6,1147404337128,0038401173569,4559182969654,7735162750430,['80085465390237'],50HTBHMFXVHNM,63,2022-Jul-23T18:55:03 +0000,4648985811540,2878849337025,64.0,-2.3,1147404337128,1147404337128,4559182969654
6,3867179177481,6526032819598,1441102766994,2206852847073,['38610575974483'],41BE,41,2022-Jul-23T18:55:03 +0000,4649931397405,4793899496634,93.2,-9.8,3867179177481,3867179177481,1441102766994
6,3867179177481,0038401173569,4559182969654,1559960733963,['57425671979598'],55VYEBHBTTZNJW,111,2022-Jul-23T18:55:03 +0000,5930765217233,3658694286817,45.6,-9.5,3867179177481,3867179177481,4559182969654
6,1147404337128,0038401173569,1441102766994,5146159793654,['08718362544534'],43PYRBWHXLOB,115,2022-Jul-23T18:55:03 +0000,2729836234004,2935280532725,77.8,-6.3,1147404337128,1147404337128,1441102766994
6,0081431111476,0038401173569,4559182969654,1836356289254,['55215523629270'],36LMGEIASDFU,118,2022-Jul-23T18:55:03 +0000,1035858120918,1864310215049,81.8,-7.1,0081431111476,0081431111476,4559182969654
6,3867179177481,0038401173569,4559182969654,2466316538503,['02662824503253'],010ZBPGTCU,39,2022-Jul-23T18:55:03 +0000,0666963579120,6055911766240,28.8,-1.7,3867179177481,3867179177481,4559182969654
6,3867179177481,6526032819598,4559182969654,2747325455786,['68166708485742'],103A,73,2022-Jul-23T18:55:03 +0000,5583442259803,3854816637718,22.0,-3.1,3867179177481,3867179177481,4559182969654
