event_type,retailer_gln,gtin,serial_number,quantity,event_time,location_gln,price,generator_gln,last_pi_gln
7,0038401173569,['08073271481569'],100TXBN,1,2022-Jul-25T18:55:03 +0000,8550842577596,12.59,0038401173569,0038401173569
7,6526032819598,['47628011639816'],05QGG,1,2022-Jul-25T18:55:03 +0000,8897221058317,11.99,6526032819598,6526032819598
7,2358002635834,['27368041426844'],108P,1,2022-Jul-25T18:55:03 +0000,0228652811681,37.17,2358002635834,2358002635834
7,0038401173569,['17199707204120'],74QDYCO,1,2022-Jul-25T18:55:03 +0000,8781204736880,17.97,0038401173569,0038401173569
7,2358002635834,['16179438544418'],34QXSELBKFFSSPD,1,2022-Jul-25T18:55:03 +0000,9490982929115,9.31,2358002635834,2358002635834
7,0038401173569,['69291894346417'],105MXTOXSQREMVDOOP,1,2022-Jul-25T18:55:03 +0000,7681408837582,17.96,0038401173569,0038401173569
7,6526032819598,['34300765811044'],108ZISBULUIUQ,1,2022-Jul-25T18:55:03 +0000,6670047703804,44.09,6526032819598,6526032819598
7,2358002635834,['67221129464606'],96RSEIZHMQMTWFEKPNGYO,1,2022-Jul-25T18:55:03 +0000,2794319050808,5.9,2358002635834,2358002635834
7,2358002635834,['62924321266610'],91HIHBVMJINMDXGICEZVAL,1,2022-Jul-25T18:55:03 +0000,4367716064080,24.66,2358002635834,2358002635834
7,0038401173569,['11062950502748'],92STFKHQ,1,2022-Jul-25T18:55:03 +0000,9049547937832,12.27,0038401173569,0038401173569
7,2358002635834,['93982143949808'],33MGTHRPMAQ,1,2022-Jul-25T18:55:03 +0000,3113301989155,16.83,2358002635834,2358002635834
7,2358002635834,['65537271633736'],97XGBGWCRYCWAM,1,2022-Jul-25T18:55:03 +0000,8139586400661,24.06,2358002635834,2358002635834
7,0038401173569,['87795405814892'],57MEZIDZCQIPYJJGRZN,1,2022-Jul-25T18:55:03 +0000,6980404229343,42.36,0038401173569,0038401173569
7,0038401173569,['80085465390237'],50HTBHMFXVHNM,1,2022-Jul-25T18:55:03 +0000,1046306961783,28.29,0038401173569,0038401173569
7,6526032819598,['38610575974483'],41BE,1,2022-Jul-25T18:55:03 +0000,7850607563040,32.93,6526032819598,6526032819598
7,0038401173569,['57425671979598'],55VYEBHBTTZNJW,1,2022-Jul-25T18:55:03 +0000,0542493080139,29.64,0038401173569,0038401173569
7,0038401173569,['08718362544534'],43PYRBWHXLOB,1,2022-Jul-25T18:55:03 +0000,4290236504590,4.07,0038401173569,0038401173569
7,0038401173569,['55215523629270'],36LMGEIASDFU,1,2022-Jul-25T18:55:03 +0000,8022766358708,17.17,0038401173569,0038401173569
7,0038401173569,['02662824503253'],010ZBPGTCU,1,2022-Jul-25T18:55:03 +0000,8828136597501,44.36,0038401173569,0038401173569
7,6526032819598,['68166708485742'],103A,1,2022-Jul-25T18:55:03 +0000,1910155355797,14.5,6526032819598,6526032819598
