event_type,vessel_gln,gtin,serial_number,weight,event_time,location_gln,catch_date,vessal_owner_name,species,economic_zone,first_freeze_date,catch_certificate_id,conservation_reference_size,catch_area,generator_gln,next_pi_gln
1,4865149269440,39029486356512,04PPXUORPLNCFWFMN,2661,2022-Jul-23T10:20:25 +0000,1728123155612,2022-Jul-23,aIbSeUD,WoFmu,6285497307568,2022-Jul-23,48878977956770,14cm,3933997782841,4865149269440,2497278491328
1,0822024313977,37375397539819,36QKJSMZSZMX,2701,2022-Jul-23T10:20:25 +0000,3960957713472,2022-Jul-23,nqRbVRE,gtdos,6299567580304,2022-Jul-23,69412322847868,12cm,7539841820023,0822024313977,2497278491328
1,0822024313977,08791629504036,11ZAO,4824,2022-Jul-23T10:20:25 +0000,0956131969967,2022-Jul-23,fXHnLwh,zUqMC,2286587096130,2022-Jul-23,77992176624224,39cm,5069836137999,0822024313977,0892198612268
1,4865149269440,49012244734566,13LAZVSJZMURTFT,4246,2022-Jul-23T10:20:25 +0000,0919253867303,2022-Jul-23,FHboust,Ypluq,9421593142821,2022-Jul-23,92398296776769,49cm,8178951966054,4865149269440,9024978117146
1,0822024313977,60468701509668,26CRTIUT,8874,2022-Jul-23T10:20:25 +0000,7572197823245,2022-Jul-23,CZcYdfC,skdFm,6281604401705,2022-Jul-23,05034207562860,26cm,8852739200543,0822024313977,0892198612268
1,4865149269440,83614433674076,07YGFT,6816,2022-Jul-23T10:20:25 +0000,6367768780512,2022-Jul-23,bjyuazX,rXEiU,3516879047093,2022-Jul-23,57976679570051,41cm,2635750783025,4865149269440,2497278491328
1,0822024313977,11483413609520,29IYEMEVZKXEB,8014,2022-Jul-23T10:20:25 +0000,5644060158029,2022-Jul-23,FslvBKf,TYJhZ,5831321862620,2022-Jul-23,27250099376798,45cm,0018216800941,0822024313977,2497278491328
1,4865149269440,38870576602862,710VGQOTAL,8981,2022-Jul-23T10:20:25 +0000,8014716010814,2022-Jul-23,mKiKvSC,SoXop,4095151877622,2022-Jul-23,16258381980860,36cm,3782321186822,4865149269440,0892198612268
1,4865149269440,17955217814330,39BGDWDAJVJW,4780,2022-Jul-23T10:20:25 +0000,6031352083523,2022-Jul-23,vougdLW,LzoGa,7380451602119,2022-Jul-23,61547585375801,46cm,1081506272468,4865149269440,0892198612268
1,4865149269440,82439710873617,104KPSFMLIRPPZFI,4344,2022-Jul-23T10:20:25 +0000,6722527340165,2022-Jul-23,pxuHMgQ,poZbS,5404149001302,2022-Jul-23,31248170272556,42cm,8318428940269,4865149269440,2497278491328
1,3097152335087,64178455937393,62BTREUZVGTZMXRCWCLND,4183,2022-Jul-23T10:20:25 +0000,1783769840582,2022-Jul-23,FGzHqWq,doqxo,1496254371862,2022-Jul-23,56485740570844,38cm,4327602644816,3097152335087,0892198612268
1,0822024313977,38031641666732,13OEXKGIGFJJJ,9455,2022-Jul-23T10:20:25 +0000,6550508093068,2022-Jul-23,gkwQwvl,QfRWI,4573675937647,2022-Jul-23,07162853172811,31cm,3522641066803,0822024313977,2497278491328
1,3097152335087,06082400548487,32KIXKAEAUPFPATEXNLCV,4190,2022-Jul-23T10:20:25 +0000,4884071854121,2022-Jul-23,sHxHbKu,crhjr,5325932682790,2022-Jul-23,89860142671463,43cm,5942217431892,3097152335087,2497278491328
1,0822024313977,80826765036384,37FBLHUSDHEMHDTOIZDZIL,9070,2022-Jul-23T10:20:25 +0000,2774846292641,2022-Jul-23,TvCTSfX,JbIse,1462292363786,2022-Jul-23,86283982049454,22cm,7802197469252,0822024313977,9024978117146
1,3097152335087,18123417909181,25YYJD,4994,2022-Jul-23T10:20:25 +0000,0847494905673,2022-Jul-23,mNpmQTz,NuOao,3688971008587,2022-Jul-23,05260322736561,14cm,5158410691731,3097152335087,9024978117146
1,0822024313977,69438789298036,70PAQTEDUNWUDMHSO,7693,2022-Jul-23T10:20:25 +0000,2650482846885,2022-Jul-23,CoZkuih,HTZpf,5009158315648,2022-Jul-23,77478736559354,15cm,9238403351598,0822024313977,0892198612268
1,3097152335087,49263769530383,46DPTXZFXCVSEC,9787,2022-Jul-23T10:20:25 +0000,0455499003781,2022-Jul-23,ylMkEgq,ULDQG,9312819833381,2022-Jul-23,75976169710958,25cm,6707755718969,3097152335087,9024978117146
1,4865149269440,28115565927661,39HROHRWHAEBJOT,5909,2022-Jul-23T10:20:25 +0000,9261538700666,2022-Jul-23,auURxeL,GCscM,0824163955557,2022-Jul-23,59715857865348,12cm,3723497764264,4865149269440,0892198612268
1,0822024313977,62426925889068,65FQQHKUNCDDQTMBBT,2295,2022-Jul-23T10:20:25 +0000,3867715982150,2022-Jul-23,iuUtkzJ,dkABQ,9241697766966,2022-Jul-23,68248937528661,48cm,6521508720081,0822024313977,2497278491328
1,3097152335087,26775514361225,53FPU,6338,2022-Jul-23T10:20:25 +0000,9252546037735,2022-Jul-23,TIVhxvS,Iqzsb,9228319536665,2022-Jul-23,51634709083195,50cm,4073305511687,3097152335087,9024978117146
