event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,quantity,event_time,destination_gln,departure_gln,weight,temperature,generator_gln,last_pi_gln,next_pi_gln
6,4953828584771,6959961852798,0706821359085,2961260072936,39029486356512,04PPXUORPLNCFWFMN,2661,2022-Jul-26T18:20:25 +0000,0258185463360,4917642895128,38.2,-2.6,4953828584771,4953828584771,0706821359085
6,6514093577322,6959961852798,6358959074235,6404061293076,37375397539819,36QKJSMZSZMX,2701,2022-Jul-26T18:20:25 +0000,9850499135530,9496542653861,92.5,-7.2,6514093577322,6514093577322,6358959074235
6,4953828584771,4403906448282,0706821359085,0086528115873,08791629504036,11ZAO,4824,2022-Jul-26T18:20:25 +0000,3653174295575,7117402093221,49.8,-3.0,4953828584771,4953828584771,0706821359085
6,6649113209993,6959961852798,0706821359085,1085732026112,49012244734566,13LAZVSJZMURTFT,4246,2022-Jul-26T18:20:25 +0000,6548600693162,5365986537476,12.9,-9.4,6649113209993,6649113209993,0706821359085
6,4953828584771,6959961852798,0706821359085,2597489215126,60468701509668,26CRTIUT,8874,2022-Jul-26T18:20:25 +0000,9900007093412,2847259738509,18.7,-1.9,4953828584771,4953828584771,0706821359085
6,6649113209993,9253708900693,6358959074235,6943941589019,83614433674076,07YGFT,6816,2022-Jul-26T18:20:25 +0000,7188184496132,3491336521398,73.8,-4.0,6649113209993,6649113209993,6358959074235
6,6649113209993,4403906448282,6358959074235,6131821078662,11483413609520,29IYEMEVZKXEB,8014,2022-Jul-26T18:20:25 +0000,8785606591483,7187364537371,79.1,-2.1,6649113209993,6649113209993,6358959074235
6,4953828584771,9253708900693,0706821359085,2777550610271,38870576602862,710VGQOTAL,8981,2022-Jul-26T18:20:25 +0000,0054557306648,4075371257348,29.3,-7.2,4953828584771,4953828584771,0706821359085
6,6514093577322,9253708900693,6358959074235,6850076335186,17955217814330,39BGDWDAJVJW,4780,2022-Jul-26T18:20:25 +0000,5819740150683,5228276339766,84.7,-4.2,6514093577322,6514093577322,6358959074235
6,6514093577322,6959961852798,7002841700014,3540592118505,82439710873617,104KPSFMLIRPPZFI,4344,2022-Jul-26T18:20:25 +0000,0074342687841,9119694426880,39.3,-3.5,6514093577322,6514093577322,7002841700014
6,4953828584771,4403906448282,7002841700014,6815179696376,64178455937393,62BTREUZVGTZMXRCWCLND,4183,2022-Jul-26T18:20:25 +0000,2664930638288,1533273666930,31.7,-8.2,4953828584771,4953828584771,7002841700014
6,6649113209993,9253708900693,6358959074235,6353002934199,38031641666732,13OEXKGIGFJJJ,9455,2022-Jul-26T18:20:25 +0000,6813292685204,6652681344733,73.5,-9.3,6649113209993,6649113209993,6358959074235
6,4953828584771,4403906448282,0706821359085,9130763892531,06082400548487,32KIXKAEAUPFPATEXNLCV,4190,2022-Jul-26T18:20:25 +0000,3842591400416,0495561291682,86.4,-7.1,4953828584771,4953828584771,0706821359085
6,4953828584771,6959961852798,0706821359085,4089127548745,80826765036384,37FBLHUSDHEMHDTOIZDZIL,9070,2022-Jul-26T18:20:25 +0000,7777617833104,2707270452876,74.6,-3.6,4953828584771,4953828584771,0706821359085
6,4953828584771,6959961852798,0706821359085,7208008988840,18123417909181,25YYJD,4994,2022-Jul-26T18:20:25 +0000,6718929501685,3896631739159,38.6,-3.4,4953828584771,4953828584771,0706821359085
6,6514093577322,6959961852798,6358959074235,7564374883078,69438789298036,70PAQTEDUNWUDMHSO,7693,2022-Jul-26T18:20:25 +0000,8947347332448,9357154030874,43.1,-1.4,6514093577322,6514093577322,6358959074235
6,6649113209993,4403906448282,0706821359085,8686798993987,49263769530383,46DPTXZFXCVSEC,9787,2022-Jul-26T18:20:25 +0000,6760295141157,8863215024604,12.5,-0.6,6649113209993,6649113209993,0706821359085
6,4953828584771,9253708900693,6358959074235,3288560156211,28115565927661,39HROHRWHAEBJOT,5909,2022-Jul-26T18:20:25 +0000,6256306600319,9604880191395,63.3,-2.4,4953828584771,4953828584771,6358959074235
6,6649113209993,9253708900693,7002841700014,3502113898303,62426925889068,65FQQHKUNCDDQTMBBT,2295,2022-Jul-26T18:20:25 +0000,3331670114843,6100767717782,72.6,-0.6,6649113209993,6649113209993,7002841700014
6,4953828584771,4403906448282,7002841700014,3045096693120,26775514361225,53FPU,6338,2022-Jul-26T18:20:25 +0000,7928055212562,3129669069731,33.2,-4.6,4953828584771,4953828584771,7002841700014
