event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,weight,event_time,destination_gln,departure_gln,temperature,generator_gln,last_pi_gln,next_pi_gln
3,0179263277374,2839919693301,9990561110966,4976238085621,94782521175763,17FNUREVHTHNWSNTTYRI,807,2022-Jul-25T18:55:31 +0000,0175553874212,6630992930348,-0.2,9990561110966,0179263277374,2839919693301
3,3256834543069,2839919693301,9990561110966,7403120469112,24941123348485,101DSYFXWDIPU,5743,2022-Jul-25T18:55:31 +0000,3690729691412,7185098388466,-6.5,9990561110966,3256834543069,2839919693301
3,0179263277374,2839919693301,9990561110966,7024102772322,79373584914378,04OTB,9169,2022-Jul-25T18:55:31 +0000,7832681350301,9231496413237,-6.5,9990561110966,0179263277374,2839919693301
3,6763348272146,9315696408312,9990561110966,0531908766644,03973832076348,108EXHIZKMULVQGXZZMVFFIT,4346,2022-Jul-25T18:55:31 +0000,2130970196230,7140486050930,-5.6,9990561110966,6763348272146,9315696408312
3,3256834543069,9315696408312,3952517837954,8251714676567,32408229759372,58BA,3862,2022-Jul-25T18:55:31 +0000,8830350376677,4503795693301,-0.5,3952517837954,3256834543069,9315696408312
3,3256834543069,9315696408312,9990561110966,0199762884292,71121731699666,03MEBBDRCXVVSWG,7471,2022-Jul-25T18:55:31 +0000,9415655968385,6260283461743,-5.7,9990561110966,3256834543069,9315696408312
3,0179263277374,9369443427230,9990561110966,9562547568742,31518763801059,47FEPAGUABQWIOQ,994,2022-Jul-25T18:55:31 +0000,0453062329846,8544983284454,-3.2,9990561110966,0179263277374,9369443427230
3,0179263277374,2839919693301,2117328952711,1525433545136,54876110029532,73TFJTUIICXVHX,1780,2022-Jul-25T18:55:31 +0000,6894317733633,6178687841384,-6.7,2117328952711,0179263277374,2839919693301
3,3256834543069,9315696408312,2117328952711,1807169823656,24925154299984,38RLECMCLDJ,1733,2022-Jul-25T18:55:31 +0000,7683623946087,1934868141025,-3.6,2117328952711,3256834543069,9315696408312
3,0179263277374,9315696408312,9990561110966,0245688107821,54746587418832,33GRRDYYIACBDRT,4170,2022-Jul-25T18:55:31 +0000,6337680878447,8502685805341,-5.0,9990561110966,0179263277374,9315696408312
3,0179263277374,9369443427230,9990561110966,2631940464187,20447374157480,43GJQ,1510,2022-Jul-25T18:55:31 +0000,4640025318919,4868991940866,-5.1,9990561110966,0179263277374,9369443427230
3,0179263277374,2839919693301,3952517837954,6734697711234,65185091695775,31BOGTWDZTDYMNICWSZ,3618,2022-Jul-25T18:55:31 +0000,0007361794022,5749902404940,-3.3,3952517837954,0179263277374,2839919693301
3,0179263277374,9315696408312,3952517837954,4524249640118,69436078105669,30AAILFQZJNU,3139,2022-Jul-25T18:55:31 +0000,8959704798479,5874602392280,-4.4,3952517837954,0179263277374,9315696408312
3,3256834543069,9369443427230,2117328952711,9875529644840,60771518538926,33LCMTORKS,4100,2022-Jul-25T18:55:31 +0000,2644197537517,3657644359990,-3.8,2117328952711,3256834543069,9369443427230
3,3256834543069,9315696408312,3952517837954,4055239551899,00635225074381,14VQALKNDUQOJNSBYSDXS,518,2022-Jul-25T18:55:31 +0000,7611713659093,0224320065739,-7.1,3952517837954,3256834543069,9315696408312
3,0179263277374,9369443427230,9990561110966,5600992770038,53683274779364,35XEXW,1487,2022-Jul-25T18:55:31 +0000,3027209533491,1449658917371,-1.3,9990561110966,0179263277374,9369443427230
3,3256834543069,2839919693301,9990561110966,6849570478672,34743458927180,010JQMEDGYKHEAKVSLHD,7278,2022-Jul-25T18:55:31 +0000,8332614686895,8437598197144,-4.7,9990561110966,3256834543069,2839919693301
3,0179263277374,9315696408312,9990561110966,6737204260712,67857571470457,07QAYGMAJFILP,4720,2022-Jul-25T18:55:31 +0000,0826569639203,9467377477194,-7.7,9990561110966,0179263277374,9315696408312
3,3256834543069,2839919693301,2117328952711,7450155210492,36693182784185,69IAXXMXZLFRF,3562,2022-Jul-25T18:55:31 +0000,2788637438395,1133862745134,-6.9,2117328952711,3256834543069,2839919693301
3,6763348272146,9315696408312,9990561110966,9724147965047,44962827086172,01KDNXF,7306,2022-Jul-25T18:55:31 +0000,5426090765416,0855707675190,-5.8,9990561110966,6763348272146,9315696408312
