event_type,vessel_gln,gtin,serial_number,weight,event_time,location_gln,catch_date,vessal_owner_name,species,economic_zone,first_freeze_date,catch_certificate_id,conservation_reference_size,catch_area,generator_gln,next_pi_gln
1,6463356961057,53162513472755,610VXM,0,2022-Jul-21T08:16:20 +0000,8403452999521,2022-Jul-21,RHMrJSR,KUkku,6080333234995,2022-Jul-21,14297246329251,19cm,0969125491381,6463356961057,1528731302074
1,6464199633757,00059584968637,87TIB,0,2022-Jul-21T08:16:20 +0000,3798422739784,2022-Jul-21,keYFpZp,ZHAKh,0020908091319,2022-Jul-21,28834577961992,21cm,2289955843696,6464199633757,1528731302074
1,6463356961057,11324305279709,20LLIWQADPCUTBKBRID,0,2022-Jul-21T08:16:20 +0000,5665803719339,2022-Jul-21,TLwSgsM,TJCBq,4575978992762,2022-Jul-21,86642379074557,15cm,0792282509269,6463356961057,5428682625373
1,5436228123765,17085205146521,15XKEKZX,0,2022-Jul-21T08:16:20 +0000,0777795306165,2022-Jul-21,GhVrKXx,KhTDz,3120790050201,2022-Jul-21,83998328728896,28cm,2347405573708,5436228123765,3913632605816
1,6464199633757,35760216887177,69THQAASVTWPTK,0,2022-Jul-21T08:16:20 +0000,1834402178096,2022-Jul-21,zQEOGJc,cjsHh,2238838792701,2022-Jul-21,38311053738730,38cm,8153853555835,6464199633757,3913632605816
1,6463356961057,36500130086730,74MZ,0,2022-Jul-21T08:16:20 +0000,4004042704876,2022-Jul-21,pxIRaMV,vlNGF,4443619157576,2022-Jul-21,87212556767255,17cm,0229880258679,6463356961057,1528731302074
1,5436228123765,09978149056806,13KWSGVLBOPQXILL,0,2022-Jul-21T08:16:20 +0000,2870198255314,2022-Jul-21,ebXwPGh,tGYdZ,0388770194705,2022-Jul-21,81045685243276,15cm,9510739907605,5436228123765,1528731302074
1,5436228123765,08975017612911,108BDB,0,2022-Jul-21T08:16:20 +0000,9237340828865,2022-Jul-21,zwobqaS,VLKYe,4488918392547,2022-Jul-21,11554464206169,21cm,1041654545669,5436228123765,5428682625373
1,6464199633757,03355505611041,106NBYHCNENCIAUNZ,0,2022-Jul-21T08:16:20 +0000,6549381575076,2022-Jul-21,VMzIsQH,IfSWf,7761812358675,2022-Jul-21,00193848235593,11cm,7753634129754,6464199633757,5428682625373
1,6463356961057,17763794764451,22MZFJAPETAUKQKYKAHIAGL,0,2022-Jul-21T08:16:20 +0000,8614718622379,2022-Jul-21,BiVPxia,egZmr,0852072211557,2022-Jul-21,09508233612249,11cm,5414606791778,6463356961057,5428682625373
1,5436228123765,39664376818760,41KYDZYIQC,0,2022-Jul-21T08:16:20 +0000,2790860153269,2022-Jul-21,DQWnSsa,xyRAe,8814048497883,2022-Jul-21,71338250407303,28cm,3907150570919,5436228123765,3913632605816
1,6464199633757,90117316873602,29KSZFVOCFJU,0,2022-Jul-21T08:16:20 +0000,3677230943219,2022-Jul-21,OePecbu,irPbO,6145578627015,2022-Jul-21,88154930006573,46cm,7760838236590,6464199633757,5428682625373
1,6464199633757,03673795229723,28UHXYEMH,0,2022-Jul-21T08:16:20 +0000,7402685653986,2022-Jul-21,YXWpInN,xgTZY,5755847473561,2022-Jul-21,05926906831915,36cm,2914270518140,6464199633757,3913632605816
1,6463356961057,54587022010967,42AHAEZRFZNVZVYZ,0,2022-Jul-21T08:16:20 +0000,1981190045242,2022-Jul-21,mRdCfWB,dSjku,9949851142271,2022-Jul-21,00129047084914,38cm,2898208258576,6463356961057,1528731302074
1,5436228123765,79758617394608,41FBTBUQMNK,0,2022-Jul-21T08:16:20 +0000,0146070258231,2022-Jul-21,ePUPSmZ,HJrdF,4037216407643,2022-Jul-21,90455082116605,19cm,1942089680593,5436228123765,5428682625373
1,6463356961057,25656125019121,44HUJHWOM,0,2022-Jul-21T08:16:20 +0000,2549370444357,2022-Jul-21,RZHiyDD,CTWrE,2219184646682,2022-Jul-21,38936433351577,38cm,8641309342537,6463356961057,1528731302074
1,5436228123765,02259517653567,31XC,0,2022-Jul-21T08:16:20 +0000,6346901780416,2022-Jul-21,ibXAHRJ,HgNDV,7859607095176,2022-Jul-21,16571191727999,39cm,7826216339587,5436228123765,3913632605816
1,6463356961057,15699051888330,46XMCEYRIVCZHI,0,2022-Jul-21T08:16:20 +0000,4822907932248,2022-Jul-21,YvTwtZK,BFDxH,9134936602107,2022-Jul-21,28301092957041,15cm,8577918459588,6463356961057,5428682625373
1,5436228123765,70875339382640,27JDMMLARYRYF,0,2022-Jul-21T08:16:20 +0000,5212594013603,2022-Jul-21,ZDQEndR,ORXiP,3799073958004,2022-Jul-21,47847411901172,40cm,6503226655003,5436228123765,3913632605816
1,5436228123765,78280542187717,51WXZEZITF,0,2022-Jul-21T08:16:20 +0000,2592027546289,2022-Jul-21,hscrHCz,XPBuf,4255301278469,2022-Jul-21,02094167972700,48cm,5922058983028,5436228123765,5428682625373
