event_type,auction_gln,supplier_gln,customer_gln,gtin,serial_number,weight,event_time,location_gln,product_name,generator_gln,last_pi_gln,next_pi_gln
2,1528731302074,6463356961057,8027666502840,53162513472755,610VXM,4709,2022-Jul-22T16:16:20 +0000,2169447758519,eoCiG,1528731302074,6463356961057,2842748985108
2,1528731302074,6464199633757,2842748985108,00059584968637,87TIB,7513,2022-Jul-22T16:16:20 +0000,2505257924301,BarBS,1528731302074,6464199633757,8027666502840
2,5428682625373,6463356961057,8027666502840,11324305279709,20LLIWQADPCUTBKBRID,3518,2022-Jul-22T16:16:20 +0000,3115826698585,PdHaI,5428682625373,6463356961057,2842748985108
2,3913632605816,5436228123765,2842748985108,17085205146521,15XKEKZX,2467,2022-Jul-22T16:16:20 +0000,7136249674851,iXOpE,3913632605816,5436228123765,6138483984369
2,3913632605816,6464199633757,8027666502840,35760216887177,69THQAASVTWPTK,1935,2022-Jul-22T16:16:20 +0000,4689896759168,CcxDz,3913632605816,6464199633757,8027666502840
2,1528731302074,6463356961057,2842748985108,36500130086730,74MZ,3753,2022-Jul-22T16:16:20 +0000,1799707149904,LwvGS,1528731302074,6463356961057,8027666502840
2,1528731302074,5436228123765,8027666502840,09978149056806,13KWSGVLBOPQXILL,5750,2022-Jul-22T16:16:20 +0000,9070953561176,yJWGD,1528731302074,5436228123765,6138483984369
2,5428682625373,5436228123765,2842748985108,08975017612911,108BDB,1162,2022-Jul-22T16:16:20 +0000,3994217761450,ZkZqx,5428682625373,5436228123765,8027666502840
2,5428682625373,6464199633757,2842748985108,03355505611041,106NBYHCNENCIAUNZ,8086,2022-Jul-22T16:16:20 +0000,5686290105246,bUohP,5428682625373,6464199633757,8027666502840
2,5428682625373,6463356961057,2842748985108,17763794764451,22MZFJAPETAUKQKYKAHIAGL,9175,2022-Jul-22T16:16:20 +0000,5784305373281,Nlthz,5428682625373,6463356961057,8027666502840
2,3913632605816,5436228123765,6138483984369,39664376818760,41KYDZYIQC,8176,2022-Jul-22T16:16:20 +0000,6011662626309,fMWZm,3913632605816,5436228123765,6138483984369
2,5428682625373,6464199633757,8027666502840,90117316873602,29KSZFVOCFJU,3603,2022-Jul-22T16:16:20 +0000,3060591231309,LDHmM,5428682625373,6464199633757,8027666502840
2,3913632605816,6464199633757,8027666502840,03673795229723,28UHXYEMH,4211,2022-Jul-22T16:16:20 +0000,4715134864012,DIPYc,3913632605816,6464199633757,6138483984369
2,1528731302074,6463356961057,8027666502840,54587022010967,42AHAEZRFZNVZVYZ,2496,2022-Jul-22T16:16:20 +0000,5975715997821,ovDHE,1528731302074,6463356961057,6138483984369
2,5428682625373,5436228123765,6138483984369,79758617394608,41FBTBUQMNK,9293,2022-Jul-22T16:16:20 +0000,7926645494435,AXWya,5428682625373,5436228123765,6138483984369
2,1528731302074,6463356961057,2842748985108,25656125019121,44HUJHWOM,9680,2022-Jul-22T16:16:20 +0000,3156937341996,bOVwc,1528731302074,6463356961057,6138483984369
2,3913632605816,5436228123765,6138483984369,02259517653567,31XC,8611,2022-Jul-22T16:16:20 +0000,3353384721165,HzVRV,3913632605816,5436228123765,6138483984369
2,5428682625373,6463356961057,6138483984369,15699051888330,46XMCEYRIVCZHI,5337,2022-Jul-22T16:16:20 +0000,6241973283514,bCKdO,5428682625373,6463356961057,8027666502840
2,3913632605816,5436228123765,6138483984369,70875339382640,27JDMMLARYRYF,5742,2022-Jul-22T16:16:20 +0000,0534594291169,GDebI,3913632605816,5436228123765,8027666502840
2,5428682625373,5436228123765,2842748985108,78280542187717,51WXZEZITF,7808,2022-Jul-22T16:16:20 +0000,9552401797301,DPdNI,5428682625373,5436228123765,8027666502840
