event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,quantity,event_time,destination_gln,departure_gln,weight,temperature,generator_gln,last_pi_gln,next_pi_gln
6,8027666502840,0403017953186,8027666502840,5763037220902,53162513472755,610VXM,4709,2022-Jul-24T16:16:20 +0000,5422174343148,6880827141412,81.3,-7.6,8027666502840,8027666502840,8027666502840
6,2842748985108,0403017953186,2842748985108,8539131423492,00059584968637,87TIB,7513,2022-Jul-24T16:16:20 +0000,3464376664714,4216927348525,63.8,-5.5,2842748985108,2842748985108,2842748985108
6,8027666502840,9620515124712,8027666502840,6676507787853,11324305279709,20LLIWQADPCUTBKBRID,3518,2022-Jul-24T16:16:20 +0000,4328978131530,8577886983293,60.2,-1.2,8027666502840,8027666502840,8027666502840
6,2842748985108,0862792406687,6138483984369,1436536012626,17085205146521,15XKEKZX,2467,2022-Jul-24T16:16:20 +0000,2996405700102,7603685378265,24.3,-7.7,2842748985108,2842748985108,6138483984369
6,8027666502840,0862792406687,6138483984369,8388059923885,35760216887177,69THQAASVTWPTK,1935,2022-Jul-24T16:16:20 +0000,0291054258105,3533532945649,54.7,-5.4,8027666502840,8027666502840,6138483984369
6,2842748985108,0403017953186,2842748985108,0740592872192,36500130086730,74MZ,3753,2022-Jul-24T16:16:20 +0000,7655497876223,8924704238640,88.2,-1.3,2842748985108,2842748985108,2842748985108
6,8027666502840,0403017953186,2842748985108,6075461698236,09978149056806,13KWSGVLBOPQXILL,5750,2022-Jul-24T16:16:20 +0000,4768016338373,0588177787080,92.6,-7.3,8027666502840,8027666502840,2842748985108
6,2842748985108,0862792406687,8027666502840,0564964297679,08975017612911,108BDB,1162,2022-Jul-24T16:16:20 +0000,3544510408370,4000296081200,81.4,-3.0,2842748985108,2842748985108,8027666502840
6,2842748985108,0403017953186,2842748985108,7604553268109,03355505611041,106NBYHCNENCIAUNZ,8086,2022-Jul-24T16:16:20 +0000,2838195959094,4843100963426,63.5,-1.5,2842748985108,2842748985108,2842748985108
6,2842748985108,9620515124712,8027666502840,7177608772661,17763794764451,22MZFJAPETAUKQKYKAHIAGL,9175,2022-Jul-24T16:16:20 +0000,6575718428227,8457596474539,18.7,-0.5,2842748985108,2842748985108,8027666502840
6,6138483984369,0403017953186,2842748985108,3043503776349,39664376818760,41KYDZYIQC,8176,2022-Jul-24T16:16:20 +0000,0593361009768,8025512439144,70.9,-9.5,6138483984369,6138483984369,2842748985108
6,8027666502840,0403017953186,6138483984369,4747297846517,90117316873602,29KSZFVOCFJU,3603,2022-Jul-24T16:16:20 +0000,8751403258769,3133538982494,10.4,-7.6,8027666502840,8027666502840,6138483984369
6,8027666502840,0403017953186,2842748985108,0192262538663,03673795229723,28UHXYEMH,4211,2022-Jul-24T16:16:20 +0000,8517671224533,2422444532100,24.8,-2.0,8027666502840,8027666502840,2842748985108
6,8027666502840,0862792406687,6138483984369,5551848234052,54587022010967,42AHAEZRFZNVZVYZ,2496,2022-Jul-24T16:16:20 +0000,5167744528073,5871660680258,89.3,-4.1,8027666502840,8027666502840,6138483984369
6,6138483984369,0403017953186,8027666502840,0801007969503,79758617394608,41FBTBUQMNK,9293,2022-Jul-24T16:16:20 +0000,9091393538898,6884450162624,97.3,-1.5,6138483984369,6138483984369,8027666502840
6,2842748985108,9620515124712,2842748985108,6919564980536,25656125019121,44HUJHWOM,9680,2022-Jul-24T16:16:20 +0000,3827502719867,0437933275867,47.3,-1.1,2842748985108,2842748985108,2842748985108
6,6138483984369,0862792406687,6138483984369,9011413398140,02259517653567,31XC,8611,2022-Jul-24T16:16:20 +0000,3414296844271,6737952565092,71.8,-6.5,6138483984369,6138483984369,6138483984369
6,6138483984369,0403017953186,2842748985108,9690549265526,15699051888330,46XMCEYRIVCZHI,5337,2022-Jul-24T16:16:20 +0000,9503954513061,7211278692452,92.3,-6.3,6138483984369,6138483984369,2842748985108
6,6138483984369,0862792406687,8027666502840,7218795393037,70875339382640,27JDMMLARYRYF,5742,2022-Jul-24T16:16:20 +0000,9534138624260,0794520558707,70.8,-5.2,6138483984369,6138483984369,8027666502840
6,2842748985108,0862792406687,6138483984369,0025871924338,78280542187717,51WXZEZITF,7808,2022-Jul-24T16:16:20 +0000,7216661349033,8017365994449,72.8,-4.4,2842748985108,2842748985108,6138483984369
