event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,weight,event_time,destination_gln,departure_gln,temperature,generator_gln,last_pi_gln,next_pi_gln
3,8027666502840,0403017953186,8027666502840,2698795527538,53162513472755,610VXM,4709,2022-Jul-25T16:16:20 +0000,8390857230429,3323970254941,-9.5,8027666502840,8027666502840,0403017953186
3,2842748985108,0403017953186,2842748985108,5471285647176,00059584968637,87TIB,7513,2022-Jul-25T16:16:20 +0000,3956261586445,2282179935597,-4.2,2842748985108,2842748985108,0403017953186
3,8027666502840,9620515124712,8027666502840,0539242508924,11324305279709,20LLIWQADPCUTBKBRID,3518,2022-Jul-25T16:16:20 +0000,2033309579914,6258993360888,-3.0,8027666502840,8027666502840,9620515124712
3,2842748985108,0862792406687,6138483984369,2244243987578,17085205146521,15XKEKZX,2467,2022-Jul-25T16:16:20 +0000,7934758710666,8712097175279,-3.7,6138483984369,2842748985108,0862792406687
3,8027666502840,0862792406687,6138483984369,0846209230722,35760216887177,69THQAASVTWPTK,1935,2022-Jul-25T16:16:20 +0000,6565376860087,0759766770258,-7.3,6138483984369,8027666502840,0862792406687
3,2842748985108,0403017953186,2842748985108,4549480843679,36500130086730,74MZ,3753,2022-Jul-25T16:16:20 +0000,3439672292164,7931523318564,-7.3,2842748985108,2842748985108,0403017953186
3,8027666502840,0403017953186,2842748985108,6569578739264,09978149056806,13KWSGVLBOPQXILL,5750,2022-Jul-25T16:16:20 +0000,5829598239005,8402469420094,-9.6,2842748985108,8027666502840,0403017953186
3,2842748985108,0862792406687,8027666502840,7734127241639,08975017612911,108BDB,1162,2022-Jul-25T16:16:20 +0000,0026158292469,9919388374123,-9.1,8027666502840,2842748985108,0862792406687
3,2842748985108,0403017953186,2842748985108,0595290377446,03355505611041,106NBYHCNENCIAUNZ,8086,2022-Jul-25T16:16:20 +0000,0421523930618,0264296582973,-6.3,2842748985108,2842748985108,0403017953186
3,2842748985108,9620515124712,8027666502840,5993861283408,17763794764451,22MZFJAPETAUKQKYKAHIAGL,9175,2022-Jul-25T16:16:20 +0000,8446063043584,0686894712319,-3.9,8027666502840,2842748985108,9620515124712
3,6138483984369,0403017953186,2842748985108,8286346413755,39664376818760,41KYDZYIQC,8176,2022-Jul-25T16:16:20 +0000,4361008203018,5110083442368,-1.3,2842748985108,6138483984369,0403017953186
3,8027666502840,0403017953186,6138483984369,2372925934185,90117316873602,29KSZFVOCFJU,3603,2022-Jul-25T16:16:20 +0000,4812108033103,8046649887982,-9.9,6138483984369,8027666502840,0403017953186
3,8027666502840,0403017953186,2842748985108,2606554947658,03673795229723,28UHXYEMH,4211,2022-Jul-25T16:16:20 +0000,4993147906372,8582895582579,-3.1,2842748985108,8027666502840,0403017953186
3,8027666502840,0862792406687,6138483984369,8721245629068,54587022010967,42AHAEZRFZNVZVYZ,2496,2022-Jul-25T16:16:20 +0000,9079138848694,5214981254367,-6.5,6138483984369,8027666502840,0862792406687
3,6138483984369,0403017953186,8027666502840,0367824164919,79758617394608,41FBTBUQMNK,9293,2022-Jul-25T16:16:20 +0000,4609509545628,0599078248523,-7.7,8027666502840,6138483984369,0403017953186
3,2842748985108,9620515124712,2842748985108,4631733551578,25656125019121,44HUJHWOM,9680,2022-Jul-25T16:16:20 +0000,1671941769707,9178217791251,-1.7,2842748985108,2842748985108,9620515124712
3,6138483984369,0862792406687,6138483984369,3826116838346,02259517653567,31XC,8611,2022-Jul-25T16:16:20 +0000,0836993993894,2064522891814,-2.8,6138483984369,6138483984369,0862792406687
3,6138483984369,0403017953186,2842748985108,8053817178885,15699051888330,46XMCEYRIVCZHI,5337,2022-Jul-25T16:16:20 +0000,0191677349720,3519965261134,-5.9,2842748985108,6138483984369,0403017953186
3,6138483984369,0862792406687,8027666502840,1952872520600,70875339382640,27JDMMLARYRYF,5742,2022-Jul-25T16:16:20 +0000,2804484696260,2647433214591,-8.0,8027666502840,6138483984369,0862792406687
3,2842748985108,0862792406687,6138483984369,5430899283343,78280542187717,51WXZEZITF,7808,2022-Jul-25T16:16:20 +0000,2510975565736,0827846278918,-3.1,6138483984369,2842748985108,0862792406687
