event_type,retailer_gln,gtin,serial_number,quantity,event_time,location_gln,price,generator_gln,last_pi_gln
7,0403017953186,53162513472755,610VXM,1,2022-Jul-26T16:16:20 +0000,7053335247917,20.4,0403017953186,0403017953186
7,0403017953186,00059584968637,87TIB,1,2022-Jul-26T16:16:20 +0000,6949327027332,15.81,0403017953186,0403017953186
7,9620515124712,11324305279709,20LLIWQADPCUTBKBRID,1,2022-Jul-26T16:16:20 +0000,6324280752955,4.94,9620515124712,9620515124712
7,0862792406687,17085205146521,15XKEKZX,1,2022-Jul-26T16:16:20 +0000,0874263136893,43.34,0862792406687,0862792406687
7,0862792406687,35760216887177,69THQAASVTWPTK,1,2022-Jul-26T16:16:20 +0000,9114109629925,40.66,0862792406687,0862792406687
7,0403017953186,36500130086730,74MZ,1,2022-Jul-26T16:16:20 +0000,8527105055860,37.95,0403017953186,0403017953186
7,0403017953186,09978149056806,13KWSGVLBOPQXILL,1,2022-Jul-26T16:16:20 +0000,5473180820055,32.45,0403017953186,0403017953186
7,0862792406687,08975017612911,108BDB,1,2022-Jul-26T16:16:20 +0000,7065690916744,8.31,0862792406687,0862792406687
7,0403017953186,03355505611041,106NBYHCNENCIAUNZ,1,2022-Jul-26T16:16:20 +0000,0053156190447,47.7,0403017953186,0403017953186
7,9620515124712,17763794764451,22MZFJAPETAUKQKYKAHIAGL,1,2022-Jul-26T16:16:20 +0000,1172692190063,39.88,9620515124712,9620515124712
7,0403017953186,39664376818760,41KYDZYIQC,1,2022-Jul-26T16:16:20 +0000,8546297253491,45.46,0403017953186,0403017953186
7,0403017953186,90117316873602,29KSZFVOCFJU,1,2022-Jul-26T16:16:20 +0000,0082184251001,17.15,0403017953186,0403017953186
7,0403017953186,03673795229723,28UHXYEMH,1,2022-Jul-26T16:16:20 +0000,2611862190886,4.56,0403017953186,0403017953186
7,0862792406687,54587022010967,42AHAEZRFZNVZVYZ,1,2022-Jul-26T16:16:20 +0000,9147948418799,48.45,0862792406687,0862792406687
7,0403017953186,79758617394608,41FBTBUQMNK,1,2022-Jul-26T16:16:20 +0000,8375364355592,36.91,0403017953186,0403017953186
7,9620515124712,25656125019121,44HUJHWOM,1,2022-Jul-26T16:16:20 +0000,9580269643342,36.07,9620515124712,9620515124712
7,0862792406687,02259517653567,31XC,1,2022-Jul-26T16:16:20 +0000,8111929412164,24.46,0862792406687,0862792406687
7,0403017953186,15699051888330,46XMCEYRIVCZHI,1,2022-Jul-26T16:16:20 +0000,7675913248507,15.94,0403017953186,0403017953186
7,0862792406687,70875339382640,27JDMMLARYRYF,1,2022-Jul-26T16:16:20 +0000,6799267701174,43.99,0862792406687,0862792406687
7,0862792406687,78280542187717,51WXZEZITF,1,2022-Jul-26T16:16:20 +0000,4616354166919,22.93,0862792406687,0862792406687
