previous_key,new_key,event_id,event_type,retailer_gln,gtin,serial_number,quantity,event_time,location_name,location_coordinate,price,company_name,generator_type,generator_gln,last_pi_gln
10eb0975-5108-4fb6-94c9-2a1eafeb311c,10eb0975-5108-4fb6-94c9-2a1eafeb311c,b7cfc3d1-5952-46c4-a625-9af4f06aac24,7,0787724016099,28758993154133,01L,1,2022-Aug-15T02:34:31 +0000,Jakarta_retailer_1,"-6.1357107,106.7718604",24.56,Jakarta,retailer,0787724016099,0787724016099
10eb0975-5108-4fb6-94c9-2a1eafeb311c,10eb0975-5108-4fb6-94c9-2a1eafeb311c,c153e747-568d-4757-a394-c3c85916be49,7,9892695950785,28758993154133,01L,1,2022-Aug-15T02:34:31 +0000,Jakarta_retailer_0,"-6.1600821,106.72224",34.51,Jakarta,retailer,9892695950785,9892695950785
bbcfa6da-f1d9-428f-9357-c84f3357288a,bbcfa6da-f1d9-428f-9357-c84f3357288a,bb74899a-e570-481f-bc37-9bc3e259857c,7,6973908982074,48051598308769,010QVBVIGMGV,1,2022-Aug-15T02:34:31 +0000,Jakarta_retailer_2,"-6.2609728,106.8349801",3.16,Jakarta,retailer,6973908982074,6973908982074
bbcfa6da-f1d9-428f-9357-c84f3357288a,bbcfa6da-f1d9-428f-9357-c84f3357288a,2f5d35c0-30e9-4301-8670-cd1a15bf2373,7,0787724016099,48051598308769,010QVBVIGMGV,1,2022-Aug-15T02:34:31 +0000,Jakarta_retailer_1,"-6.1357107,106.7718604",18.3,Jakarta,retailer,0787724016099,0787724016099
e105f283-ebbc-4c0d-8212-6a0aeb4a479b,e105f283-ebbc-4c0d-8212-6a0aeb4a479b,c8514db5-60f6-4117-a220-0ae86dfcb39a,7,0787724016099,25845979812421,710YOLFPSBVQNXO,1,2022-Aug-15T02:34:31 +0000,Jakarta_retailer_1,"-6.1357107,106.7718604",23.36,Jakarta,retailer,0787724016099,0787724016099
e105f283-ebbc-4c0d-8212-6a0aeb4a479b,e105f283-ebbc-4c0d-8212-6a0aeb4a479b,b7f2034f-24bd-470b-a98e-2478dcf26ebd,7,6973908982074,25845979812421,710YOLFPSBVQNXO,1,2022-Aug-15T02:34:31 +0000,Jakarta_retailer_2,"-6.2609728,106.8349801",39.42,Jakarta,retailer,6973908982074,6973908982074
fc351a3e-78ab-45a6-b9b0-e9af9b282dbe,fc351a3e-78ab-45a6-b9b0-e9af9b282dbe,180a578f-bdda-4ce4-b8d1-3465de9a73ab,7,6973908982074,43643276681515,52OKJ,1,2022-Aug-15T02:34:31 +0000,Jakarta_retailer_2,"-6.2609728,106.8349801",39.77,Jakarta,retailer,6973908982074,6973908982074
fc351a3e-78ab-45a6-b9b0-e9af9b282dbe,fc351a3e-78ab-45a6-b9b0-e9af9b282dbe,cb90feba-5df9-4996-94d6-0032592a0eb4,7,9892695950785,43643276681515,52OKJ,1,2022-Aug-15T02:34:31 +0000,Jakarta_retailer_0,"-6.1600821,106.72224",39.11,Jakarta,retailer,9892695950785,9892695950785
fdab6562-a921-435c-8f78-8ebd0d188dea,fdab6562-a921-435c-8f78-8ebd0d188dea,70f83a7a-a43d-4932-b4f0-e38f435872a9,7,0787724016099,17522770420062,57PNFDQDPWTAWJVYTRTZBU,1,2022-Aug-15T02:34:31 +0000,Jakarta_retailer_1,"-6.1357107,106.7718604",22.95,Jakarta,retailer,0787724016099,0787724016099
fdab6562-a921-435c-8f78-8ebd0d188dea,fdab6562-a921-435c-8f78-8ebd0d188dea,619b9d86-14aa-4573-8c3d-4561b90638a5,7,9892695950785,17522770420062,57PNFDQDPWTAWJVYTRTZBU,1,2022-Aug-15T02:34:31 +0000,Jakarta_retailer_0,"-6.1600821,106.72224",33.32,Jakarta,retailer,9892695950785,9892695950785
a88b212e-a5a9-4791-b27f-01f5bf7f12d7,a88b212e-a5a9-4791-b27f-01f5bf7f12d7,bf025465-4a83-4fda-844d-0398e95217b3,7,6973908982074,95726539271093,04ISX,1,2022-Aug-15T02:34:31 +0000,Jakarta_retailer_2,"-6.2609728,106.8349801",12.89,Jakarta,retailer,6973908982074,6973908982074
