event_type,vessel_gln,gtin,serial_number,weight,event_time,location_gln,catch_date,vessal_owner_name,species,economic_zone,first_freeze_date,catch_certificate_id,conservation_reference_size,catch_area,generator_gln,next_pi_gln
1,9318857676381,00452776718048,104AFOGOKQVWWOKQZDTDQ,2803,2022-Jul-23T10:25:08 +0000,2959768444256,2022-Jul-23,oVnxUac,fmgwZ,7709131975364,2022-Jul-23,81142812437631,38cm,5165175805986,9318857676381,7614413731170
1,9318857676381,35207656690215,92PPHWENQUZGXWBWMUJIXI,9686,2022-Jul-23T10:25:08 +0000,1966848851286,2022-Jul-23,vtcqoLg,SsMcL,6286497776898,2022-Jul-23,73847534410267,41cm,9781795799576,9318857676381,2610293866714
1,9318857676381,92824669888012,54ODLEEOFSHRGGYLFZANF,7968,2022-Jul-23T10:25:08 +0000,8256530901485,2022-Jul-23,nXXOQoA,kUbnD,2965341861651,2022-Jul-23,59605912127862,12cm,7959854582427,9318857676381,8917349785355
1,1140994637529,08089583147043,102K,5682,2022-Jul-23T10:25:08 +0000,3841654611239,2022-Jul-23,VFFEyGs,fVwVw,1633328244049,2022-Jul-23,44892627764996,44cm,9717243500841,1140994637529,7614413731170
1,9318857676381,38405055874933,99YESIC,6442,2022-Jul-23T10:25:08 +0000,7600100577865,2022-Jul-23,CFipiuJ,JOAlt,2199881467534,2022-Jul-23,72555416669396,48cm,7558686964282,9318857676381,8917349785355
1,3910116583423,53963135335135,71JGGMYOZXBJVP,1981,2022-Jul-23T10:25:08 +0000,7486983367625,2022-Jul-23,nyNkiEL,uSkCG,8019704245567,2022-Jul-23,96128164756709,28cm,2523530622139,3910116583423,2610293866714
1,9318857676381,07311666225678,15ILIJCZETYHL,9292,2022-Jul-23T10:25:08 +0000,4193754874867,2022-Jul-23,EqXOKjp,JXXQA,4214942569468,2022-Jul-23,17309787259915,12cm,8403527056789,9318857676381,2610293866714
1,3910116583423,08103311352768,25ZOJCOTTLYRTCSNON,8656,2022-Jul-23T10:25:08 +0000,1403857280703,2022-Jul-23,rTbjMyU,JlZuO,9635732465376,2022-Jul-23,05100801718101,11cm,6192840299017,3910116583423,7614413731170
1,3910116583423,54998993317313,98ZCTHYCLSYXT,6570,2022-Jul-23T10:25:08 +0000,5882154440534,2022-Jul-23,claXaoE,egWmd,3106806353920,2022-Jul-23,72927417676257,25cm,4713536653743,3910116583423,2610293866714
1,9318857676381,17226731637338,27LL,6281,2022-Jul-23T10:25:08 +0000,2609730478173,2022-Jul-23,OKnfRpt,iOmGu,3686790248597,2022-Jul-23,95818237144178,16cm,0057356782403,9318857676381,2610293866714
1,9318857676381,24178265742954,36REYJRP,1964,2022-Jul-23T10:25:08 +0000,6854068457460,2022-Jul-23,dJdECdP,TcGRr,4186657051141,2022-Jul-23,55206802163397,50cm,1261320680143,9318857676381,8917349785355
1,9318857676381,84981573282864,104JLPOPGUZYXLWJC,8070,2022-Jul-23T10:25:08 +0000,9548041006139,2022-Jul-23,holJHHp,PpjXt,5985921141850,2022-Jul-23,63944912102851,17cm,0241398669843,9318857676381,2610293866714
1,9318857676381,02119129428249,410XKPQMZMYUTILJXKOYY,9894,2022-Jul-23T10:25:08 +0000,6103880525546,2022-Jul-23,JfaHsNM,KHSxH,3998439271757,2022-Jul-23,20630704576726,25cm,8714948820492,9318857676381,7614413731170
1,3910116583423,02417741675716,110RJTDGG,6196,2022-Jul-23T10:25:08 +0000,4691744507290,2022-Jul-23,bgPfSwl,gyObU,0986403895154,2022-Jul-23,81288521304418,44cm,6073228584804,3910116583423,2610293866714
1,1140994637529,35390049303698,14IPACQEZWJXHQWI,2460,2022-Jul-23T10:25:08 +0000,6751895910106,2022-Jul-23,SGVJfjE,CugQx,9279636172829,2022-Jul-23,44106217161048,26cm,2699002309812,1140994637529,7614413731170
1,1140994637529,88220638203286,82UFWEKDPKIYOW,8357,2022-Jul-23T10:25:08 +0000,0735683172850,2022-Jul-23,DHpvFYe,AVXEB,2784734629805,2022-Jul-23,71860434523631,45cm,1848630488642,1140994637529,8917349785355
1,9318857676381,65389520365735,30PNZQRU,8003,2022-Jul-23T10:25:08 +0000,6441625975822,2022-Jul-23,sIJiLrw,SAaLj,1779589188670,2022-Jul-23,89065821888922,29cm,7518679149896,9318857676381,7614413731170
1,9318857676381,55000499933507,89VMMHYPWKUJNICDMC,8701,2022-Jul-23T10:25:08 +0000,2242832839148,2022-Jul-23,XXIfJhv,mcdhu,5088723867705,2022-Jul-23,03653148821125,10cm,7976795814231,9318857676381,7614413731170
1,9318857676381,28542331644663,97FEUHK,2074,2022-Jul-23T10:25:08 +0000,4524851666466,2022-Jul-23,MVIJAtB,SLyyl,4055526511439,2022-Jul-23,97279894460612,34cm,4732893384896,9318857676381,8917349785355
1,9318857676381,73627271305069,31SPXZAGRQITUAY,2204,2022-Jul-23T10:25:08 +0000,2623306309058,2022-Jul-23,hYvFwVm,oswvv,3598700157762,2022-Jul-23,00704012184163,28cm,5716948117804,9318857676381,8917349785355
