event_type,auction_gln,supplier_gln,customer_gln,gtin,serial_number,weight,event_time,location_gln,product_name,generator_gln,last_pi_gln,next_pi_gln
2,4062034614003,9766880949224,7163046123159,80222382661761,14DRGSFGZ,6344,2022-Jul-22T18:56:58 +0000,3390335408425,NOOau,4062034614003,9766880949224,4200372163464
2,7438227295471,6674401589886,7163046123159,63975670781607,105JNVCOHCGAVAVDPMZNR,7890,2022-Jul-22T18:56:58 +0000,4740889142392,xCaQF,7438227295471,6674401589886,1009884269290
2,4062034614003,9766880949224,3563664618168,65638127204864,97CAH,5419,2022-Jul-22T18:56:58 +0000,8700573504920,vWhbx,4062034614003,9766880949224,4200372163464
2,4062034614003,7783182575001,7163046123159,42810185884432,48I,9780,2022-Jul-22T18:56:58 +0000,9673146705820,IBrye,4062034614003,7783182575001,1009884269290
2,4062034614003,9766880949224,0595812457973,18469007823401,17GSQCMEQKQPQLAIIIWKG,892,2022-Jul-22T18:56:58 +0000,7167781701821,eIzxo,4062034614003,9766880949224,3432582416909
2,4062034614003,6674401589886,3563664618168,64157833166054,41ZOJLTEDDAYCTTQMGZMY,8657,2022-Jul-22T18:56:58 +0000,2120882099848,PRgER,4062034614003,6674401589886,4200372163464
2,5265355253409,7783182575001,3563664618168,85320918497329,48IEDBTTRRTDRKSBACZO,1440,2022-Jul-22T18:56:58 +0000,9501060792154,RDZPg,5265355253409,7783182575001,3432582416909
2,4062034614003,9766880949224,3563664618168,21086982281145,22GJAYTSJKWHZD,2132,2022-Jul-22T18:56:58 +0000,3982021447130,ntuFq,4062034614003,9766880949224,1009884269290
2,7438227295471,6674401589886,3563664618168,31220159301512,99NJQNWYGIMPXGYENH,3286,2022-Jul-22T18:56:58 +0000,2036723010107,rOKgm,7438227295471,6674401589886,1009884269290
2,5265355253409,9766880949224,0595812457973,60166200886108,1010NDEW,9502,2022-Jul-22T18:56:58 +0000,4261246101549,qOwJP,5265355253409,9766880949224,1009884269290
2,5265355253409,7783182575001,0595812457973,35312471190074,98AKIDBHIOVIEEEWGEOIPGI,9312,2022-Jul-22T18:56:58 +0000,2270304756645,ASAIS,5265355253409,7783182575001,3432582416909
2,7438227295471,9766880949224,7163046123159,84414464575976,20PATBCZFQTFRC,9414,2022-Jul-22T18:56:58 +0000,4556449356882,gOFDj,7438227295471,9766880949224,3432582416909
2,5265355253409,7783182575001,7163046123159,00880295597834,100DCTDD,1686,2022-Jul-22T18:56:58 +0000,7298340305263,EdDQs,5265355253409,7783182575001,3432582416909
2,7438227295471,7783182575001,3563664618168,46533918484267,89QN,3616,2022-Jul-22T18:56:58 +0000,5681118809362,QjHwA,7438227295471,7783182575001,3432582416909
2,4062034614003,7783182575001,7163046123159,53409844499939,48DXVFASYMHTDLPCYMI,5336,2022-Jul-22T18:56:58 +0000,9633032252399,WBarP,4062034614003,7783182575001,3432582416909
2,5265355253409,9766880949224,3563664618168,90072095541003,53CUNHTRJXM,6460,2022-Jul-22T18:56:58 +0000,9131111497447,rNDly,5265355253409,9766880949224,3432582416909
2,4062034614003,6674401589886,3563664618168,20892241390800,80ZDJZBNO,1464,2022-Jul-22T18:56:58 +0000,6345270804506,bdVkR,4062034614003,6674401589886,4200372163464
2,7438227295471,6674401589886,7163046123159,69326680726064,73BTSZ,6764,2022-Jul-22T18:56:58 +0000,8274065503482,YBaWi,7438227295471,6674401589886,4200372163464
2,4062034614003,6674401589886,3563664618168,29978644700714,30WSEMNHLLNUS,3365,2022-Jul-22T18:56:58 +0000,5064824605161,BdUGU,4062034614003,6674401589886,3432582416909
2,4062034614003,6674401589886,7163046123159,40152319542784,57VN,3942,2022-Jul-22T18:56:58 +0000,4731467943299,SiMEE,4062034614003,6674401589886,3432582416909
