event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,weight,event_time,destination_gln,departure_gln,temperature,generator_gln,last_pi_gln,next_pi_gln
3,9318857676381,6207485606225,5370420736570,4414783760806,00452776718048,104AFOGOKQVWWOKQZDTDQ,2803,2022-Jul-25T18:25:08 +0000,9567329406136,9118415473182,-6.3,5370420736570,7614413731170,6207485606225
3,9318857676381,6207485606225,7606296226772,5898003391256,35207656690215,92PPHWENQUZGXWBWMUJIXI,9686,2022-Jul-25T18:25:08 +0000,6813798384895,5271454732833,-4.2,7606296226772,2610293866714,6207485606225
3,9318857676381,6207485606225,5432439642397,1957588728054,92824669888012,54ODLEEOFSHRGGYLFZANF,7968,2022-Jul-25T18:25:08 +0000,3540488235694,1860934023065,-0.4,5432439642397,8917349785355,6207485606225
3,1140994637529,6207485606225,5432439642397,5782771963360,08089583147043,102K,5682,2022-Jul-25T18:25:08 +0000,7941201144155,1973518032909,-6.7,5432439642397,7614413731170,6207485606225
3,9318857676381,9904055570343,5432439642397,7222891428349,38405055874933,99YESIC,6442,2022-Jul-25T18:25:08 +0000,6353591528381,3318132060818,-3.9,5432439642397,8917349785355,9904055570343
3,3910116583423,6207485606225,5370420736570,0951439068124,53963135335135,71JGGMYOZXBJVP,1981,2022-Jul-25T18:25:08 +0000,0430489104685,1280042644275,-0.5,5370420736570,2610293866714,6207485606225
3,9318857676381,6207485606225,5432439642397,3539456564928,07311666225678,15ILIJCZETYHL,9292,2022-Jul-25T18:25:08 +0000,8306820921832,8119136804877,-2.2,5432439642397,2610293866714,6207485606225
3,3910116583423,9904055570343,7606296226772,6671750148980,08103311352768,25ZOJCOTTLYRTCSNON,8656,2022-Jul-25T18:25:08 +0000,7692489076200,4103650214431,-4.8,7606296226772,7614413731170,9904055570343
3,3910116583423,9904055570343,7606296226772,9895255479187,54998993317313,98ZCTHYCLSYXT,6570,2022-Jul-25T18:25:08 +0000,9682553349901,3872840990734,-6.5,7606296226772,2610293866714,9904055570343
3,9318857676381,4376162108862,5370420736570,3520339855312,17226731637338,27LL,6281,2022-Jul-25T18:25:08 +0000,2098140619669,3108673830729,-1.4,5370420736570,2610293866714,4376162108862
3,9318857676381,4376162108862,7606296226772,6409287428535,24178265742954,36REYJRP,1964,2022-Jul-25T18:25:08 +0000,0989064707842,2081676084030,-1.7,7606296226772,8917349785355,4376162108862
3,9318857676381,6207485606225,7606296226772,2600512099419,84981573282864,104JLPOPGUZYXLWJC,8070,2022-Jul-25T18:25:08 +0000,1512630981001,5953366902056,-5.4,7606296226772,2610293866714,6207485606225
3,9318857676381,6207485606225,7606296226772,2427388990259,02119129428249,410XKPQMZMYUTILJXKOYY,9894,2022-Jul-25T18:25:08 +0000,2830112050795,1612446471607,-3.2,7606296226772,7614413731170,6207485606225
3,3910116583423,6207485606225,5370420736570,8428125210789,02417741675716,110RJTDGG,6196,2022-Jul-25T18:25:08 +0000,8840489573129,1349056841960,-3.7,5370420736570,2610293866714,6207485606225
3,1140994637529,4376162108862,5370420736570,8146184364637,35390049303698,14IPACQEZWJXHQWI,2460,2022-Jul-25T18:25:08 +0000,1563274569897,2037863031889,-9.4,5370420736570,7614413731170,4376162108862
3,1140994637529,9904055570343,5432439642397,2454857022273,88220638203286,82UFWEKDPKIYOW,8357,2022-Jul-25T18:25:08 +0000,0243087636466,8963269266403,-5.0,5432439642397,8917349785355,9904055570343
3,9318857676381,6207485606225,5432439642397,1340019903575,65389520365735,30PNZQRU,8003,2022-Jul-25T18:25:08 +0000,8912000437438,2065386611315,-3.9,5432439642397,7614413731170,6207485606225
3,9318857676381,9904055570343,5370420736570,5845500671230,55000499933507,89VMMHYPWKUJNICDMC,8701,2022-Jul-25T18:25:08 +0000,3297903808464,4238779095656,-8.9,5370420736570,7614413731170,9904055570343
3,9318857676381,6207485606225,5370420736570,2967052203383,28542331644663,97FEUHK,2074,2022-Jul-25T18:25:08 +0000,1920135805206,7544460128605,-2.8,5370420736570,8917349785355,6207485606225
3,9318857676381,9904055570343,5370420736570,7788989122840,73627271305069,31SPXZAGRQITUAY,2204,2022-Jul-25T18:25:08 +0000,2678955024370,4370041479525,-2.7,5370420736570,8917349785355,9904055570343
