event_type,factory_gln,input_gtin,output_gtin,serial_number,quantity,event_time,location_gln,brand_name,product_method,ingredient_statement,storage_state,expiration_date,generator_gln,last_pi_gln,next_pi_gln
4,4535484276475,['40998392297300'],"['93217004472792', '71730511606143']",73ZFL,200,2022-Jul-26T17:59:49 +0000,4271610450397,IUTdSHokqq,Yge,ukonWTOqMhdPumrforDA,PREVIOUSLY_FROZEN,2022-09-23,4535484276475,['4535484276475'],4535484276475
4,4535484276475,['12147946268572'],"['21289272961359', '06503641895215']",07XRJGVVKJOKKQNUOONBVNX,406,2022-Jul-26T17:59:49 +0000,7871147575597,ajIxsruDEp,naS,fhsqyOOZQBlYfdtcVMsS,PREVIOUSLY_FROZEN,2022-09-23,4535484276475,['9392322863664'],4535484276475
4,4535484276475,['29288973315557'],"['62003342677704', '70921616015816']",56VPKMCZMRBRCX,240,2022-Jul-26T17:59:49 +0000,5466205663130,IfBWMmiYss,Hht,dICxTdgwEJcICVHdlyuz,PREVIOUSLY_FROZEN,2022-09-23,4535484276475,['9392322863664'],4535484276475
4,4535484276475,['07221552861236'],"['19002965342131', '99812553410053']",86BYHDXDVUFDDFQJTO,144,2022-Jul-26T17:59:49 +0000,9961429947438,WaMALgTKgJ,wRF,gWNMlSckVuvzIrnGILWn,PREVIOUSLY_FROZEN,2022-09-23,4535484276475,['4535484276475'],4535484276475
4,6203601916292,['58899892302568'],"['89015951695604', '48954369858264']",17HRUSRITMBTEZUM,144,2022-Jul-26T17:59:49 +0000,6354960033062,keedNOBhFD,NmJ,UJmoTqaVhwkDWupNJOrZ,PREVIOUSLY_FROZEN,2022-09-23,6203601916292,['6203601916292'],6203601916292
4,6203601916292,['31108972008226'],"['53302017247042', '57077920525218']",62CSYRPTXTAPIPFWBTKXU,289,2022-Jul-26T17:59:49 +0000,6108817474507,eYBpAsdyIG,itD,kqulVUwLZsvZJLSJmRmb,PREVIOUSLY_FROZEN,2022-09-23,6203601916292,['4535484276475'],6203601916292
4,6203601916292,['15293325845268'],"['88678352221534', '70607864697482']",310HVELFCYRNVERXSKVPWGZW,254,2022-Jul-26T17:59:49 +0000,9842610530303,vZoZKucJYk,FWR,RVckovFLeCfatTErRBYo,PREVIOUSLY_FROZEN,2022-09-23,6203601916292,['9392322863664'],6203601916292
4,9392322863664,['68387941295924'],"['53699509522580', '11723320259615']",103ZPRAZOWCVKNMJQQ,303,2022-Jul-26T17:59:49 +0000,8744379800025,GJMnNWDAqV,owM,SiBcXRXZvUIseaQTypwH,PREVIOUSLY_FROZEN,2022-09-23,9392322863664,['9392322863664'],9392322863664
4,9392322863664,['39441839576113'],"['56449769046127', '74437803230845']",86KXOVLEACBFXUVWMHXMHB,343,2022-Jul-26T17:59:49 +0000,7800322818546,NgwCPCtBtT,dOU,gPkZZZIdwmuEZPpTqPOw,PREVIOUSLY_FROZEN,2022-09-23,9392322863664,['9392322863664'],9392322863664
4,6203601916292,['27782271265412'],"['26604208458627', '08902088774241']",48HFHMTRHCMNIQGW,249,2022-Jul-26T17:59:49 +0000,7530333377528,oyZJukPDMD,sgA,dDDfqfYrGgvjiyUEmbWx,PREVIOUSLY_FROZEN,2022-09-23,6203601916292,['9392322863664'],6203601916292
