event_type,generator_gln,input_gtin,output_gtin,serial_number,quantity,event_time,location_gln,net_contain,packing_type_code,packing_material,recycling_process_type,last_pi_gln,next_pi_gln
5,7163046123159,81963865839995,80063100791856,107EHMMPDZPNFVLBAHNJJ,106,2022-Jul-27T18:56:58 +0000,3110462813342,7,vIg,PLASTIC_THERMOPLASTICS,Recyclable,,
5,7163046123159,75487595233045,08008204335870,40MTSYACP,103,2022-Jul-27T18:56:58 +0000,0045928022065,5,SjU,PLASTIC_THERMOPLASTICS,Recyclable,7163046123159,7163046123159
5,7163046123159,62136603241838,51744349434005,75OHDW,28,2022-Jul-27T18:56:58 +0000,2700788984178,1,KxT,PLASTIC_THERMOPLASTICS,Recyclable,,
5,7163046123159,18318900869889,65739150894501,49Q,30,2022-Jul-27T18:56:58 +0000,7428682948608,2,qMo,PLASTIC_THERMOPLASTICS,Recyclable,7163046123159,7163046123159
5,3563664618168,90229651138007,63149982222094,710QW,54,2022-Jul-27T18:56:58 +0000,7159491600519,8,UTy,PLASTIC_THERMOPLASTICS,Recyclable,,
5,3563664618168,70842272072552,68724470989700,46UHVQIVGAVZWZS,96,2022-Jul-27T18:56:58 +0000,8543145757723,9,RRF,PLASTIC_THERMOPLASTICS,Recyclable,3563664618168,3563664618168
5,7163046123159,51858100084650,44178453414249,48QTKAFRQH,69,2022-Jul-27T18:56:58 +0000,6747762913861,0,ZNk,PLASTIC_THERMOPLASTICS,Recyclable,,
5,7163046123159,98404286281537,66507999418532,34BLXJAJYCWGFEPYPNPZC,49,2022-Jul-27T18:56:58 +0000,3905931028415,0,QPS,PLASTIC_THERMOPLASTICS,Recyclable,7163046123159,7163046123159
5,0595812457973,65274164841331,09104596581326,104SMZYNGHMDZZGUZ,67,2022-Jul-27T18:56:58 +0000,0865609912153,1,RCe,PLASTIC_THERMOPLASTICS,Recyclable,,
5,0595812457973,71367625637864,07426430118612,17JPXTSQG,78,2022-Jul-27T18:56:58 +0000,2386091203379,2,GbN,PLASTIC_THERMOPLASTICS,Recyclable,0595812457973,0595812457973
5,3563664618168,40885562669817,40714803975584,59WUJLIEXBPUJB,55,2022-Jul-27T18:56:58 +0000,0508321159876,2,vRB,PLASTIC_THERMOPLASTICS,Recyclable,,
5,3563664618168,61745253426178,55890814377995,87UOZ,124,2022-Jul-27T18:56:58 +0000,6223863490601,6,SDW,PLASTIC_THERMOPLASTICS,Recyclable,3563664618168,3563664618168
5,3563664618168,69524173182065,14169936751495,23HQULVMDMBZNCWYFRJGB,79,2022-Jul-27T18:56:58 +0000,9347124006900,1,UNm,PLASTIC_THERMOPLASTICS,Recyclable,,
5,3563664618168,53452761761386,00107469420375,90MAGOCGDELZNCTNV,39,2022-Jul-27T18:56:58 +0000,6729603246712,1,wDM,PLASTIC_THERMOPLASTICS,Recyclable,3563664618168,3563664618168
5,3563664618168,09942117879093,92891114057775,55EAIAYQPJXPSTPVXUXFQML,55,2022-Jul-27T18:56:58 +0000,5286791608100,5,KRo,PLASTIC_THERMOPLASTICS,Recyclable,,
5,3563664618168,04183581265772,20427697497433,42ZQJXRZDFNVRPG,26,2022-Jul-27T18:56:58 +0000,7958161429202,7,pEj,PLASTIC_THERMOPLASTICS,Recyclable,3563664618168,3563664618168
5,3563664618168,74713393529609,90328135669878,55XAKMJVKAMOYKRYSAMIM,52,2022-Jul-27T18:56:58 +0000,9566091498703,8,DdJ,PLASTIC_THERMOPLASTICS,Recyclable,,
5,3563664618168,98641030875374,78268641334133,96MZJCOOWRUKXB,38,2022-Jul-27T18:56:58 +0000,5300268667364,7,HlM,PLASTIC_THERMOPLASTICS,Recyclable,3563664618168,3563664618168
5,0595812457973,96137069400991,99820851226876,80CGVRZCSCSIN,104,2022-Jul-27T18:56:58 +0000,6903198222723,5,mON,PLASTIC_THERMOPLASTICS,Recyclable,,
5,0595812457973,95953224153281,45733470214260,74LMZRWMNWGJBWSTTRHPQ,104,2022-Jul-27T18:56:58 +0000,5833004212972,6,QaY,PLASTIC_THERMOPLASTICS,Recyclable,0595812457973,0595812457973
5,0595812457973,20273884679917,84728276182024,106JIZEBXW,93,2022-Jul-27T18:56:58 +0000,0358101022692,0,Zxw,PLASTIC_THERMOPLASTICS,Recyclable,,
5,0595812457973,21726766757553,46901671125500,62HYZUHJAOMBQDHB,125,2022-Jul-27T18:56:58 +0000,0707403314513,9,HuI,PLASTIC_THERMOPLASTICS,Recyclable,0595812457973,0595812457973
5,7163046123159,92466521263479,05707963563818,66RHSLQXAOHH,25,2022-Jul-27T18:56:58 +0000,8596379804777,2,qlh,PLASTIC_THERMOPLASTICS,Recyclable,,
5,7163046123159,25621911456800,38800861234619,100RQZICCCFBVAPVXHLPCJDB,81,2022-Jul-27T18:56:58 +0000,1504927123468,7,etw,PLASTIC_THERMOPLASTICS,Recyclable,7163046123159,7163046123159
5,7163046123159,06327986553336,13389697208550,910LJQHOWXZISRDHMSOHUG,84,2022-Jul-27T18:56:58 +0000,8345392327438,6,zsm,PLASTIC_THERMOPLASTICS,Recyclable,,
5,7163046123159,93887869586986,32951688965388,73WMHPH,72,2022-Jul-27T18:56:58 +0000,1874878030806,4,EkP,PLASTIC_THERMOPLASTICS,Recyclable,7163046123159,7163046123159
5,3563664618168,02861874972749,45030245834845,14PZGI,124,2022-Jul-27T18:56:58 +0000,5654123033680,8,spn,PLASTIC_THERMOPLASTICS,Recyclable,,
5,3563664618168,92793792070631,09111234607871,39IEQ,65,2022-Jul-27T18:56:58 +0000,4262210277546,2,RQs,PLASTIC_THERMOPLASTICS,Recyclable,3563664618168,3563664618168
5,7163046123159,72359465032729,63129339841030,1010CVB,50,2022-Jul-27T18:56:58 +0000,9601975236902,7,MlV,PLASTIC_THERMOPLASTICS,Recyclable,,
5,7163046123159,36190678433304,18849208738473,57GUXQSFESS,34,2022-Jul-27T18:56:58 +0000,7506046040832,3,XFJ,PLASTIC_THERMOPLASTICS,Recyclable,7163046123159,7163046123159
5,3563664618168,70142503091426,08476271723532,210KJAJ,100,2022-Jul-27T18:56:58 +0000,7761636392472,1,XJX,PLASTIC_THERMOPLASTICS,Recyclable,,
5,3563664618168,22590217123993,99389755011438,29LF,116,2022-Jul-27T18:56:58 +0000,8673492872334,7,esm,PLASTIC_THERMOPLASTICS,Recyclable,3563664618168,3563664618168
5,3563664618168,51927498793412,48030504106227,30NFWGFZUYYWGJDWVBDI,85,2022-Jul-27T18:56:58 +0000,8453731501976,5,oNw,PLASTIC_THERMOPLASTICS,Recyclable,,
