event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,quantity,event_time,destination_gln,departure_gln,weight,temperature,generator_gln,last_pi_gln,next_pi_gln
6,7163046123159,4718583282593,1009884269290,6748232781904,80063100791856,107EHMMPDZPNFVLBAHNJJ,106,2022-Jul-28T18:56:58 +0000,6708669837177,3282621777441,21.4,-2.4,7163046123159,7163046123159,1009884269290
6,7163046123159,1791360629402,3432582416909,2265634377854,08008204335870,40MTSYACP,103,2022-Jul-28T18:56:58 +0000,8731104483856,9767453461551,78.6,-8.0,7163046123159,7163046123159,3432582416909
6,7163046123159,3434103013680,1009884269290,9318674373832,51744349434005,75OHDW,28,2022-Jul-28T18:56:58 +0000,6937619327491,0658237530308,13.6,-6.3,7163046123159,7163046123159,1009884269290
6,7163046123159,3434103013680,3432582416909,5874670186416,65739150894501,49Q,30,2022-Jul-28T18:56:58 +0000,7410890011967,0862898029017,55.3,-9.8,7163046123159,7163046123159,3432582416909
6,3563664618168,1791360629402,3432582416909,8674755682873,63149982222094,710QW,54,2022-Jul-28T18:56:58 +0000,7093519452641,8280998706087,40.1,-6.0,3563664618168,3563664618168,3432582416909
6,3563664618168,3434103013680,1009884269290,9027370680091,68724470989700,46UHVQIVGAVZWZS,96,2022-Jul-28T18:56:58 +0000,7284576196455,0096648575022,78.9,-4.7,3563664618168,3563664618168,1009884269290
6,7163046123159,4718583282593,3432582416909,6552668449278,44178453414249,48QTKAFRQH,69,2022-Jul-28T18:56:58 +0000,1608385005977,3029569532268,86.7,-1.0,7163046123159,7163046123159,3432582416909
6,7163046123159,1791360629402,3432582416909,0521048253255,66507999418532,34BLXJAJYCWGFEPYPNPZC,49,2022-Jul-28T18:56:58 +0000,7324526648795,2632564632570,20.7,-5.0,7163046123159,7163046123159,3432582416909
6,0595812457973,1791360629402,3432582416909,8098946497154,09104596581326,104SMZYNGHMDZZGUZ,67,2022-Jul-28T18:56:58 +0000,9498461699118,6780192261168,67.8,-8.2,0595812457973,0595812457973,3432582416909
6,0595812457973,3434103013680,4200372163464,3032277564626,07426430118612,17JPXTSQG,78,2022-Jul-28T18:56:58 +0000,1185013590049,1679945587272,86.8,-1.5,0595812457973,0595812457973,4200372163464
