event_type,retailer_gln,gtin,serial_number,quantity,event_time,location_gln,price,generator_gln,last_pi_gln
7,7736834431450,67458849221808,103SIVFXLVDLG,1,2022-Aug-01T18:25:08 +0000,5439274779713,32.59,7736834431450,7736834431450
7,7725020081512,85172531867284,910BOWNJQJ,1,2022-Aug-01T18:25:08 +0000,5581140312627,25.79,7725020081512,7725020081512
7,2308412172368,84897863868725,106VQHNRCGV,1,2022-Aug-01T18:25:08 +0000,4633218155649,11.87,2308412172368,2308412172368
7,7725020081512,44481270446279,38YZPFTDJJXSRWMYQ,1,2022-Aug-01T18:25:08 +0000,2015008581417,40.77,7725020081512,7725020081512
7,7736834431450,74255860647093,32MYUDBV,1,2022-Aug-01T18:25:08 +0000,9084496066383,16.44,7736834431450,7736834431450
7,7725020081512,19560609398347,101JXSADVLWXHBJJSLMW,1,2022-Aug-01T18:25:08 +0000,2224795099639,9.01,7725020081512,7725020081512
7,7736834431450,87862391242993,310LLEHQTMAUH,1,2022-Aug-01T18:25:08 +0000,2724763712205,3.71,7736834431450,7736834431450
7,7725020081512,55508577855439,610HMIAELHRVMOZCGJFV,1,2022-Aug-01T18:25:08 +0000,7901807219656,24.49,7725020081512,7725020081512
7,7736834431450,48865080497962,60WZTMAOZSXXLRXVHGEHOG,1,2022-Aug-01T18:25:08 +0000,1653960915587,10.22,7736834431450,7736834431450
7,2308412172368,08745822145631,85WDENAYR,1,2022-Aug-01T18:25:08 +0000,1105829630099,30.72,2308412172368,2308412172368
7,7725020081512,64317375078633,90ZLMLIKBLFFGBPMPVATN,1,2022-Aug-01T18:25:08 +0000,1849894359050,12.16,7725020081512,7725020081512
7,7725020081512,82459881004752,69BYJDYNGYCGWPAYJCPFS,1,2022-Aug-01T18:25:08 +0000,4908167982741,35.02,7725020081512,7725020081512
7,7725020081512,36274338127374,44HSLRDZCWAV,1,2022-Aug-01T18:25:08 +0000,9545681116587,28.51,7725020081512,7725020081512
7,7725020081512,69049854570753,17VPHOZET,1,2022-Aug-01T18:25:08 +0000,5517793414210,45.78,7725020081512,7725020081512
7,2308412172368,37324389685453,77UFZRL,1,2022-Aug-01T18:25:08 +0000,7646723181065,36.16,2308412172368,2308412172368
7,7725020081512,04620783869956,107UUTAILHCFCZGHOJKK,1,2022-Aug-01T18:25:08 +0000,6752785512959,36.22,7725020081512,7725020081512
7,7725020081512,80878712634334,00REUNVR,1,2022-Aug-01T18:25:08 +0000,8206323172206,3.48,7725020081512,7725020081512
7,2308412172368,60255744179112,68SBNRBSKHBWXWQSLEKMOGB,1,2022-Aug-01T18:25:08 +0000,2848412157151,19.82,2308412172368,2308412172368
7,2308412172368,84315446152115,52VBJVRONASTFWA,1,2022-Aug-01T18:25:08 +0000,2143991343947,39.29,2308412172368,2308412172368
7,7725020081512,55573501437652,08K,1,2022-Aug-01T18:25:08 +0000,3216555945301,25.12,7725020081512,7725020081512
7,7725020081512,87211553530364,88YMLRWRDLUFUDZ,1,2022-Aug-01T18:25:08 +0000,5756795183106,35.03,7725020081512,7725020081512
