event_type,vessel_gln,gtin,serial_number,weight,event_time,location_gln,catch_date,vessal_owner_name,species,economic_zone,first_freeze_date,catch_certificate_id,conservation_reference_size,catch_area,generator_gln,next_pi_gln
1,7816138769105,92038770113051,93SKXPUKYSQYWKPZZ,0,2022-Jul-21T09:58:39 +0000,0689032945749,2022-Jul-21,jpOZozp,fhAfG,4259349632765,2022-Jul-21,57128573720089,21cm,1157053287801,7816138769105,1030440439686
1,8387597826617,30131578101690,810WHZNKYTYPVTLNQSWLYDJL,0,2022-Jul-21T09:58:39 +0000,7603725527090,2022-Jul-21,qcryWUb,iOYsM,2285521503420,2022-Jul-21,58626207056215,17cm,2278595806348,8387597826617,3169486688534
1,8286052121863,73588914626270,14H,0,2022-Jul-21T09:58:39 +0000,9024262318286,2022-Jul-21,VXnxYYe,DUwmB,3644007956339,2022-Jul-21,06391992200510,20cm,5721996418848,8286052121863,3169486688534
1,8387597826617,61475911367981,59DYICGLENBXCNMSVKCLVH,0,2022-Jul-21T09:58:39 +0000,8329636056675,2022-Jul-21,dUtqKYS,tdPtv,5514550320776,2022-Jul-21,43004645917742,16cm,4751398785824,8387597826617,1030440439686
1,8286052121863,12282748272322,108EQQAFPKJFD,0,2022-Jul-21T09:58:39 +0000,9590149858461,2022-Jul-21,IAgePjo,FDmqN,2528312635996,2022-Jul-21,57186449196145,34cm,5782987109954,8286052121863,8446515984967
1,8387597826617,44446570127067,68DRONZEIBGOQ,0,2022-Jul-21T09:58:39 +0000,9750331066704,2022-Jul-21,KCwDffo,gkokB,8093565770122,2022-Jul-21,42480974372391,10cm,0381081078114,8387597826617,8446515984967
1,7816138769105,59731437062754,62KSPCVYSMYFMEJ,0,2022-Jul-21T09:58:39 +0000,1322749050638,2022-Jul-21,IvLXLmo,zgKWv,2956638665305,2022-Jul-21,12863652858390,42cm,8645719867627,7816138769105,8446515984967
1,7816138769105,74006728493318,66ODDUBBRCNBROKC,0,2022-Jul-21T09:58:39 +0000,8843598259093,2022-Jul-21,JKfgLiS,rByLq,2959726518424,2022-Jul-21,07214483173309,50cm,1234890658932,7816138769105,1030440439686
1,8286052121863,19159514710893,45MNSUV,0,2022-Jul-21T09:58:39 +0000,0655574970824,2022-Jul-21,OeSwOxq,TFXWm,2357790155992,2022-Jul-21,20944082586442,30cm,4945804912251,8286052121863,8446515984967
1,8286052121863,68965585791836,17SPISXKHN,0,2022-Jul-21T09:58:39 +0000,9818559139385,2022-Jul-21,PJRAkoV,mPgIk,3998527059863,2022-Jul-21,48833204668914,13cm,5262389429272,8286052121863,8446515984967
1,8286052121863,98740116855179,39DJYXREMLIAIYCAKJAAFUI,0,2022-Jul-21T09:58:39 +0000,4570397391564,2022-Jul-21,xDDOfcK,TddiU,4580653620352,2022-Jul-21,56315587287959,42cm,0751545606611,8286052121863,1030440439686
1,7816138769105,09769923572596,22PQJIXJ,0,2022-Jul-21T09:58:39 +0000,1157653379573,2022-Jul-21,zBTiRGc,wqSYa,8838989445810,2022-Jul-21,74249268335027,42cm,0615784591770,7816138769105,3169486688534
1,8286052121863,08580001836891,10AVVBFTQEICCEZFDVVKHXJ,0,2022-Jul-21T09:58:39 +0000,7497927255108,2022-Jul-21,WLMuxaV,aElvU,5758575671125,2022-Jul-21,24158559185373,21cm,7358131787967,8286052121863,3169486688534
1,8286052121863,85304624398792,41XERHMXQEMGUBTB,0,2022-Jul-21T09:58:39 +0000,5309481271065,2022-Jul-21,dmbfcAZ,GTQIa,3972358830360,2022-Jul-21,48163509900625,26cm,4753622960454,8286052121863,1030440439686
1,7816138769105,63899997601628,61YUHOMDRHLDBCRKUIWPJNY,0,2022-Jul-21T09:58:39 +0000,7979697662258,2022-Jul-21,LLLfyWn,aSHeb,4538064748983,2022-Jul-21,93745475284817,23cm,7327399973763,7816138769105,8446515984967
1,7816138769105,51477291350304,15QKUUNVAJPUSARVGWSU,0,2022-Jul-21T09:58:39 +0000,7537193084036,2022-Jul-21,jqzgyDT,pjFEs,2957112362406,2022-Jul-21,09918402921567,21cm,6628626502698,7816138769105,1030440439686
1,8286052121863,45606635792637,20UZMHVZMPAZ,0,2022-Jul-21T09:58:39 +0000,1630915773119,2022-Jul-21,OcqpFJH,oFrmu,2566389533816,2022-Jul-21,48221153130899,13cm,9845508974378,8286052121863,3169486688534
1,8286052121863,26662726920869,72VIC,0,2022-Jul-21T09:58:39 +0000,2450719995013,2022-Jul-21,RmfWACI,vSQdA,3158758914381,2022-Jul-21,28640528329987,34cm,3181954466497,8286052121863,3169486688534
1,8286052121863,11729339041693,103REGWH,0,2022-Jul-21T09:58:39 +0000,3076253749774,2022-Jul-21,sTnygQv,OLOEM,6908118546304,2022-Jul-21,57863117484761,13cm,9517198701068,8286052121863,8446515984967
1,7816138769105,70957057643329,010NQTMXNEOENE,0,2022-Jul-21T09:58:39 +0000,5655411153917,2022-Jul-21,jiBYLNz,YPjpi,9315741515979,2022-Jul-21,29419228330680,25cm,6297022664946,7816138769105,8446515984967
