event_type,auction_gln,supplier_gln,customer_gln,gtin,serial_number,weight,event_time,location_gln,product_name,generator_gln,last_pi_gln,next_pi_gln
2,2110877097750,9442584865453,9101765958668,18373746622054,56HVGXIVHVE,4882,2022-Jul-24T18:25:44 +0000,5044356771598,qdUcj,2110877097750,9442584865453,8744172634979
2,6966061550280,9442584865453,9101765958668,89692798970596,03TUSZBWPVNLLKZTPZF,7196,2022-Jul-24T18:25:44 +0000,5168985114867,cMHhO,6966061550280,9442584865453,8744172634979
2,6966061550280,1688497034163,2180739406573,77114059734477,98MDVEAIIVWSAVGARNTVOV,2748,2022-Jul-24T18:25:44 +0000,5225347822761,MSWCP,6966061550280,1688497034163,6166179587951
2,2110877097750,1688497034163,2180739406573,52761012875987,98ZMBFQMO,1334,2022-Jul-24T18:25:44 +0000,1284553756601,UsSTp,2110877097750,1688497034163,8744172634979
2,6499282631022,9442584865453,2906061428893,63945407249398,52RJQEHCKFCHUBESS,4173,2022-Jul-24T18:25:44 +0000,8280931823177,bfNFz,6499282631022,9442584865453,6166179587951
2,6499282631022,1688497034163,2180739406573,92123222583312,101GRYJSVHGCRCHOE,6766,2022-Jul-24T18:25:44 +0000,6706265743369,ZomGT,6499282631022,1688497034163,5813657429496
2,6966061550280,1688497034163,9101765958668,32043661686175,91PBI,1757,2022-Jul-24T18:25:44 +0000,2455602163186,QrqrI,6966061550280,1688497034163,5813657429496
2,6499282631022,1688497034163,2906061428893,85896883441743,53QVDROELRVAFPU,2829,2022-Jul-24T18:25:44 +0000,6620244638312,kWXZo,6499282631022,1688497034163,5813657429496
2,6966061550280,9442584865453,2906061428893,72224376221438,97XLKRJ,609,2022-Jul-24T18:25:44 +0000,2351933636613,vrSpG,6966061550280,9442584865453,8744172634979
2,6499282631022,1688497034163,9101765958668,52329888620859,57JSXJBHRNMEOOAOWYXTD,7531,2022-Jul-24T18:25:44 +0000,2754215010205,aIYzW,6499282631022,1688497034163,5813657429496
2,6966061550280,6955346565440,2180739406573,64794136121827,54ULPIKQSYCEYXTUBH,7260,2022-Jul-24T18:25:44 +0000,3930426056973,NHCMe,6966061550280,6955346565440,8744172634979
2,6499282631022,6955346565440,2906061428893,78309409894445,19CKRIBHX,1619,2022-Jul-24T18:25:44 +0000,7509317670356,ytgmb,6499282631022,6955346565440,8744172634979
2,6966061550280,6955346565440,2906061428893,47596286591342,88DFIQAOZBKH,7775,2022-Jul-24T18:25:44 +0000,4815192718512,mkRyV,6966061550280,6955346565440,5813657429496
2,6966061550280,6955346565440,2906061428893,67800355004391,15KIKYZZHUBQKDEIECZWN,7892,2022-Jul-24T18:25:44 +0000,5331568304390,pvgLR,6966061550280,6955346565440,6166179587951
2,2110877097750,9442584865453,2906061428893,80218735186521,103JCWBCGBKDIOULOU,3189,2022-Jul-24T18:25:44 +0000,3842690778486,Jdhex,2110877097750,9442584865453,6166179587951
2,2110877097750,6955346565440,2906061428893,86347995857853,102HSECFTJFOPBO,5512,2022-Jul-24T18:25:44 +0000,2641947431823,SsIHF,2110877097750,6955346565440,8744172634979
2,2110877097750,9442584865453,2180739406573,12673379479447,22XNXCCPQAMCF,2398,2022-Jul-24T18:25:44 +0000,1540146043230,rejuS,2110877097750,9442584865453,8744172634979
2,6499282631022,6955346565440,2906061428893,73033955774635,94GSOXKCYNQG,8085,2022-Jul-24T18:25:44 +0000,7170504122723,PDBWI,6499282631022,6955346565440,6166179587951
2,2110877097750,9442584865453,2180739406573,54462107138416,07SJQURR,5325,2022-Jul-24T18:25:44 +0000,6100889551537,TYotv,2110877097750,9442584865453,6166179587951
2,6499282631022,9442584865453,9101765958668,99471443870196,68OTAMZVCSKQYXBILDABWAL,4889,2022-Jul-24T18:25:44 +0000,6194965135842,mNQFk,6499282631022,9442584865453,6166179587951
