event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,weight,event_time,destination_gln,departure_gln,temperature,generator_gln,last_pi_gln,next_pi_gln
3,9282767904044,2438270417434,8022895354263,4584553827037,51151522065273,89LGULYMZAMMOZTGMJB,4273,2022-Jul-25T18:56:01 +0000,4764429620055,3486096162092,-9.3,8022895354263,9282767904044,2438270417434
3,9282767904044,4639227059128,8022895354263,1519326925207,51151522065273,89LGULYMZAMMOZTGMJB,4273,2022-Jul-25T18:56:01 +0000,6830476427204,1507019735602,-9.0,8022895354263,9282767904044,4639227059128
3,6528646315041,4639227059128,9980339591441,0199990825071,89044134804551,39TSZYMJWDRUUGAWXLEYW,4196,2022-Jul-25T18:56:01 +0000,2208987214368,6618048419632,-9.0,9980339591441,6528646315041,4639227059128
3,6528646315041,8571442453600,9980339591441,7454699464734,89044134804551,39TSZYMJWDRUUGAWXLEYW,4196,2022-Jul-25T18:56:01 +0000,0377389454135,1161778277413,-6.6,9980339591441,6528646315041,8571442453600
3,9282767904044,4639227059128,8022895354263,1065936422955,73294017132888,74FYSEPBW,1889,2022-Jul-25T18:56:01 +0000,9488840657370,1858061817158,-0.1,8022895354263,9282767904044,4639227059128
3,9282767904044,4639227059128,8022895354263,3589565064775,73294017132888,74FYSEPBW,1889,2022-Jul-25T18:56:01 +0000,0177100247856,1868976269210,-2.4,8022895354263,9282767904044,4639227059128
3,6528646315041,4639227059128,9980339591441,6772635006193,02908114388879,410XGTHLRXMIKCUR,2133,2022-Jul-25T18:56:01 +0000,3382625702336,4676223056247,-8.1,9980339591441,6528646315041,4639227059128
3,6528646315041,4639227059128,9980339591441,1115441573486,02908114388879,410XGTHLRXMIKCUR,2133,2022-Jul-25T18:56:01 +0000,5117412794826,2384324692867,-4.1,9980339591441,6528646315041,4639227059128
3,6528646315041,4639227059128,8022895354263,3999871501203,97790562499854,74AQQHBFMRXWLU,2528,2022-Jul-25T18:56:01 +0000,2825108613927,7021859122544,-6.2,8022895354263,6528646315041,4639227059128
3,6528646315041,8571442453600,8022895354263,9245114070071,97790562499854,74AQQHBFMRXWLU,2528,2022-Jul-25T18:56:01 +0000,6332107489652,1699164820740,-8.9,8022895354263,6528646315041,8571442453600
3,9282767904044,4639227059128,7055755872833,6529335612957,93737394230697,88LEWDNWQAMNDGUL,4323,2022-Jul-25T18:56:01 +0000,7021516967231,5683798334563,-1.0,7055755872833,9282767904044,4639227059128
3,9282767904044,4639227059128,7055755872833,7492917170857,93737394230697,88LEWDNWQAMNDGUL,4323,2022-Jul-25T18:56:01 +0000,3369141567192,1560228531293,-5.1,7055755872833,9282767904044,4639227059128
3,3476548818871,4639227059128,7055755872833,7029716037366,16194999402371,22YYATFVCSCPTQPWFCVYZ,569,2022-Jul-25T18:56:01 +0000,9913262271938,8200439576654,-7.3,7055755872833,3476548818871,4639227059128
3,3476548818871,4639227059128,7055755872833,6624555469146,16194999402371,22YYATFVCSCPTQPWFCVYZ,569,2022-Jul-25T18:56:01 +0000,8118309621380,2456751988697,-7.0,7055755872833,3476548818871,4639227059128
3,3476548818871,2438270417434,8022895354263,3242816401555,78649357022648,33XO,3727,2022-Jul-25T18:56:01 +0000,3519149294769,0247076782909,-6.9,8022895354263,3476548818871,2438270417434
3,3476548818871,8571442453600,8022895354263,2339399091715,78649357022648,33XO,3727,2022-Jul-25T18:56:01 +0000,0196072565530,0321859132486,-3.8,8022895354263,3476548818871,8571442453600
3,9282767904044,4639227059128,9980339591441,2022387229057,77662335200423,81WYOONDXEAB,4758,2022-Jul-25T18:56:01 +0000,0137936244051,4391587380655,-7.2,9980339591441,9282767904044,4639227059128
3,9282767904044,2438270417434,9980339591441,5862000701416,77662335200423,81WYOONDXEAB,4758,2022-Jul-25T18:56:01 +0000,4892062981723,6052076034458,-5.0,9980339591441,9282767904044,2438270417434
3,9282767904044,4639227059128,7055755872833,5171383550800,47696475931726,109WJCDDKNP,3984,2022-Jul-25T18:56:01 +0000,5260494526940,8884373482667,-6.0,7055755872833,9282767904044,4639227059128
3,9282767904044,4639227059128,7055755872833,4695647209715,47696475931726,109WJCDDKNP,3984,2022-Jul-25T18:56:01 +0000,9421027305370,4535761812031,-8.9,7055755872833,9282767904044,4639227059128
3,3476548818871,4639227059128,8022895354263,9303710556939,71967692988979,11JXA,982,2022-Jul-25T18:56:01 +0000,4868579786171,3529174795657,-0.0,8022895354263,3476548818871,4639227059128
3,3476548818871,2438270417434,8022895354263,8268075941712,71967692988979,11JXA,982,2022-Jul-25T18:56:01 +0000,6024618530179,7617945177045,-5.3,8022895354263,3476548818871,2438270417434
3,3476548818871,2438270417434,8022895354263,7736384718266,59321149286954,86NXRCEKWFMFPAVHNG,1706,2022-Jul-25T18:56:01 +0000,7668759164010,4391403170401,-4.1,8022895354263,3476548818871,2438270417434
3,3476548818871,2438270417434,8022895354263,1389370140213,59321149286954,86NXRCEKWFMFPAVHNG,1706,2022-Jul-25T18:56:01 +0000,4173946010110,9449107510757,-3.1,8022895354263,3476548818871,2438270417434
3,9282767904044,4639227059128,9980339591441,7263990259023,11532824099936,24GVUOUXCYUDH,2618,2022-Jul-25T18:56:01 +0000,3583200229544,2784432010663,-1.4,9980339591441,9282767904044,4639227059128
3,9282767904044,2438270417434,9980339591441,5818727043003,11532824099936,24GVUOUXCYUDH,2618,2022-Jul-25T18:56:01 +0000,5540892236307,3851520709268,-3.1,9980339591441,9282767904044,2438270417434
3,6528646315041,8571442453600,9980339591441,9645545855298,06106286192280,81QNUXOLYQDWYDZPUPJBWZ,3620,2022-Jul-25T18:56:01 +0000,2393831789273,7509730111009,-4.4,9980339591441,6528646315041,8571442453600
3,6528646315041,8571442453600,9980339591441,0197351167615,06106286192280,81QNUXOLYQDWYDZPUPJBWZ,3620,2022-Jul-25T18:56:01 +0000,2792717815015,6140087851424,-5.0,9980339591441,6528646315041,8571442453600
3,9282767904044,4639227059128,8022895354263,9688734403928,73066981555286,43XUDHXMUQUZOPKGALKHO,3994,2022-Jul-25T18:56:01 +0000,2002312728570,4331194751637,-8.5,8022895354263,9282767904044,4639227059128
3,9282767904044,8571442453600,8022895354263,4698682227127,73066981555286,43XUDHXMUQUZOPKGALKHO,3994,2022-Jul-25T18:56:01 +0000,4225142147001,6324587417797,-0.9,8022895354263,9282767904044,8571442453600
3,6528646315041,2438270417434,9980339591441,4960675784094,70646433698871,34MP,3096,2022-Jul-25T18:56:01 +0000,9318929228661,3244788733916,-1.8,9980339591441,6528646315041,2438270417434
3,6528646315041,8571442453600,9980339591441,0413691263737,70646433698871,34MP,3096,2022-Jul-25T18:56:01 +0000,1927501992690,4765857336900,-6.4,9980339591441,6528646315041,8571442453600
3,9282767904044,2438270417434,8022895354263,6958970229193,72871241003483,98NSFGQ,4383,2022-Jul-25T18:56:01 +0000,7122789909886,2482912591698,-2.6,8022895354263,9282767904044,2438270417434
3,9282767904044,4639227059128,8022895354263,9291830452544,72871241003483,98NSFGQ,4383,2022-Jul-25T18:56:01 +0000,2312154345511,3338804608486,-8.6,8022895354263,9282767904044,4639227059128
3,9282767904044,2438270417434,9980339591441,7528214829880,76803408608043,24XEPCQRJVVXHVLKEGLTITT,4341,2022-Jul-25T18:56:01 +0000,4991691359805,4681947304708,-5.2,9980339591441,9282767904044,2438270417434
3,9282767904044,2438270417434,9980339591441,2321458114768,76803408608043,24XEPCQRJVVXHVLKEGLTITT,4341,2022-Jul-25T18:56:01 +0000,8957340889160,2146899545823,-4.6,9980339591441,9282767904044,2438270417434
3,9282767904044,4639227059128,9980339591441,3065185535703,68752468582390,73ZA,3533,2022-Jul-25T18:56:01 +0000,3585010571403,3983638728060,-4.1,9980339591441,9282767904044,4639227059128
3,9282767904044,8571442453600,9980339591441,6522205887530,68752468582390,73ZA,3533,2022-Jul-25T18:56:01 +0000,4411153530615,7054991389198,-3.9,9980339591441,9282767904044,8571442453600
3,3476548818871,8571442453600,9980339591441,0688797182357,54091272300244,35F,3594,2022-Jul-25T18:56:01 +0000,4660731826671,0750445127462,-1.0,9980339591441,3476548818871,8571442453600
3,3476548818871,2438270417434,9980339591441,2548842760578,54091272300244,35F,3594,2022-Jul-25T18:56:01 +0000,0658473699841,7612360586478,-8.4,9980339591441,3476548818871,2438270417434
