event_type,retailer_gln,gtin,serial_number,quantity,event_time,location_gln,price,generator_gln,last_pi_gln
7,6263053460895,92038770113051,93SKXPUKYSQYWKPZZ,1,2022-Jul-26T17:58:39 +0000,6949361626236,26.21,6263053460895,6263053460895
7,0242224170072,92038770113051,93SKXPUKYSQYWKPZZ,1,2022-Jul-26T17:58:39 +0000,2851649552024,34.01,0242224170072,0242224170072
7,0340948682550,30131578101690,810WHZNKYTYPVTLNQSWLYDJL,1,2022-Jul-26T17:58:39 +0000,0412281527197,31.04,0340948682550,0340948682550
7,0340948682550,30131578101690,810WHZNKYTYPVTLNQSWLYDJL,1,2022-Jul-26T17:58:39 +0000,4078728405622,25.74,0340948682550,0340948682550
7,0340948682550,73588914626270,14H,1,2022-Jul-26T17:58:39 +0000,6802497530915,40.2,0340948682550,0340948682550
7,0242224170072,73588914626270,14H,1,2022-Jul-26T17:58:39 +0000,1951975330663,12.96,0242224170072,0242224170072
7,0242224170072,61475911367981,59DYICGLENBXCNMSVKCLVH,1,2022-Jul-26T17:58:39 +0000,3612293587153,44.33,0242224170072,0242224170072
7,6263053460895,61475911367981,59DYICGLENBXCNMSVKCLVH,1,2022-Jul-26T17:58:39 +0000,5054924604920,13.55,6263053460895,6263053460895
7,6263053460895,12282748272322,108EQQAFPKJFD,1,2022-Jul-26T17:58:39 +0000,7741524135794,21.92,6263053460895,6263053460895
7,6263053460895,12282748272322,108EQQAFPKJFD,1,2022-Jul-26T17:58:39 +0000,8360463192764,32.36,6263053460895,6263053460895
7,0340948682550,44446570127067,68DRONZEIBGOQ,1,2022-Jul-26T17:58:39 +0000,6697653060138,27.41,0340948682550,0340948682550
7,6263053460895,44446570127067,68DRONZEIBGOQ,1,2022-Jul-26T17:58:39 +0000,1613445456378,26.84,6263053460895,6263053460895
7,6263053460895,59731437062754,62KSPCVYSMYFMEJ,1,2022-Jul-26T17:58:39 +0000,0105975173064,33.7,6263053460895,6263053460895
7,0340948682550,59731437062754,62KSPCVYSMYFMEJ,1,2022-Jul-26T17:58:39 +0000,8207480884655,37.65,0340948682550,0340948682550
7,0242224170072,74006728493318,66ODDUBBRCNBROKC,1,2022-Jul-26T17:58:39 +0000,6939970384409,46.0,0242224170072,0242224170072
7,6263053460895,74006728493318,66ODDUBBRCNBROKC,1,2022-Jul-26T17:58:39 +0000,9636207657030,32.28,6263053460895,6263053460895
7,6263053460895,19159514710893,45MNSUV,1,2022-Jul-26T17:58:39 +0000,9555061976157,27.33,6263053460895,6263053460895
7,0340948682550,19159514710893,45MNSUV,1,2022-Jul-26T17:58:39 +0000,7036341687186,19.75,0340948682550,0340948682550
7,0242224170072,68965585791836,17SPISXKHN,1,2022-Jul-26T17:58:39 +0000,1278961526918,22.24,0242224170072,0242224170072
7,6263053460895,68965585791836,17SPISXKHN,1,2022-Jul-26T17:58:39 +0000,9221894774792,19.78,6263053460895,6263053460895
7,6263053460895,98740116855179,39DJYXREMLIAIYCAKJAAFUI,1,2022-Jul-26T17:58:39 +0000,9161799610015,45.45,6263053460895,6263053460895
7,0340948682550,98740116855179,39DJYXREMLIAIYCAKJAAFUI,1,2022-Jul-26T17:58:39 +0000,1501273362396,20.86,0340948682550,0340948682550
7,0340948682550,09769923572596,22PQJIXJ,1,2022-Jul-26T17:58:39 +0000,2168123887691,45.86,0340948682550,0340948682550
7,6263053460895,09769923572596,22PQJIXJ,1,2022-Jul-26T17:58:39 +0000,4376478637679,19.61,6263053460895,6263053460895
7,0242224170072,08580001836891,10AVVBFTQEICCEZFDVVKHXJ,1,2022-Jul-26T17:58:39 +0000,1065436858603,41.21,0242224170072,0242224170072
7,0340948682550,08580001836891,10AVVBFTQEICCEZFDVVKHXJ,1,2022-Jul-26T17:58:39 +0000,7635619022421,23.58,0340948682550,0340948682550
7,0242224170072,85304624398792,41XERHMXQEMGUBTB,1,2022-Jul-26T17:58:39 +0000,3614561529560,8.5,0242224170072,0242224170072
7,0340948682550,85304624398792,41XERHMXQEMGUBTB,1,2022-Jul-26T17:58:39 +0000,9070375243063,4.39,0340948682550,0340948682550
7,0242224170072,63899997601628,61YUHOMDRHLDBCRKUIWPJNY,1,2022-Jul-26T17:58:39 +0000,5019857654041,14.87,0242224170072,0242224170072
7,0242224170072,63899997601628,61YUHOMDRHLDBCRKUIWPJNY,1,2022-Jul-26T17:58:39 +0000,2450856654261,4.59,0242224170072,0242224170072
7,0340948682550,51477291350304,15QKUUNVAJPUSARVGWSU,1,2022-Jul-26T17:58:39 +0000,2326003010273,18.86,0340948682550,0340948682550
7,6263053460895,51477291350304,15QKUUNVAJPUSARVGWSU,1,2022-Jul-26T17:58:39 +0000,7745093846413,10.92,6263053460895,6263053460895
7,0242224170072,45606635792637,20UZMHVZMPAZ,1,2022-Jul-26T17:58:39 +0000,4255078318567,5.0,0242224170072,0242224170072
7,0340948682550,45606635792637,20UZMHVZMPAZ,1,2022-Jul-26T17:58:39 +0000,2221753787653,35.2,0340948682550,0340948682550
7,6263053460895,26662726920869,72VIC,1,2022-Jul-26T17:58:39 +0000,1001214959066,47.8,6263053460895,6263053460895
7,6263053460895,26662726920869,72VIC,1,2022-Jul-26T17:58:39 +0000,9206629823220,31.69,6263053460895,6263053460895
7,0242224170072,11729339041693,103REGWH,1,2022-Jul-26T17:58:39 +0000,1870222517536,29.6,0242224170072,0242224170072
7,0242224170072,11729339041693,103REGWH,1,2022-Jul-26T17:58:39 +0000,6480253241298,36.67,0242224170072,0242224170072
7,0340948682550,70957057643329,010NQTMXNEOENE,1,2022-Jul-26T17:58:39 +0000,4415478035959,39.24,0340948682550,0340948682550
7,0340948682550,70957057643329,010NQTMXNEOENE,1,2022-Jul-26T17:58:39 +0000,5674658230632,32.71,0340948682550,0340948682550
