previous_key,event_id,event_type,generator_gln,input_gtin,output_gtin,serial_number,quantity,event_time,location_name,location_coordinate,net_contain,packing_type_code,packing_material,recycling_process_type,comapny_name,generator_type,new_key,last_pi_gln,next_pi_gln,company_name
"['d7775654-7259-4967-ae24-4bf0b4f0fdd6', 'f242810e-8100-4f6c-9c5c-098633b57158']",ff682b2f-2f1d-4c53-9d93-c755b8ef5961,5,8878968270139,52573311325572,71945627319901,39RMLJE,60,2022-Aug-16T02:18:09 +0000,Sarabaya,"7.2677701,112.7178386",9,Twm,PLASTIC_THERMOPLASTICS,Recyclable,WiMsEqD,processing company,d7775654-7259-4967-ae24-4bf0b4f0fdd6,8878968270139,8878968270139,Sarabaya_processing_0
"['947294da-2d07-4683-b3f5-10a41fa4d26a', '5f0f8715-7bda-4b6a-ad77-f134fe412cbd']",0d646328-8f3a-4d95-be9e-326bf9ce2c7d,5,1930315437046,12358243315461,09293485515817,88ZVZNPKICFSHQT,69,2022-Aug-16T02:18:09 +0000,Sarabaya,"-7.243421,112.7372967",8,abc,PLASTIC_THERMOPLASTICS,Recyclable,MRXNexI,processing company,947294da-2d07-4683-b3f5-10a41fa4d26a,1930315437046,1930315437046,Sarabaya_processing_1
"['a14accd4-b5bc-44fe-81b6-c3947b08453c', 'ca2bd6af-c290-4cd6-916f-055268993855']",3ab28d88-37bb-46d6-960a-0b525d0f65c1,5,8878968270139,46838084869284,03543686741964,17ZUUEAROSFXEQKW,69,2022-Aug-16T02:18:09 +0000,Sarabaya,"7.2677701,112.7178386",0,wyL,PLASTIC_THERMOPLASTICS,Recyclable,mbglgRC,processing company,a14accd4-b5bc-44fe-81b6-c3947b08453c,8878968270139,8878968270139,Sarabaya_processing_0
"['b99a9901-62c4-42d9-b95d-34e8e99c4605', '1751cca9-e234-44e3-b820-547266284b93']",11e7097f-caf7-4c38-bb07-efd0c219cd64,5,1930315437046,75907003780316,10292535489025,70JHTIOQSHUPREJOMFQX,55,2022-Aug-16T02:18:09 +0000,Sarabaya,"-7.243421,112.7372967",5,ssR,PLASTIC_THERMOPLASTICS,Recyclable,oXKdqMu,processing company,b99a9901-62c4-42d9-b95d-34e8e99c4605,1930315437046,1930315437046,Sarabaya_processing_1
"['e0293ac8-edc9-4525-a0ff-7f90ddcf8297', '47f3c48c-05e7-4580-95ff-d1b73d9d9dc8']",c8dbc835-35ee-4b82-857a-06b6da31229f,5,8878968270139,51882041557978,37201133356545,17RM,76,2022-Aug-16T02:18:09 +0000,Sarabaya,"7.2677701,112.7178386",9,UVV,PLASTIC_THERMOPLASTICS,Recyclable,KEwSmBT,processing company,e0293ac8-edc9-4525-a0ff-7f90ddcf8297,8878968270139,8878968270139,Sarabaya_processing_0
"['95126a45-9b3a-428f-b33b-f894518a4a2d', 'ad49aa40-5cd4-423f-8351-7c3180506a56']",ed8f3fe3-6567-45af-9c5a-667212a3e13c,5,1930315437046,00798104185354,36398917638035,97LIY,35,2022-Aug-16T02:18:09 +0000,Sarabaya,"-7.243421,112.7372967",8,ohP,PLASTIC_THERMOPLASTICS,Recyclable,FbYKWAP,processing company,95126a45-9b3a-428f-b33b-f894518a4a2d,1930315437046,1930315437046,Sarabaya_processing_1
"['11c9dec9-4102-43cc-a121-8c66b372c6fb', 'f4f101ec-3d7d-49e4-970c-29ac93114650']",f0936e4a-9f1a-4619-8b2f-a08f539d3cec,5,5057042124049,60831680396982,65180756719395,210NU,30,2022-Aug-16T02:18:09 +0000,Sarabaya,"-7.2600477,112.6385163",7,VRS,PLASTIC_THERMOPLASTICS,Recyclable,FGpeByc,processing company,11c9dec9-4102-43cc-a121-8c66b372c6fb,5057042124049,5057042124049,Sarabaya_processing_2
"['8d9cee9f-21a0-438d-8557-4f69e17b94a5', '48aa86f4-60d5-4d2b-9928-f092736918bd']",dfc25a64-e147-4410-8ba1-4902d007ba1f,5,8878968270139,65332743078529,60505830007463,25EPIERJXFNSCIVPACSG,120,2022-Aug-16T02:18:09 +0000,Sarabaya,"7.2677701,112.7178386",6,SlN,PLASTIC_THERMOPLASTICS,Recyclable,UmSlKTW,processing company,8d9cee9f-21a0-438d-8557-4f69e17b94a5,8878968270139,8878968270139,Sarabaya_processing_0
"['f4e43947-8f5e-462f-8192-011b267189c4', 'e6dedb79-9da3-4d32-ae83-87db0a82771c']",633f4e85-adf9-4ab7-a4a4-a2cd4d63f207,5,1930315437046,84441095829149,92546745851550,69DXGZZSNHN,114,2022-Aug-16T02:18:09 +0000,Sarabaya,"-7.243421,112.7372967",7,mDE,PLASTIC_THERMOPLASTICS,Recyclable,ogdXYnJ,processing company,f4e43947-8f5e-462f-8192-011b267189c4,1930315437046,1930315437046,Sarabaya_processing_1
"['8ebd1e44-f813-4415-9f8f-4d22e5d1db49', 'a05848f3-de1c-4ea6-a68e-ea1ac8de9ea9']",8dc58020-8a3b-49ad-aa4c-5b7da2230ffc,5,5057042124049,18185921973594,92500670527652,72JCAGTJGSCT,71,2022-Aug-16T02:18:09 +0000,Sarabaya,"-7.2600477,112.6385163",2,OPp,PLASTIC_THERMOPLASTICS,Recyclable,MbEomxe,processing company,8ebd1e44-f813-4415-9f8f-4d22e5d1db49,5057042124049,5057042124049,Sarabaya_processing_2
