previous_key,new_key,event_id,event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,weight,event_time,location_name,location_coordinate,departure_gln,temperature,comapny_name,generator_type,generator_gln,last_pi_gln,next_pi_gln,company_name
"['d7775654-7259-4967-ae24-4bf0b4f0fdd6', 'f242810e-8100-4f6c-9c5c-098633b57158']","['d7775654-7259-4967-ae24-4bf0b4f0fdd6', 'f242810e-8100-4f6c-9c5c-098633b57158']",3567b124-e391-42dd-b241-2223ed8699b5,3,8878968270139,8333352651741,5604165979870,5293511407672,71945627319901,39RMLJE,60,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2689175,112.69777",4257147666650,-5.2,WSQopBk,logistic services provider,5604165979870,8878968270139,8333352651741,Sarabaya_logistics_2
"['947294da-2d07-4683-b3f5-10a41fa4d26a', '5f0f8715-7bda-4b6a-ad77-f134fe412cbd']","['947294da-2d07-4683-b3f5-10a41fa4d26a', '5f0f8715-7bda-4b6a-ad77-f134fe412cbd']",f12aed96-e58b-4cce-aace-c01135566402,3,1930315437046,8333352651741,6053154144542,9147673499624,09293485515817,88ZVZNPKICFSHQT,69,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2551244,112.6467866",2176594109470,-5.0,VAeJIee,logistic services provider,6053154144542,1930315437046,8333352651741,Sarabaya_logistics_0
"['a14accd4-b5bc-44fe-81b6-c3947b08453c', 'ca2bd6af-c290-4cd6-916f-055268993855']","['a14accd4-b5bc-44fe-81b6-c3947b08453c', 'ca2bd6af-c290-4cd6-916f-055268993855']",c6d9f798-fc15-4fe8-bd8d-2e9cadc02af0,3,8878968270139,9557032848969,6053154144542,0779251126159,03543686741964,17ZUUEAROSFXEQKW,69,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2551244,112.6467866",3443916742918,-6.1,OHSddSq,logistic services provider,6053154144542,8878968270139,9557032848969,Sarabaya_logistics_0
"['b99a9901-62c4-42d9-b95d-34e8e99c4605', '1751cca9-e234-44e3-b820-547266284b93']","['b99a9901-62c4-42d9-b95d-34e8e99c4605', '1751cca9-e234-44e3-b820-547266284b93']",690e6e1e-ff6b-4b07-99c5-9d18b8620610,3,1930315437046,9557032848969,6053154144542,0690159536089,10292535489025,70JHTIOQSHUPREJOMFQX,55,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2551244,112.6467866",7642335013890,-2.4,AUHDfIm,logistic services provider,6053154144542,1930315437046,9557032848969,Sarabaya_logistics_0
"['e0293ac8-edc9-4525-a0ff-7f90ddcf8297', '47f3c48c-05e7-4580-95ff-d1b73d9d9dc8']","['e0293ac8-edc9-4525-a0ff-7f90ddcf8297', '47f3c48c-05e7-4580-95ff-d1b73d9d9dc8']",eedc285a-e996-4846-8d34-17d50a85871d,3,8878968270139,8333352651741,6053154144542,3367134228013,37201133356545,17RM,76,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2551244,112.6467866",2002948986233,-4.4,PtPIWVi,logistic services provider,6053154144542,8878968270139,8333352651741,Sarabaya_logistics_0
"['95126a45-9b3a-428f-b33b-f894518a4a2d', 'ad49aa40-5cd4-423f-8351-7c3180506a56']","['95126a45-9b3a-428f-b33b-f894518a4a2d', 'ad49aa40-5cd4-423f-8351-7c3180506a56']",3d194c9b-c197-405e-992d-ccc42984f327,3,1930315437046,3835036101899,4693866520302,7162203063764,36398917638035,97LIY,35,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2480575,112.6842088",3528458221115,-9.6,XFZTZgR,logistic services provider,4693866520302,1930315437046,3835036101899,Sarabaya_logistics_1
"['11c9dec9-4102-43cc-a121-8c66b372c6fb', 'f4f101ec-3d7d-49e4-970c-29ac93114650']","['11c9dec9-4102-43cc-a121-8c66b372c6fb', 'f4f101ec-3d7d-49e4-970c-29ac93114650']",0e922034-db8a-4b1e-8088-cd5882d305f5,3,5057042124049,8333352651741,4693866520302,6008809258880,65180756719395,210NU,30,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2480575,112.6842088",9845885976559,-4.2,yVgyuIU,logistic services provider,4693866520302,5057042124049,8333352651741,Sarabaya_logistics_1
"['8d9cee9f-21a0-438d-8557-4f69e17b94a5', '48aa86f4-60d5-4d2b-9928-f092736918bd']","['8d9cee9f-21a0-438d-8557-4f69e17b94a5', '48aa86f4-60d5-4d2b-9928-f092736918bd']",1d77144b-0762-4c07-940a-33388d237970,3,8878968270139,3835036101899,4693866520302,1697064181107,60505830007463,25EPIERJXFNSCIVPACSG,120,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2480575,112.6842088",8046092830368,-0.5,mxiwrwk,logistic services provider,4693866520302,8878968270139,3835036101899,Sarabaya_logistics_1
"['f4e43947-8f5e-462f-8192-011b267189c4', 'e6dedb79-9da3-4d32-ae83-87db0a82771c']","['f4e43947-8f5e-462f-8192-011b267189c4', 'e6dedb79-9da3-4d32-ae83-87db0a82771c']",161d1773-1098-4d18-8d43-b743e892ecc9,3,1930315437046,9557032848969,6053154144542,7868261319544,92546745851550,69DXGZZSNHN,114,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2551244,112.6467866",7828940900623,-5.3,AcyfJwC,logistic services provider,6053154144542,1930315437046,9557032848969,Sarabaya_logistics_0
"['8ebd1e44-f813-4415-9f8f-4d22e5d1db49', 'a05848f3-de1c-4ea6-a68e-ea1ac8de9ea9']","['8ebd1e44-f813-4415-9f8f-4d22e5d1db49', 'a05848f3-de1c-4ea6-a68e-ea1ac8de9ea9']",538e58e9-267e-40a8-882d-73c398bf3fbc,3,5057042124049,3835036101899,5604165979870,8733363674994,92500670527652,72JCAGTJGSCT,71,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2689175,112.69777",6176517634253,-7.3,uBKYiJw,logistic services provider,5604165979870,5057042124049,3835036101899,Sarabaya_logistics_2
"['8b83479d-8a45-49c7-9ffd-d012eb8ae1da', '0b6886d2-45cf-49cf-b521-affeab76e2fa']","['8b83479d-8a45-49c7-9ffd-d012eb8ae1da', '0b6886d2-45cf-49cf-b521-affeab76e2fa']",5a813fe9-190a-459e-9f57-f772c98cd8ac,3,5057042124049,9557032848969,5604165979870,9369764566569,79429977286956,90GVZNPYRVHYSFSTABDAKK,94,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2689175,112.69777",4223159488240,-7.3,eenHXsu,logistic services provider,5604165979870,5057042124049,9557032848969,Sarabaya_logistics_2
"['0c8c053a-7ee5-46d9-b534-13e0b24c1dd6', 'aa6aa7f5-9bad-40ef-9bc6-5fb290916451']","['0c8c053a-7ee5-46d9-b534-13e0b24c1dd6', 'aa6aa7f5-9bad-40ef-9bc6-5fb290916451']",23f6e6a1-3cd0-4c90-bc6a-c68d79939472,3,5057042124049,3835036101899,4693866520302,0296891101398,62796636301554,84LEWBGUK,36,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2480575,112.6842088",4885347298348,-1.2,iLvFVuM,logistic services provider,4693866520302,5057042124049,3835036101899,Sarabaya_logistics_1
"['c9a68d5d-fb1a-4da0-a667-e7d45f98a900', '989afd99-80da-487d-ae86-ddf4b9e3c0d6']","['c9a68d5d-fb1a-4da0-a667-e7d45f98a900', '989afd99-80da-487d-ae86-ddf4b9e3c0d6']",d96b76f0-4061-45ee-8493-517c112abf53,3,1930315437046,3835036101899,6053154144542,1258899987177,45050788387911,66SVGESPHYKEQBFGINKWHT,111,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2551244,112.6467866",3258567775006,-1.0,zjVRRSj,logistic services provider,6053154144542,1930315437046,3835036101899,Sarabaya_logistics_0
"['e83812ac-2fac-432f-a901-6bd069aa899a', 'eb75cfa7-e28f-469e-90d5-5c09db1f62e1']","['e83812ac-2fac-432f-a901-6bd069aa899a', 'eb75cfa7-e28f-469e-90d5-5c09db1f62e1']",181e1c18-47e6-48f7-81a7-74bd4d7f6563,3,1930315437046,9557032848969,6053154144542,5594544349995,51366368822648,43YMSAEVJ,89,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2551244,112.6467866",3322064993458,-6.4,oCUUjxg,logistic services provider,6053154144542,1930315437046,9557032848969,Sarabaya_logistics_0
"['3e8f0893-9ef6-4d6e-8019-f13a5124fa42', '8601c57c-51c2-4d56-a2e7-eb5375e06dcb']","['3e8f0893-9ef6-4d6e-8019-f13a5124fa42', '8601c57c-51c2-4d56-a2e7-eb5375e06dcb']",9e2f39ae-8276-4320-88f0-716a7f2683b1,3,8878968270139,9557032848969,4693866520302,0825211585080,40803786563333,70KCRBL,35,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2480575,112.6842088",1549873469659,-4.8,FzZAxVt,logistic services provider,4693866520302,8878968270139,9557032848969,Sarabaya_logistics_1
"['7594c9ad-ca1f-4d8b-84aa-563e40c68694', '1ae5c5d2-5663-4eae-9f9a-7103969ff760']","['7594c9ad-ca1f-4d8b-84aa-563e40c68694', '1ae5c5d2-5663-4eae-9f9a-7103969ff760']",155edcea-fda7-4dd6-be05-df566f714eed,3,5057042124049,3835036101899,5604165979870,0618552776175,54673575325133,24AIOCHNAVYVWXMKNOLS,108,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2689175,112.69777",0967849001349,-1.1,xhHqDxz,logistic services provider,5604165979870,5057042124049,3835036101899,Sarabaya_logistics_2
"['05f4c005-230d-4f63-91d0-59b9fc470a30', 'fe6096e5-76c9-45be-8ffa-f791e124a1f9']","['05f4c005-230d-4f63-91d0-59b9fc470a30', 'fe6096e5-76c9-45be-8ffa-f791e124a1f9']",b9ec3b2b-7913-433c-8ab7-06784e400c9b,3,8878968270139,9557032848969,4693866520302,0087486716770,87247757085789,30ZBVTUPJEIFOUJHG,111,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2480575,112.6842088",9540011727349,-3.5,jYCXHpW,logistic services provider,4693866520302,8878968270139,9557032848969,Sarabaya_logistics_1
"['2b5a230c-728d-4313-9f5d-2a0cc12892f6', 'e0bd7ef1-27d4-4684-9b81-e822e2404069']","['2b5a230c-728d-4313-9f5d-2a0cc12892f6', 'e0bd7ef1-27d4-4684-9b81-e822e2404069']",b3da4255-dd14-4ef6-b79a-859c7123ba11,3,8878968270139,3835036101899,4693866520302,6490897846723,21800853418861,61OPKN,103,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2480575,112.6842088",3718883839862,-8.4,xeTsdBG,logistic services provider,4693866520302,8878968270139,3835036101899,Sarabaya_logistics_1
"['f515812c-7453-46ce-8c99-9076fd5dfb82', '1338e9d8-3164-4c34-9fe6-cc8b718c24e8']","['f515812c-7453-46ce-8c99-9076fd5dfb82', '1338e9d8-3164-4c34-9fe6-cc8b718c24e8']",7ad9d3ab-d479-4b1b-ac99-bcee269c3d24,3,5057042124049,3835036101899,5604165979870,2020768711372,76237951428577,98YVKHYMMG,53,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2689175,112.69777",7943181004516,-0.6,nhioTgd,logistic services provider,5604165979870,5057042124049,3835036101899,Sarabaya_logistics_2
"['69e38658-2d88-49c9-a383-fc91d83a77ed', '48cfd187-54f3-43f0-a8ec-f6d8a740b32d']","['69e38658-2d88-49c9-a383-fc91d83a77ed', '48cfd187-54f3-43f0-a8ec-f6d8a740b32d']",e510d210-da36-4768-8903-c24d32f2e1de,3,8878968270139,3835036101899,4693866520302,4559320820657,68918491473612,99UZPXBHVOKFKOZCEVMFKFQ,83,2022-Aug-18T02:18:09 +0000,Sarabaya,"-7.2480575,112.6842088",5703330012734,-1.1,YwMRowL,logistic services provider,4693866520302,8878968270139,3835036101899,Sarabaya_logistics_1
