previous_key,new_key,event_id,event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,weight,event_time,location_name,location_coordinate,departure_gln,temperature,comapny_name,generator_type,generator_gln,last_pi_gln,next_pi_gln,company_name
912edf2e-933d-4793-9ba0-2077c57070ac,912edf2e-933d-4793-9ba0-2077c57070ac,876c38f7-bea0-409a-bdf1-460d33995822,3,0477293072543,2809134901901,8778240084397,9856008708175,02515937239417,21BATEFZDWIFCRDZDKX,118,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2689175,112.69777",4090228207214,-8.2,XjFXoIG,logistic services provider,8778240084397,0477293072543,2809134901901,Sarabaya_logistics_2
e310c2bf-6532-40c9-a056-31b2c783bbbc,e310c2bf-6532-40c9-a056-31b2c783bbbc,ab000cb4-1ac8-45a8-a422-becb5ba97f43,3,0477293072543,0607610813207,0706576716869,0965094797480,94725290031095,101XIDF,36,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2551244,112.6467866",1840861801209,-2.2,SQGmxuT,logistic services provider,0706576716869,0477293072543,0607610813207,Sarabaya_logistics_0
6314a090-5a77-478a-b3e2-18393bcae281,6314a090-5a77-478a-b3e2-18393bcae281,1a3020cd-9cc1-45e4-95fa-36c138c55db1,3,3282612262267,9031988939253,8778240084397,0117059668852,26870780782960,98CZSRAUZ,62,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2689175,112.69777",4717888634871,-6.2,XDmLofE,logistic services provider,8778240084397,3282612262267,9031988939253,Sarabaya_logistics_2
d5324570-01d9-4e9a-918b-18bcf442b06f,d5324570-01d9-4e9a-918b-18bcf442b06f,ed2e75a8-e641-48e8-a50f-a2b294887354,3,3126291842784,0607610813207,0706576716869,1615072592042,78473090246934,91LO,113,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2551244,112.6467866",5068826682409,-4.5,opLGjps,logistic services provider,0706576716869,3126291842784,0607610813207,Sarabaya_logistics_0
eaee1840-d689-479d-b480-a8e8b55181ca,eaee1840-d689-479d-b480-a8e8b55181ca,67d798a2-1a5b-4f3c-9ba0-e04e32dc4288,3,0477293072543,9031988939253,2518219383691,5174274321635,86414385715900,11HWVBG,49,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2480575,112.6842088",7926054604884,-5.5,TrAJFIo,logistic services provider,2518219383691,0477293072543,9031988939253,Sarabaya_logistics_1
fe569ae7-2cfc-4c7a-993d-d46b9207b776,fe569ae7-2cfc-4c7a-993d-d46b9207b776,332219e0-42f0-4f25-af48-5adcd1ff412a,3,0477293072543,2809134901901,0706576716869,2880592631589,65661735044613,96QBNQMPWTSVGJCF,47,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2551244,112.6467866",8010297970585,-0.3,TEVEhyT,logistic services provider,0706576716869,0477293072543,2809134901901,Sarabaya_logistics_0
47f17c80-17a4-4e45-a073-4d34330f0c86,47f17c80-17a4-4e45-a073-4d34330f0c86,1af434f0-2dde-437c-82ff-69c95b8bc442,3,3126291842784,2809134901901,0706576716869,8949687607362,64581100211478,92QZBEK,26,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2551244,112.6467866",1476396688290,-1.1,yHxHUpQ,logistic services provider,0706576716869,3126291842784,2809134901901,Sarabaya_logistics_0
e5abbc0b-502e-4981-b89b-0e79740adc0a,e5abbc0b-502e-4981-b89b-0e79740adc0a,4e8c4d00-619b-4f59-944b-d46f2af42135,3,3282612262267,0607610813207,2518219383691,1975429638564,03197661667968,010JUL,77,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2480575,112.6842088",9581031368769,-5.9,qQEXopx,logistic services provider,2518219383691,3282612262267,0607610813207,Sarabaya_logistics_1
919e5589-12b6-4bc1-85ac-52c10ee87e3d,919e5589-12b6-4bc1-85ac-52c10ee87e3d,e69e514d-f6aa-42b0-87e4-ac95cb5d24ce,3,3126291842784,2809134901901,2518219383691,4800169845769,93552685538640,68JVHPISAMMGH,115,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2480575,112.6842088",1309131392580,-4.3,NJuYlYu,logistic services provider,2518219383691,3126291842784,2809134901901,Sarabaya_logistics_1
fda28a39-e98f-4874-8c28-4e4c07538285,fda28a39-e98f-4874-8c28-4e4c07538285,b9389a1d-5fbc-47bf-b28d-79f6fd327435,3,0477293072543,2809134901901,8778240084397,7933617642304,21545700302314,17J,27,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2689175,112.69777",7682620729134,-8.1,PwOXoRw,logistic services provider,8778240084397,0477293072543,2809134901901,Sarabaya_logistics_2
4a22fa1f-bb57-4d68-9abe-e6a899ddff1d,4a22fa1f-bb57-4d68-9abe-e6a899ddff1d,c13471b1-a3b6-4c69-aec0-d8fa98848d9b,3,0477293072543,9031988939253,8778240084397,7429936090210,23187396638811,46TWFBTFCMNJH,106,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2689175,112.69777",1111880144082,-8.0,MsAlzeB,logistic services provider,8778240084397,0477293072543,9031988939253,Sarabaya_logistics_2
f66aa655-3edf-441c-9161-ba5473f6e565,f66aa655-3edf-441c-9161-ba5473f6e565,c9236471-4509-4cf7-ad8f-bca7ccf12a61,3,3126291842784,2809134901901,2518219383691,2833353884717,04549403277010,13ODVRVYB,77,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2480575,112.6842088",4618341746152,-0.3,SZuVXWw,logistic services provider,2518219383691,3126291842784,2809134901901,Sarabaya_logistics_1
723543eb-a5a6-4fb2-8336-d4c669593878,723543eb-a5a6-4fb2-8336-d4c669593878,e9178296-52e6-4e91-bbaf-c707e49ce859,3,0477293072543,0607610813207,2518219383691,8965012757929,18953178085855,26UBWWRLK,77,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2480575,112.6842088",8250595836756,-4.3,Ymxqajf,logistic services provider,2518219383691,0477293072543,0607610813207,Sarabaya_logistics_1
133d2228-9b9b-4af8-a1ce-927d496c1c2c,133d2228-9b9b-4af8-a1ce-927d496c1c2c,b105e436-24c9-4c66-82ab-ee4905498a91,3,3282612262267,9031988939253,2518219383691,1450993900477,60359083646752,97MYYJIIVGBC,56,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2480575,112.6842088",1346450621177,-4.2,OOxmgOo,logistic services provider,2518219383691,3282612262267,9031988939253,Sarabaya_logistics_1
505fde4e-0dc2-4f44-82eb-a5bfd7c77592,505fde4e-0dc2-4f44-82eb-a5bfd7c77592,fdbf0c07-4c89-426b-8f26-97175bbfdded,3,0477293072543,2809134901901,8778240084397,9098464043939,17070945229311,12NWQLID,123,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2689175,112.69777",6999260631921,-9.6,fWHanyK,logistic services provider,8778240084397,0477293072543,2809134901901,Sarabaya_logistics_2
cf15ebfb-3c92-46d1-b969-507da5a1fec7,cf15ebfb-3c92-46d1-b969-507da5a1fec7,e4c32585-f35a-48c2-9caa-684b872c3e9c,3,0477293072543,9031988939253,8778240084397,9403039571149,72583232644402,56MSTCHJGAKKDDXPAP,28,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2689175,112.69777",5579248188342,-7.9,bWYizlT,logistic services provider,8778240084397,0477293072543,9031988939253,Sarabaya_logistics_2
c9559f07-59a1-4839-a769-8b4e293f9eb7,c9559f07-59a1-4839-a769-8b4e293f9eb7,3a326a1c-1d86-4df0-b5fd-a0c43b5c61bc,3,3126291842784,0607610813207,0706576716869,1529491068328,49764734915277,17T,109,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2551244,112.6467866",5586558583132,-2.8,JJaFkNQ,logistic services provider,0706576716869,3126291842784,0607610813207,Sarabaya_logistics_0
55e1e992-2632-443e-b573-2448b30344a5,55e1e992-2632-443e-b573-2448b30344a5,78d1a12e-5d14-4e38-bff9-5a490cc579dd,3,0477293072543,0607610813207,0706576716869,1403847559621,55741999515350,310UTTZQVM,86,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2551244,112.6467866",6827316592826,-3.6,YndcaJc,logistic services provider,0706576716869,0477293072543,0607610813207,Sarabaya_logistics_0
9e0b451c-3a7a-4491-b62b-6a7fce0b2325,9e0b451c-3a7a-4491-b62b-6a7fce0b2325,3731bca8-32de-495b-b872-4c86b8e8eaf8,3,0477293072543,2809134901901,2518219383691,3769454620212,01935780917617,109PYJMNYMHMAXOANMIWBDX,27,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2480575,112.6842088",1813948499202,-9.0,mFSUoNS,logistic services provider,2518219383691,0477293072543,2809134901901,Sarabaya_logistics_1
0696863c-de10-40cb-94d9-5f766cbc3524,0696863c-de10-40cb-94d9-5f766cbc3524,8b487c1a-eeb9-4af6-89bb-cc454d0e448e,3,3126291842784,0607610813207,2518219383691,9187455341874,20669502348866,22YFUWTVQBGZLDHIIL,108,2022-Aug-17T23:21:40 +0000,Sarabaya,"-7.2480575,112.6842088",4861850391860,-5.5,JdNBmdt,logistic services provider,2518219383691,3126291842784,0607610813207,Sarabaya_logistics_1
