previous_key,new_key,event_id,event_type,supplier_gln,customer_gln,carrier_gln,sscc,gtin,serial_number,weight,event_time,location_name,location_coordinate,departure_gln,temperature,comapny_name,generator_type,generator_gln,last_pi_gln,next_pi_gln,company_name
51a97d7f-b689-4c4d-b910-ecefa60a57a5,51a97d7f-b689-4c4d-b910-ecefa60a57a5,fd5ecfc5-4445-4a2c-bfd4-eaa5d0a05152,3,3554247679854,6441500985066,4220625469927,6902839344145,13766988894524,34HHGW,3394,2022-Aug-11T23:24:06 +0000,Bali,"-8.290173,114.3303922",8122520787060,-1.4,necseFu,logistic services provider,4220625469927,4713924717486,6441500985066,Bali_logistics_2
d26ea800-d0b0-4581-85b9-682cc5ee7538,d26ea800-d0b0-4581-85b9-682cc5ee7538,de4dcdf1-05f8-4b87-a35a-fe9aad2bba86,3,0237784275243,0220675328000,3296106594149,1379355509578,32448689167025,108US,7315,2022-Aug-11T23:24:06 +0000,Bali,"-8.1534127,114.3914913",2540258689524,-6.1,sKzmyTr,logistic services provider,3296106594149,4713924717486,0220675328000,Bali_logistics_0
aa4a8bac-f980-4a81-978d-1bc725e63717,aa4a8bac-f980-4a81-978d-1bc725e63717,3b0b6865-3230-4f26-9e96-61f940fcf4cc,3,2079196312230,2763567878706,4220625469927,2380497440154,99530554146714,73AAOPIHITLHINEZLWXL,3061,2022-Aug-11T23:24:06 +0000,Bali,"-8.290173,114.3303922",5168384138873,-9.1,rHFHKEY,logistic services provider,4220625469927,4713924717486,2763567878706,Bali_logistics_2
10041445-af38-45f8-b266-3ed4c4272453,10041445-af38-45f8-b266-3ed4c4272453,15c97aaa-62a8-44a4-890b-9fdb71c3ee6e,3,2079196312230,6441500985066,4220625469927,7349640774966,68665542826066,010UDNLAOZBSMJFPTKMLF,6956,2022-Aug-11T23:24:06 +0000,Bali,"-8.290173,114.3303922",2526920077280,-5.6,FyXWPuS,logistic services provider,4220625469927,4713924717486,6441500985066,Bali_logistics_2
9d2d1115-70a1-4141-96fb-573352995b10,9d2d1115-70a1-4141-96fb-573352995b10,4ea45a6a-1dde-4493-aa22-f0a0b881d468,3,2079196312230,0220675328000,6464028819111,7296295608139,46757450473445,32CAEFQGHHMAH,9052,2022-Aug-11T23:24:06 +0000,Bali,"-8.1944802,114.3760511",1766775240195,-8.4,zbOiGCS,logistic services provider,6464028819111,9972730450169,0220675328000,Bali_logistics_1
b6b54b20-7bee-437c-a882-7ca68096f51a,b6b54b20-7bee-437c-a882-7ca68096f51a,9df5093b-7d64-4259-bf21-44b894687499,3,0237784275243,0220675328000,6464028819111,9763221778077,62356002334110,07RYESFMHJWLJSDXSSHZHI,8570,2022-Aug-11T23:24:06 +0000,Bali,"-8.1944802,114.3760511",7520232895957,-5.5,jROJtNm,logistic services provider,6464028819111,2656058923708,0220675328000,Bali_logistics_1
ce2ad91e-fd20-401d-9d3e-8910eae3415d,ce2ad91e-fd20-401d-9d3e-8910eae3415d,556d9403-09bf-4909-bd79-278aea3eedbb,3,0237784275243,6441500985066,6464028819111,0494229624350,32301194125327,49CJWECGDYWAFYTXYTCOG,4552,2022-Aug-11T23:24:06 +0000,Bali,"-8.1944802,114.3760511",0872627859180,-9.2,oAWKsWz,logistic services provider,6464028819111,2656058923708,6441500985066,Bali_logistics_1
4509b7b8-605d-45c6-9357-1dab81d6b1ef,4509b7b8-605d-45c6-9357-1dab81d6b1ef,234b602a-e45b-49ee-ae5d-00eca73f8a51,3,2079196312230,0220675328000,3296106594149,8135669326119,00954152410780,64SMAZILZEVYJCZQU,8788,2022-Aug-11T23:24:06 +0000,Bali,"-8.1534127,114.3914913",2075857025465,-7.0,FJaAQvq,logistic services provider,3296106594149,4713924717486,0220675328000,Bali_logistics_0
4a4ec6f4-8ca2-47e3-acce-fa0dae6dc212,4a4ec6f4-8ca2-47e3-acce-fa0dae6dc212,d01245a4-cb8a-40c4-8a54-1675df51702a,3,3554247679854,2763567878706,4220625469927,5453747856664,06471612425710,64IIOVUEGGPQBZW,5165,2022-Aug-11T23:24:06 +0000,Bali,"-8.290173,114.3303922",4364673313602,-5.1,kzwXMtx,logistic services provider,4220625469927,2656058923708,2763567878706,Bali_logistics_2
8ad6bb91-a6f5-436e-89d0-da344fdde42d,8ad6bb91-a6f5-436e-89d0-da344fdde42d,92bb1a6c-dee3-4862-839a-ccd96ce9dc1d,3,0237784275243,6441500985066,4220625469927,9077495009013,31243351949109,58HRLRFZLZCUIOUUZVLIKC,7875,2022-Aug-11T23:24:06 +0000,Bali,"-8.290173,114.3303922",2849164564698,-0.4,aqRPJDF,logistic services provider,4220625469927,9972730450169,6441500985066,Bali_logistics_2
f914fab2-6102-4a8a-a5f1-ded970e2b31a,f914fab2-6102-4a8a-a5f1-ded970e2b31a,163c6dae-30c5-4d76-8f55-f2f87794b486,3,3554247679854,2763567878706,6464028819111,8452745512229,66754690700769,09FEV,2114,2022-Aug-11T23:24:06 +0000,Bali,"-8.1944802,114.3760511",0801212659745,-6.6,pdUSEKT,logistic services provider,6464028819111,4713924717486,2763567878706,Bali_logistics_1
8e8a04ce-1cc4-45b1-9b59-5b17b61d86c2,8e8a04ce-1cc4-45b1-9b59-5b17b61d86c2,a4a2b38a-6bbf-4255-87e0-cd24c958aca4,3,2079196312230,2763567878706,4220625469927,1368832558607,36037669009328,61R,7948,2022-Aug-11T23:24:06 +0000,Bali,"-8.290173,114.3303922",8175121506218,-5.5,fMkUyRa,logistic services provider,4220625469927,2656058923708,2763567878706,Bali_logistics_2
9bacf454-1bd1-4ac8-9e9f-2445ee7c6013,9bacf454-1bd1-4ac8-9e9f-2445ee7c6013,681dd09c-332f-492f-a0a4-387c7c82f8b0,3,3554247679854,0220675328000,4220625469927,8094957922199,89681988944721,63FTFQD,4684,2022-Aug-11T23:24:06 +0000,Bali,"-8.290173,114.3303922",3680796968942,-7.1,ihaMDTe,logistic services provider,4220625469927,4713924717486,0220675328000,Bali_logistics_2
da17063d-116a-4f20-9cfb-86134ac6e739,da17063d-116a-4f20-9cfb-86134ac6e739,67f42350-cd08-40ec-b157-bebc59f90d7e,3,0237784275243,6441500985066,3296106594149,5189880574653,25022734565954,55RVXFUQNBII,1282,2022-Aug-11T23:24:06 +0000,Bali,"-8.1534127,114.3914913",3021873836560,-4.3,OplWVRf,logistic services provider,3296106594149,4713924717486,6441500985066,Bali_logistics_0
e8fd1c21-f851-408d-8790-3c6c870638b8,e8fd1c21-f851-408d-8790-3c6c870638b8,eadce6c1-0c41-4cf2-aee8-0ac02afb5cbc,3,0237784275243,0220675328000,6464028819111,9306705378820,07365949478730,42YQCFLET,2822,2022-Aug-11T23:24:06 +0000,Bali,"-8.1944802,114.3760511",7676069822891,-0.4,idiOfwm,logistic services provider,6464028819111,4713924717486,0220675328000,Bali_logistics_1
247b3f2d-862e-4bf4-bb20-35d51eda0b38,247b3f2d-862e-4bf4-bb20-35d51eda0b38,2a256c6b-d209-4c65-b01d-e15b6d5ab8c4,3,2079196312230,2763567878706,3296106594149,2644731433596,18502640920598,03GFMCJPZQVPCBYG,5473,2022-Aug-11T23:24:06 +0000,Bali,"-8.1534127,114.3914913",0507222810262,-4.0,TysXrou,logistic services provider,3296106594149,2656058923708,2763567878706,Bali_logistics_0
a3e2a53a-971d-4541-8604-6bb8ba420c4a,a3e2a53a-971d-4541-8604-6bb8ba420c4a,a575457b-d183-45d9-8766-2116c0a335a7,3,0237784275243,2763567878706,6464028819111,1211933511263,85532900547462,410JLRWJ,838,2022-Aug-11T23:24:06 +0000,Bali,"-8.1944802,114.3760511",0239387995008,-4.0,JgaLbnH,logistic services provider,6464028819111,2656058923708,2763567878706,Bali_logistics_1
